A.H3K4me1.intersect.value	CLL.A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.FindER2.bed.remDups.bed.intersect.value	CLL.A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.FindER2.bed.remDups.bed.intersect.value	CLL.A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135686_EGAR00001139768_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133242_EGAR00001137328_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215953_EGAR00001228604_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215622_EGAR00001228081_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133247_EGAR00001137334_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272679_merged2runs_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001231900_EGAR00001245926_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001215636_EGAR00001228045_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001272596_EGAR00001300137_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234407_EGAR00001248465_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291824_EGAR00001320548_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272600_EGAR00001300131_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272621_EGAR00001300048_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272624_EGAR00001300051_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272707_EGAR00001300114_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272668_merged3runs_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001364257_EGAR00001401411_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272656_EGAR00001300003_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272661_EGAR00001300008_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272650_EGAR00001299997_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419429_EGAR00001456616_MBC_H3K4me1_PAIRED.FindER2.bed.intersect.value	EGAN00001276795_EGAX00001304981_EGAR00001334464_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276796_EGAX00001304983_EGAR00001334466_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001305005_EGAR00001334422_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326452_EGAR00001355725_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305085_EGAR00001334364_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305061_EGAR00001334388_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326574_EGAR00001355824_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326490_EGAR00001355777_usMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358538_EGAX00001371128_EGAR00001408501_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358558_EGAX00001371127_EGAR00001408500_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	GCBC.A68886.CEMT_129.H3K4me1.hg38.bwa-sb.IX5126.CAVYBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70848.CEMT_134.H3K4me1.hg38.IX5208.CAVPBANXX_1_ATCACG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70855.CEMT_135.H3K4me1.hg38.IX5209.CAVPBANXX_2_GATCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70862.CEMT_136.H3K4me1.hg38.IX5210.CAVPBANXX_3_ACCCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70869.CEMT_137.H3K4me1.hg38.IX5211.CAVPBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70876.CEMT_138.H3K4me1.hg38.IX5213.CAVPBANXX_6_CAAAAG.FindER2.bed.remDups.bed.intersect.value
chr1_32324500_32324850	350	350	350	350	350	350	350	350	125	275	200	275	350	275	350	350	350	50	350	0	0	350	350	350	350	350	350	275	350	350	350	350	350	200	350	350	350	0	350	350	350	350	0	350	350	350	350	350	350	350
chr1_33260950_33261300	75	350	350	350	0	350	0	350	0	350	350	350	350	50	0	0	0	350	0	0	0	0	200	200	0	0	0	0	300	350	0	0	0	350	50	0	0	0	350	300	350	350	0	0	0	0	0	0	0	0
chr1_36595500_36595900	0	0	0	0	0	400	0	400	0	400	0	400	325	0	0	150	0	0	375	0	0	225	0	0	0	0	0	0	0	0	400	0	0	300	0	0	0	0	400	400	400	0	0	0	0	0	0	0	0	0
chr1_37005100_37005400	200	300	300	300	0	300	0	50	0	300	300	300	300	0	0	0	0	0	275	0	0	0	275	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	125	0	300	0	50	0	0	0	0	0	0	0
chr1_37027600_37027950	0	350	350	350	75	350	0	350	0	350	350	350	350	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	350	50	0	0	0	0	0	0	0	0
chr1_37040300_37040900	0	600	600	600	0	600	0	500	0	600	600	600	600	0	575	0	200	0	550	0	0	0	575	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0
chr1_37098200_37098700	500	500	500	500	0	500	0	0	0	500	0	475	500	0	0	0	0	0	475	0	0	175	0	175	0	0	0	0	0	0	0	0	0	500	0	0	0	0	500	0	500	250	0	0	0	0	0	0	0	0
chr1_37382550_37383950	0	1400	1400	1400	0	1050	300	1200	525	1400	1400	1400	1100	0	0	0	0	0	1400	0	0	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	1400	0	375	375	0	0	0	0	0	0
chr1_37385550_37386750	0	1200	1200	1200	75	1200	75	1200	75	1200	225	1200	75	0	0	0	1050	0	225	0	0	450	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	300	0	0	0	0	0	0
chr1_37410200_37410600	0	250	25	0	0	400	0	400	75	400	0	0	0	300	0	375	0	0	375	0	0	0	375	325	0	0	0	0	0	0	300	0	0	0	0	0	0	0	400	0	400	0	400	400	0	0	0	0	0	0
chr1_37434550_37434900	0	0	350	0	0	0	0	275	0	350	350	350	350	0	0	125	0	0	350	0	0	0	350	200	0	0	275	0	200	0	350	0	0	0	200	0	0	0	125	125	350	200	0	350	0	0	0	0	0	0
chr1_38151800_38152250	0	450	450	450	0	350	0	200	0	450	200	450	350	450	350	100	0	0	450	0	0	0	0	450	450	450	450	450	450	25	450	450	450	450	400	450	450	0	450	450	425	450	0	0	450	450	450	450	450	450
chr1_38256050_38256400	0	350	350	0	0	0	250	250	0	350	0	250	350	0	100	0	0	0	350	0	0	0	0	0	0	350	0	0	0	350	0	0	350	250	0	0	350	0	350	0	325	0	0	0	350	350	325	350	325	325
chr1_38344650_38345200	0	525	550	450	375	450	0	525	525	550	0	550	525	175	225	225	475	0	550	0	0	175	0	0	0	550	0	0	150	300	375	0	550	450	0	0	550	0	75	150	550	375	0	0	550	550	400	550	550	550
chr1_38361500_38361850	0	350	350	350	0	350	0	350	350	350	100	350	350	0	350	100	350	0	350	0	175	300	0	175	0	0	175	350	350	325	0	0	0	350	0	0	0	0	350	325	350	350	0	0	0	0	0	0	0	0
chr1_38556100_38556400	0	300	300	0	0	275	0	300	50	300	300	300	300	0	0	0	0	0	300	0	0	275	0	250	0	0	0	0	0	0	0	125	0	300	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0
chr1_38728200_38728500	0	0	0	225	150	75	0	300	0	0	0	0	300	0	300	225	0	0	300	0	0	300	300	300	0	0	300	0	300	0	300	0	0	300	300	300	300	0	300	300	300	300	0	300	0	0	0	0	0	0
chr1_45411300_45412000	0	675	0	700	0	700	0	700	0	700	700	700	700	700	700	700	700	700	700	0	0	450	700	700	0	700	700	700	700	700	700	700	700	700	700	525	700	0	700	700	450	700	675	600	700	700	700	700	700	700
chr1_45413500_45413800	0	0	275	275	0	0	0	0	0	300	200	300	275	300	300	300	300	300	300	0	0	300	300	300	0	300	300	300	300	300	300	0	300	300	300	300	300	0	300	300	300	300	200	200	300	300	300	300	300	300
chr1_45488550_45488900	50	200	350	0	0	125	0	350	125	350	350	350	350	350	350	350	350	150	350	0	0	350	350	350	200	200	350	350	350	350	275	350	350	350	350	350	200	0	350	350	350	350	0	350	0	350	0	350	350	0
chr1_45546300_45546700	175	400	400	400	300	400	0	400	400	400	75	375	150	400	375	400	400	300	300	0	0	400	75	75	150	400	400	225	400	225	400	375	400	400	400	225	400	0	225	400	400	150	0	0	400	400	375	400	400	400
chr1_53182300_53182650	125	350	350	350	350	350	275	350	350	350	350	350	350	0	0	275	300	0	350	0	0	350	200	200	0	350	350	350	350	125	125	350	350	0	275	350	350	0	350	200	350	350	0	275	275	350	275	350	350	350
chr1_54479300_54480050	0	0	0	0	0	500	0	750	0	750	0	0	750	750	750	750	750	0	750	0	0	675	750	275	0	0	750	200	575	750	750	0	0	750	750	0	0	0	475	725	750	725	750	750	0	0	0	0	0	0
chr1_54965900_54966250	0	350	325	350	350	350	25	350	0	350	350	350	350	350	350	350	0	350	350	0	0	325	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350
chr1_55255250_55255700	0	400	450	450	0	400	25	250	0	450	50	425	200	175	425	450	0	450	200	0	0	0	275	450	450	450	450	450	450	425	450	450	450	450	450	450	450	0	450	450	450	125	0	125	450	450	450	450	450	450
chr1_64017300_64017650	200	300	350	350	0	350	0	200	0	350	350	350	350	0	0	0	0	0	200	0	0	200	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0
chr1_64937650_64938150	0	500	500	500	0	500	0	500	425	500	0	500	500	500	125	500	0	500	50	0	350	50	300	500	50	500	500	500	500	500	125	125	425	500	500	0	500	0	0	500	500	50	0	0	500	500	425	500	500	500
chr1_65003850_65004250	0	400	400	175	0	400	0	400	300	400	400	400	400	0	0	75	0	150	375	0	0	75	225	75	300	225	0	0	0	0	225	400	375	0	0	300	300	0	0	0	225	75	0	75	400	225	150	300	300	400
chr1_70294150_70294450	0	0	300	300	0	0	0	0	0	275	125	300	300	0	0	275	0	0	300	0	0	0	0	300	300	300	300	300	0	100	0	300	300	300	300	300	300	0	300	0	275	300	0	0	300	300	300	300	300	300
chr1_78154200_78154600	0	0	400	225	0	375	0	400	0	400	0	0	400	0	0	250	0	0	0	0	0	400	175	0	0	0	0	0	0	100	0	0	0	250	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0
chr1_84724400_84724800	0	0	400	300	0	400	0	0	0	325	300	400	375	0	0	400	0	0	400	0	0	400	0	150	300	0	0	0	0	0	0	0	375	0	400	375	400	0	300	0	400	400	400	400	0	400	0	400	0	0
chr1_86470350_86471350	0	375	1000	825	0	625	375	675	475	450	0	1000	1000	0	0	0	300	0	1000	0	0	825	775	700	775	975	0	0	0	0	600	375	0	975	0	775	825	0	900	0	750	0	0	400	1000	850	0	75	150	825
chr1_86853400_86853700	0	0	300	300	125	0	25	300	0	300	300	300	300	300	0	300	300	275	300	0	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	275	300	0	0	300	300	300	300	300	300
chr1_87030150_87030650	200	500	500	425	425	425	0	425	125	500	425	500	500	0	0	125	0	500	500	0	0	50	500	500	500	500	0	0	0	500	0	500	500	0	0	500	500	0	0	0	500	0	0	0	500	500	500	500	500	500
chr1_87393050_87393450	0	225	400	400	300	225	150	225	150	375	0	400	300	0	25	0	0	0	400	150	0	100	300	400	400	400	0	0	0	150	0	400	400	400	0	400	400	0	400	0	400	400	0	0	400	400	400	400	400	400
chr1_87393750_87394500	0	150	750	225	75	225	150	375	150	750	150	750	750	0	0	0	75	525	525	225	0	0	750	750	750	750	0	750	0	375	0	750	750	750	0	750	750	0	750	0	750	750	0	750	750	750	750	750	750	750
chr1_87519250_87519600	0	350	350	350	0	0	0	200	0	350	125	350	350	0	0	0	350	225	125	0	350	350	350	350	350	350	275	275	0	50	0	350	350	350	125	350	350	0	275	125	350	275	0	350	350	350	350	350	350	350
chr1_87893150_87894600	0	0	1425	0	0	0	0	0	0	1450	375	1450	1450	1450	1350	1450	825	1450	1450	0	0	1275	1450	1450	1450	1450	1450	1450	1450	1450	1450	1450	1450	1450	1450	1450	1450	450	1450	1450	1450	1450	0	1450	1450	1450	1450	1450	1450	1450
chr1_87901950_87902700	0	0	750	300	0	0	0	0	0	750	150	750	750	225	75	675	0	600	750	0	0	450	750	750	150	750	225	150	150	150	150	150	750	675	225	300	750	0	450	75	750	75	75	750	750	750	750	750	750	750
chr1_94236650_94237200	0	0	550	0	0	550	0	550	0	450	0	375	525	550	550	550	525	550	550	375	0	550	450	550	550	550	550	550	550	550	550	550	550	550	550	550	550	0	550	550	550	550	550	550	550	550	550	550	550	550
chr1_94987750_94988050	0	300	300	300	0	300	0	300	0	300	300	300	300	300	0	300	300	0	300	250	0	0	300	0	0	0	300	300	300	300	0	0	0	300	200	0	0	0	0	300	300	300	0	300	0	0	0	0	0	0
