A.intersect.value	CLL.A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.FindER2.bed.remDups.bed.intersect.value	CLL.A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.FindER2.bed.remDups.bed.intersect.value	CLL.A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135687_EGAR00001139769_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133243_EGAR00001137329_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215595_EGAR00001228091_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215955_EGAR00001228606_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171949_EGAR00001185105_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001135683_EGAR00001139773_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272637_EGAR00001300126_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272619_EGAR00001300046_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272595_EGAR00001300136_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291852_EGAR00001320579_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323209_EGAR00001352515_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326443_EGAR00001355794_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272620_EGAR00001300047_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272618_EGAR00001300045_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272625_EGAR00001300052_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272703_EGAR00001300107_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272706_EGAR00001300111_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272689_EGAR00001300082_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272659_EGAR00001300006_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272664_EGAR00001300011_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272653_merged2runs_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272585_EGAR00001300065_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304998_EGAR00001334471_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304995_EGAR00001334420_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326454_EGAR00001355727_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001326440_EGAR00001355791_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305062_EGAR00001334389_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326619_EGAR00001355765_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326520_EGAR00001355882_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326536_EGAR00001355851_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326492_EGAR00001355779_usMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	GCBC.A70850.CEMT_134.H3K9me3.hg38.A70850_3_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70857.CEMT_135.H3K9me3.hg38.IX5209.CAVPBANXX_2_GGCTAC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70864.CEMT_136.H3K9me3.hg38.IX5210.CAVPBANXX_3_ACGATA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70871.CEMT_137.H3K9me3.hg38.IX5212.CAVPBANXX_5_ATAATT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70878.CEMT_138.H3K9me3.hg38.IX5213.CAVPBANXX_6_CACCGG.FindER2.bed.remDups.bed.intersect.value
chr1_6593400_6593950	0	0	0	0	0	0	0	0	0	550	450	0	25	0	0	0	0	0	0	475	0	475	0	325	0	550	0	250	0	75	0	0	550	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	525
chr1_6601700_6602100	0	0	0	0	0	0	0	0	0	225	400	0	150	0	0	375	0	300	0	0	0	0	0	150	0	375	400	0	0	0	0	0	400	400	0	400	0	0	0	0	0	400	400	0	400	0	0	0	0
chr1_6615000_6615500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	500	0	0	0	0	300	500	500	0	500	0	0	0	0	0	0	500	0	0	75	0	0	0
chr1_6615600_6615900	0	300	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	300	0	0	0	0	0
chr1_9626250_9626800	0	0	0	0	0	0	0	0	0	250	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	525	0	0	0	0	0	0	0	375	0	550	0	0	0	0	0	0
chr1_9630050_9630750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	225	0	0	0	0	0	675	300	0	0	0	0	0	0	0	0	700	0	0	0	0	0	0
chr1_9724050_9724350	0	0	0	0	0	0	300	0	0	300	300	150	0	0	300	0	0	0	0	0	0	0	0	0	0	300	150	0	0	0	0	150	300	300	0	300	0	0	0	0	0	0	300	0	0	0	0	0	225
chr1_10693650_10694550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	225	900	0	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	900	450	450	0	0	0	0
chr1_12167150_12167700	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	525	0	250	0	0	0	0	0	0	0	550	550	25	0	0	0	0	550	550	0	550	0	0	0	0	0	0	525	0	0	175	0	0	550
chr1_12191100_12191550	0	0	0	0	0	0	0	0	0	450	0	0	0	375	375	0	0	0	0	0	0	0	450	0	0	450	0	0	0	0	0	0	450	0	0	0	0	0	0	0	375	0	450	0	0	0	0	0	375
chr1_12196350_12196650	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	300	0	300	0	0	0	0	0	0	0	300	300	0	300	0	0	0
chr1_13505300_13505800	0	500	500	0	0	500	0	500	0	500	500	325	500	0	0	0	250	0	0	500	175	400	500	500	0	475	0	0	0	0	0	100	450	0	100	0	0	0	0	475	500	0	500	0	0	0	0	0	0
chr1_18955600_18955950	0	0	0	0	0	0	0	0	0	0	0	0	125	275	0	0	0	350	0	125	0	275	0	0	0	350	350	125	0	0	0	0	350	125	0	50	75	0	0	0	0	0	350	0	0	0	0	0	0
chr1_23366250_23366700	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	225	0	0	0	150	0	450	225	0	0	450	300	0	0	0	0	0	450	450	450	450	0	0	0	0	0	0	450	0	0	0	450	450	450
chr1_23560950_23561500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	550	0	0	0	550	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	550	0	0	450	0	0	0
chr1_23567550_23567850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	75	0	0	0	0	0	300	150	0	150	0	0	0	0	0	0	300	0	0	0	0	0	75
chr1_23568300_23569300	0	0	0	0	0	0	0	0	300	0	0	0	0	0	150	0	0	375	0	0	0	0	0	150	0	975	1000	0	0	0	0	0	1000	450	0	525	0	0	0	0	0	0	1000	0	450	0	0	0	300
chr1_23902700_23903250	0	0	0	0	0	0	0	0	0	325	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	525	0	0	0	0	525	0	0	0	0	0	0	0	475	0	550	0	0	0	0	0	550
chr1_25617200_25617500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	300	0	0	0	0	0	300	300	0	0	0	0	0	275	300	0	300	0	0	0	0	200	125	300	0	25	125	0	0	300
chr1_25670900_25671450	0	550	525	300	0	0	0	475	300	550	550	0	300	75	0	0	375	75	0	0	550	525	300	0	0	550	0	175	0	0	0	250	550	0	0	0	325	0	0	0	550	0	525	0	0	0	0	0	0
chr1_25744850_25745150	0	300	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	275	0	0	0	0	0	0	300	0	0	0	250	0	0	0	250	0	300	275	0	0	0	0	50
chr1_28068800_28069700	0	525	0	0	0	0	450	0	0	50	0	0	0	0	275	0	0	0	250	0	0	200	0	0	0	875	0	0	0	0	0	0	900	0	0	0	0	0	50	0	275	0	900	0	0	0	0	0	0
chr1_29236100_29236500	0	0	250	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	400	0	0	400	0	0	0	375	250	400	400	0	0	75	0	0	0	0	0	0	375	0	0	0	0	0	0
chr1_31741200_31741750	0	0	0	0	0	0	0	0	0	550	550	0	0	0	0	0	0	0	0	0	100	0	0	0	0	550	0	0	0	0	25	0	525	0	0	0	0	0	400	525	0	0	550	250	0	0	0	0	0
chr1_31760700_31761600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	600	0	225	0	900	900	0	0	450	0	225	900	900	300	900	0	0	0	0	900	450	900	0	600	0	0	0	0
chr1_32755150_32755450	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	50	0	175	0	300	0	0	125	0	0	300	0	0	200	0	0	0	300	175	0	275	0	0	0	100	0	300	275	0	0	0	0	0	0
chr1_33051750_33052300	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	550	550	0	400	0	0	0	0	0	0	525	0	0	25	0	0	0
chr1_36124050_36124550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	275	275	500	0	0	125	125	0	0	50	0	0	500	0	0	0	0	0	225
chr1_37631400_37631700	0	75	0	0	0	0	0	0	0	0	0	0	0	300	300	300	0	300	300	0	0	0	0	0	0	300	0	75	0	0	0	300	300	0	0	0	150	0	0	150	0	0	300	0	0	150	0	0	0
chr1_38047650_38048100	0	0	0	0	0	0	0	0	0	0	0	0	150	375	0	300	300	450	0	0	0	0	0	0	0	450	0	0	0	0	0	450	450	0	0	0	450	0	0	0	0	300	450	0	0	75	0	0	300
chr1_39104300_39105350	0	0	0	0	0	0	0	0	0	200	0	0	0	0	725	200	0	0	0	0	350	0	0	0	250	1025	800	0	0	0	0	425	1025	575	0	650	0	0	0	0	300	0	1050	0	0	350	0	0	500
chr1_40317000_40317500	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	75	0	500	0	0	0	0	0	0	0	500	500	0	0	200	0	0	500	300	0	0	500	0	0	0	0	0	500	0	300	150	0	0	0
chr1_41875500_41875900	0	75	0	0	0	0	0	0	0	225	0	0	0	250	75	0	0	0	250	400	0	0	0	0	0	400	0	0	0	0	0	0	375	0	0	0	0	0	0	150	0	0	375	0	0	325	0	0	400
chr1_42855450_42855800	0	0	275	0	0	0	350	0	0	0	0	50	0	0	0	0	0	0	0	50	0	275	0	0	0	350	350	0	0	0	0	0	350	350	0	350	0	0	0	0	0	0	350	0	350	275	350	350	125
chr1_43249100_43249850	0	725	0	0	700	550	750	750	475	0	0	0	125	0	350	125	0	475	125	0	0	0	0	175	0	750	750	0	0	0	0	0	750	750	125	750	0	0	0	0	0	0	725	0	750	25	750	750	0
chr1_45046050_45046400	0	0	0	0	0	0	0	0	0	0	0	225	0	275	0	0	0	0	0	0	0	0	0	50	350	350	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	350	0	0	275	200	0	0
chr1_45578400_45579000	0	0	0	0	0	0	0	75	0	0	0	225	0	600	0	0	0	150	0	0	0	0	525	0	0	600	600	0	0	0	0	0	600	600	0	600	0	0	0	0	0	0	600	0	600	600	600	600	600
chr1_45579900_45580350	0	450	0	0	0	0	0	0	0	0	0	0	0	0	300	75	0	0	0	0	0	0	300	0	0	450	450	0	0	0	0	0	450	450	0	450	0	0	0	0	0	0	450	0	450	0	450	300	0
chr1_49535350_49535550	0	0	0	75	0	0	0	200	150	0	0	0	0	200	0	0	200	0	0	0	0	0	0	200	0	200	0	0	0	0	0	0	200	125	0	200	0	0	0	0	125	0	200	0	200	0	125	200	0
chr1_49775500_49775750	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	250	0	250	0	0	0	0	200	0	250	0	0	0	0	250	0	250	250	0	250	0	0	0	0	250	0	250	0	250	250	250	250	0
chr1_54882250_54882650	0	0	400	0	0	0	0	0	0	0	50	125	0	0	0	0	0	0	0	0	0	275	400	0	0	400	400	275	0	50	200	275	400	400	0	400	0	0	0	0	400	0	400	0	400	400	400	400	350
chr1_56572650_56572800	0	0	0	0	0	0	0	0	75	0	0	0	150	150	0	0	0	0	150	150	150	0	0	150	0	150	0	0	0	0	0	0	150	0	150	0	75	0	0	0	150	0	150	0	0	75	0	0	0
