A.H3K36me3.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value
chr1_6017100_6017400	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	225	300	150	0	0	300	0	300	75	300	225	300	300	300	300	300	300	300	300	0	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_6039100_6039450	350	350	350	350	0	350	350	50	350	350	350	350	350	350	350	350	350	350	0	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	0	0	0	0	0	0
chr1_6068550_6068850	300	300	300	75	0	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_6338700_6339350	650	650	650	500	0	525	650	575	650	650	650	650	650	650	650	650	650	425	0	650	650	0	650	650	500	500	650	275	575	650	650	650	650	650	650	650	650	0	650	650	600	650	650	650	0	0	0	0	0	0
chr1_7990450_7990750	300	300	300	300	0	300	300	300	300	300	300	300	300	175	300	300	300	125	0	275	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	25	300	300	300	50	0	0	0	0	0
chr1_8727300_8727650	350	350	350	350	0	350	275	350	350	350	350	350	275	0	0	350	350	0	0	300	350	0	350	0	0	0	0	0	0	350	125	75	0	0	0	0	0	0	0	350	0	350	350	350	0	0	0	0	0	0
chr1_8854650_8854950	300	300	300	225	0	300	300	300	300	300	300	300	300	300	300	300	300	0	0	300	300	0	300	300	300	150	0	300	300	300	300	300	300	300	300	300	300	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_9246950_9247250	300	300	300	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_9261000_9261300	300	300	300	150	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_9872050_9872350	300	0	300	0	0	275	0	0	300	300	300	300	125	0	300	125	300	300	125	200	300	0	300	275	300	0	100	275	275	300	300	300	300	300	0	125	300	0	300	300	275	300	300	300	0	0	0	0	0	0
chr1_10495850_10496600	750	750	750	750	0	750	125	750	750	750	750	750	575	750	175	725	725	575	0	650	750	575	750	750	750	725	750	750	750	750	750	750	750	750	750	750	725	0	750	750	575	750	750	750	0	0	0	0	0	375
chr1_10657450_10657800	350	350	350	350	75	50	50	350	350	350	350	350	350	350	350	350	350	275	0	350	350	0	350	350	350	0	0	350	350	350	350	350	0	350	350	350	350	0	350	350	50	350	350	350	0	0	0	0	0	0
chr1_11749950_11750250	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	150	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_13811250_13811550	300	300	300	0	0	300	75	225	300	300	300	300	300	0	150	0	300	0	0	300	300	0	300	150	0	0	0	225	300	300	300	300	225	0	300	0	300	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_15952250_15952850	600	600	600	575	0	600	50	600	600	600	600	600	600	600	600	600	600	600	600	600	575	425	600	575	600	600	600	600	600	600	600	600	600	600	500	600	600	0	600	600	600	600	600	600	125	0	0	0	200	0
chr1_15962400_15962750	350	350	350	350	0	350	150	350	350	350	0	350	275	200	350	275	350	350	300	350	350	0	350	350	350	300	350	350	350	350	350	350	350	350	50	350	350	0	350	350	0	350	350	350	350	0	0	225	125	0
chr1_16196700_16197000	300	300	300	300	0	300	0	300	300	300	300	300	300	0	0	300	300	0	0	225	300	0	300	300	300	0	0	0	300	300	300	300	225	0	300	0	300	0	300	300	0	0	300	300	0	0	0	0	0	0
chr1_16887000_16887550	550	550	525	550	0	550	375	550	550	525	550	550	0	525	550	400	0	175	0	0	550	0	550	550	0	300	0	0	0	0	550	525	0	0	550	0	0	0	0	550	525	450	550	0	0	100	0	250	100	325
chr1_16918950_16919250	300	300	300	300	0	300	150	300	300	300	300	300	300	0	150	0	0	0	0	0	300	0	300	300	0	0	0	0	0	0	300	300	0	0	0	0	300	0	300	0	0	225	150	300	0	0	0	0	0	0
chr1_16922800_16923800	1000	1000	1000	1000	0	1000	50	1000	1000	1000	1000	650	650	1000	950	800	875	450	0	0	1000	0	1000	950	350	425	0	950	1000	125	1000	1000	950	300	1000	450	575	0	1000	1000	0	1000	1000	1000	0	0	0	0	0	450
chr1_16924100_16925550	1450	1450	1450	1450	375	475	25	1300	1450	1450	1450	1150	1375	1450	1450	375	1450	600	300	375	1450	550	1450	1450	775	1200	0	1450	700	225	1450	1450	1450	600	1450	75	1450	0	1450	1225	75	1450	1450	1450	0	0	0	0	0	0
chr1_16926950_16927800	850	775	850	775	0	850	0	475	850	850	850	850	825	400	850	850	850	825	0	825	850	175	850	850	250	525	0	850	775	700	850	850	850	0	850	475	850	0	850	850	525	850	850	850	0	0	0	0	0	400
chr1_16946200_16946950	750	750	750	750	0	750	50	750	750	750	750	750	750	750	750	750	750	750	750	725	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	0	750	750	750	750	750	750	0	0	0	0	0	750
chr1_17405750_17406200	450	450	450	0	0	450	25	450	450	450	450	425	450	275	450	450	450	450	350	200	450	0	450	0	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	425	450	450	450	50	0	0	0	50	0
chr1_17566400_17566950	0	0	550	400	0	450	0	300	550	550	550	550	525	0	0	225	0	0	0	0	550	0	550	550	0	25	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0
chr1_17617500_17617800	300	225	300	300	0	300	0	225	225	300	300	75	300	300	0	0	0	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0
chr1_19445900_19446300	0	400	400	400	0	0	0	325	0	400	400	400	400	300	400	0	400	400	0	400	400	0	400	400	400	225	400	400	400	400	400	400	400	400	400	400	400	0	400	400	0	400	400	400	0	175	0	0	75	0
chr1_19452000_19452500	500	500	500	75	0	500	75	50	500	500	500	500	500	0	0	0	500	200	200	450	500	0	500	375	425	500	500	500	0	350	500	500	500	500	150	500	500	0	500	500	0	500	500	500	0	0	0	0	0	0
chr1_19460550_19460850	300	300	300	300	0	300	300	300	300	300	300	300	300	75	300	225	300	300	0	300	300	0	300	300	300	75	300	300	225	300	300	300	300	300	300	300	300	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_21446550_21446850	300	300	300	150	0	300	0	225	300	0	300	300	300	0	300	300	300	300	0	300	300	0	300	300	300	0	300	0	300	300	300	0	0	300	300	300	300	0	300	300	0	300	300	300	300	0	0	0	0	0
chr1_21468350_21468650	300	300	300	300	0	300	0	300	300	0	300	300	300	25	0	0	200	0	0	275	300	0	0	300	0	0	0	0	0	0	200	50	0	0	0	0	0	0	300	0	0	300	0	0	0	0	0	0	0	0
chr1_24820650_24821050	400	400	400	400	75	400	400	400	400	375	400	400	400	0	400	400	400	0	400	400	400	0	400	400	400	0	400	0	400	400	400	400	400	400	400	400	400	0	400	400	175	400	400	400	400	400	400	400	400	400
chr1_25568550_25569250	700	700	700	700	0	700	700	700	700	700	700	700	700	700	600	150	700	700	0	700	700	0	700	675	700	700	0	0	700	700	700	675	625	0	700	0	700	0	700	700	0	700	525	700	0	0	0	0	0	0
chr1_25813750_25814700	0	950	950	200	0	950	50	500	450	950	950	950	950	150	750	950	950	750	300	900	950	0	950	950	750	0	0	950	750	950	950	950	0	0	950	0	950	0	950	950	125	950	950	950	0	0	0	0	0	0
chr1_25815550_25816650	300	1100	1100	0	0	1100	0	225	1100	1100	1100	1100	1025	1100	1100	800	1100	1100	0	1100	1100	0	1100	1100	800	0	0	125	975	1100	1100	1100	0	0	1100	0	1100	0	1100	1100	50	1100	1100	1100	0	0	0	0	0	0
chr1_26829000_26829300	300	300	300	150	0	300	75	300	150	300	300	300	300	300	300	0	300	0	0	150	300	0	300	225	300	300	300	300	300	150	225	300	300	300	300	300	300	0	300	300	300	300	300	300	0	0	0	0	0	0
chr1_27541500_27541800	300	300	300	300	0	300	0	300	300	300	300	225	300	300	225	300	300	300	0	0	300	0	300	75	0	0	0	75	0	150	0	300	300	150	300	300	300	0	300	300	0	300	300	300	0	0	0	0	0	0
chr1_27565500_27565800	300	300	300	0	0	0	0	0	225	300	300	300	300	0	300	300	300	0	0	300	300	0	300	0	225	0	0	0	0	300	300	300	300	75	300	300	300	0	300	300	0	300	300	300	0	0	0	0	0	0
