# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A1CF	unnamed (+232350)
ACTL9	unnamed (+27322), unnamed (+34272)
ACTN4	unnamed (+18255), unnamed (+20430), unnamed (+21030), unnamed (+46330), unnamed (+58205), unnamed (+61555), unnamed (+65755), unnamed (+69055), unnamed (+71705), unnamed (+72405), unnamed (+75580)
ACTR1A	unnamed (+17186)
ACTR2	unnamed (+137563), unnamed (+140763), unnamed (+141013), unnamed (+144638), unnamed (+164713), unnamed (+168338)
ACTR3	unnamed (-29460), unnamed (+2965), unnamed (+5565), unnamed (+9340), unnamed (+10240), unnamed (+82140)
ACTR6	unnamed (-141887), unnamed (-141437), unnamed (-61787)
ACYP2	unnamed (+16472), unnamed (+131322), unnamed (+132922), unnamed (+133422)
ADAM17	unnamed (-63787), unnamed (-63337), unnamed (-62562), unnamed (+9463), unnamed (+14863), unnamed (+17213)
ADAM19	unnamed (+25075)
ADAM23	unnamed (+136)
ADAM28	unnamed (+31960)
ADAM8	unnamed (+8143)
ADAMDEC1	unnamed (-58285)
ADAMTS10	unnamed (-63235), unnamed (-56285)
ADAMTS13	unnamed (+6650)
ADAMTS15	unnamed (+149651), unnamed (+444976)
ADAMTS17	unnamed (-8020), unnamed (+380)
ADAMTSL5	unnamed (+5089)
ADAR	unnamed (-212919), unnamed (-211244), unnamed (-210244)
ADARB1	unnamed (-181992)
ADARB2	unnamed (+282526), unnamed (+682101)
ADCK2	unnamed (+4997)
ADCY1	unnamed (-68297), unnamed (+21928)
ADCY10	unnamed (+108752), unnamed (+123702), unnamed (+165727), unnamed (+166302), unnamed (+167327)
ADCY2	unnamed (-673283)
ADCY3	unnamed (+5911), unnamed (+44961), unnamed (+77386), unnamed (+92511)
ADCY5	unnamed (-128892), unnamed (-127267), unnamed (-126117), unnamed (-51767)
ADCY7	unnamed (+34009), unnamed (+99734)
ADCYAP1R1	unnamed (-77686)
ADD2	unnamed (+352)
ADD3	unnamed (-11112), unnamed (+127463)
ADGRA3	unnamed (+54)
ADGRB1	unnamed (+160045)
ADGRB2	unnamed (-21640), unnamed (-20990), unnamed (+18860), unnamed (+20885)
ADGRD1	unnamed (+26314), unnamed (+557314)
ADGRE1	unnamed (-92497)
ADGRG1	unnamed (-67273), unnamed (-57798), unnamed (-56973), unnamed (-55023), unnamed (-53173), unnamed (-44748), unnamed (-43873)
ADGRG5	unnamed (-3589), unnamed (-964), unnamed (-39), unnamed (+986), unnamed (+10036), unnamed (+19511), unnamed (+20336), unnamed (+22286), unnamed (+24136), unnamed (+32561), unnamed (+33436)
ADGRL1	unnamed (-988)
ADGRL4	unnamed (-734732)
ADH5	unnamed (+59701), unnamed (+61001), unnamed (+61826)
ADHFE1	unnamed (+155414)
ADI1	unnamed (+55311), unnamed (+56761), unnamed (+59186), unnamed (+61511), unnamed (+97336)
ADIPOR2	unnamed (+25548), unnamed (+83248)
ADK	unnamed (+489396)
ADNP	unnamed (+47965)
ADNP2	unnamed (-69281)
ADO	unnamed (-71982)
ADORA2A	unnamed (-126544), unnamed (-102269), unnamed (-34294), unnamed (-31919), unnamed (-27344)
ADORA3	unnamed (-14065)
ADPGK	unnamed (+43085)
ADRA1B	unnamed (-488724), unnamed (-143074), unnamed (+76)
ADRA2A	unnamed (-104313), unnamed (-80988)
ADRB1	unnamed (-164656)
ADRB2	unnamed (-93745), unnamed (-14020)
ADSSL1	unnamed (-37234), unnamed (-32009), unnamed (-30309), unnamed (-29059), unnamed (-20509), unnamed (-16084)
AEBP2	unnamed (+10151), unnamed (+19176)
AFAP1L2	unnamed (-69365), unnamed (-68740)
AFDN	unnamed (-128685)
AFG3L2	unnamed (+13114), unnamed (+16614), unnamed (+23039), unnamed (+42089), unnamed (+49489), unnamed (+62739)
AFM	unnamed (+93042), unnamed (+94217), unnamed (+107292), unnamed (+108342), unnamed (+109717), unnamed (+117217), unnamed (+119017), unnamed (+122292), unnamed (+124942), unnamed (+128242), unnamed (+129592)
AFTPH	unnamed (+55220), unnamed (+58770)
AGA	unnamed (+102328)
AGAP2	unnamed (+4921), unnamed (+5746), unnamed (+8346)
AGFG1	unnamed (-85152), unnamed (+34623), unnamed (+38498), unnamed (+39098)
AGO1	unnamed (+9091), unnamed (+11691)
AGO2	unnamed (+57969), unnamed (+81519), unnamed (+89794), unnamed (+90269), unnamed (+111444), unnamed (+111844), unnamed (+112469)
AGO3	unnamed (-38778), unnamed (-36178), unnamed (+103847)
AGPAT1	unnamed (+8480)
AGPAT3	unnamed (+3567), unnamed (+5467), unnamed (+10992), unnamed (+42017), unnamed (+43492)
AGPAT4	unnamed (+244886)
AGR2	unnamed (-46120), unnamed (+34130), unnamed (+45080), unnamed (+46280), unnamed (+47880), unnamed (+48980), unnamed (+49730), unnamed (+50105)
AGR3	unnamed (-353163), unnamed (-352363), unnamed (-351863), unnamed (+30787)
AGT	unnamed (+31022)
AGTPBP1	unnamed (+897729)
AHCYL1	unnamed (+29714)
AHI1	unnamed (+273345)
AHR	unnamed (-64772), unnamed (-64272), unnamed (-63472), unnamed (-672), unnamed (-147)
AHSA2	unnamed (+161571), unnamed (+162521), unnamed (+174096), unnamed (+192721), unnamed (+193371), unnamed (+287521)
AIDA	unnamed (+78374)
AIMP1	unnamed (-36107)
AIMP2	unnamed (-1820)
AJAP1	unnamed (-743795), unnamed (-628220), unnamed (-626420), unnamed (-608645)
AK6	unnamed (-4583), unnamed (+12242)
AK7	unnamed (+100989), unnamed (+105014)
AK8	unnamed (-23848), unnamed (-16448), unnamed (-12598), unnamed (-9898)
AKAIN1	unnamed (-92772), unnamed (-91372), unnamed (-90072)
AKAP1	unnamed (-106442), unnamed (-81642), unnamed (-80017), unnamed (-79092)
AKAP11	unnamed (+34347), unnamed (+57397)
AKAP12	unnamed (-351624), unnamed (-333424), unnamed (-313249)
AKAP13	unnamed (+75371), unnamed (+93671), unnamed (+109996), unnamed (+336346)
AKAP5	unnamed (-55799), unnamed (-42749)
AKAP8	unnamed (-25058), unnamed (-22133)
AKAP8L	unnamed (+14204), unnamed (+17129)
AKAP9	unnamed (+54433)
AKIRIN2	unnamed (+8009), unnamed (+17759)
AKR1A1	unnamed (+1682), unnamed (+13757)
AKR1D1	unnamed (+218598)
AKR1E2	unnamed (-704004), unnamed (-695254), unnamed (-689779)
AKT2	unnamed (+38445)
AKT3	unnamed (+246982), unnamed (+528907)
ALCAM	unnamed (-905559), unnamed (-841709), unnamed (-18784), unnamed (+3741), unnamed (+19191), unnamed (+21341), unnamed (+436491)
ALDH18A1	unnamed (+19231)
ALDH1L2	unnamed (+117827)
ALDH4A1	unnamed (-5769)
ALDH8A1	unnamed (+121722), unnamed (+570522)
ALDH9A1	unnamed (-39787)
ALDOC	unnamed (-2486), unnamed (-511)
ALG12	unnamed (+11258)
ALG2	unnamed (+84956), unnamed (+86581), unnamed (+91306)
ALG5	unnamed (+14467), unnamed (+25117)
ALG9	unnamed (+1131), unnamed (+94731)
ALK	unnamed (+674341)
ALKAL2	unnamed (-387229), unnamed (-386529), unnamed (-385804), unnamed (-384054), unnamed (-348529), unnamed (-176529), unnamed (-159579), unnamed (-157104), unnamed (-155329), unnamed (-154679), unnamed (-153154)
ALKBH2	unnamed (+9184)
ALKBH8	unnamed (-2708), unnamed (-2233), unnamed (-858), unnamed (+1892)
ALOX5AP	unnamed (-86178)
ALPK1	unnamed (+79632)
ALPK2	unnamed (-35593), unnamed (-32918), unnamed (-11318), unnamed (+76532), unnamed (+102732), unnamed (+340957), unnamed (+403032), unnamed (+405007), unnamed (+405407)
ALPL	unnamed (+6528), unnamed (+8953), unnamed (+15053), unnamed (+15778)
ALPP	unnamed (-14834)
ALX1	unnamed (+144668), unnamed (+247493)
ALX3	unnamed (-31775)
ALYREF	unnamed (+12636)
AMBRA1	unnamed (+71671)
AMD1	unnamed (+7280)
AMER2	unnamed (-75863)
AMHR2	unnamed (-35530), unnamed (-35180)
AMIGO2	unnamed (-620385), unnamed (-578635), unnamed (-302960), unnamed (-218735), unnamed (-188210)
AMN	unnamed (-98406), unnamed (-97381), unnamed (-86181), unnamed (-55906), unnamed (-46956), unnamed (-31006)
AMOTL1	unnamed (+104), unnamed (+156479)
AMPD2	unnamed (+6071)
AMPH	unnamed (-96808)
AMZ1	unnamed (-27147), unnamed (-26622)
AMZ2	unnamed (-22974)
ANAPC10	unnamed (-57134), unnamed (-56359), unnamed (-56084), unnamed (-55209)
ANAPC16	unnamed (-41150)
ANAPC7	unnamed (+28380), unnamed (+58830), unnamed (+69655), unnamed (+70630), unnamed (+92880), unnamed (+119280)
ANGPTL1	unnamed (+74002)
ANGPTL2	unnamed (-43542), unnamed (+63058)
ANGPTL7	unnamed (-50466), unnamed (-32116), unnamed (-30841), unnamed (+12109), unnamed (+19484), unnamed (+48284), unnamed (+52309), unnamed (+62759)
ANK1	unnamed (-153138)
ANK2	unnamed (+97499), unnamed (+512774), unnamed (+518799), unnamed (+521149)
ANK3	unnamed (-341770), unnamed (-340170), unnamed (-262995), unnamed (+154880), unnamed (+253930)
ANKDD1A	unnamed (-46802), unnamed (+48448)
ANKFY1	unnamed (-35803), unnamed (-35303), unnamed (+47097)
ANKH	unnamed (+109003), unnamed (+184753), unnamed (+186578), unnamed (+194578)
ANKMY2	unnamed (+82242)
ANKRD12	unnamed (+7773), unnamed (+10673), unnamed (+44248), unnamed (+113423), unnamed (+120373)
ANKRD13A	unnamed (+23577), unnamed (+25152), unnamed (+101827)
ANKRD13C	unnamed (+60847), unnamed (+61672), unnamed (+126822), unnamed (+131297)
ANKRD17	unnamed (+12360), unnamed (+61510), unnamed (+64210), unnamed (+75960), unnamed (+78110), unnamed (+175560), unnamed (+175860)
ANKRD26	unnamed (+44792)
ANKRD28	unnamed (+54421), unnamed (+65196), unnamed (+175996), unnamed (+191721)
ANKRD37	unnamed (-1559), unnamed (+4416)
ANKRD44	unnamed (-123034)
ANKRD49	unnamed (-69954), unnamed (-879)
ANKRD50	unnamed (+693632)
ANKRD52	unnamed (+16166)
ANKRD6	unnamed (+34599), unnamed (+34999)
ANKRD9	unnamed (-50834)
ANKS1B	unnamed (-154063), unnamed (-74413), unnamed (-73963)
ANLN	unnamed (-213856), unnamed (-103906)
ANO2	unnamed (+489607)
ANO6	unnamed (+194490)
ANO7	unnamed (+54841)
ANP32A	unnamed (+182020), unnamed (+187720), unnamed (+232845)
ANP32B	unnamed (+3839), unnamed (+5014), unnamed (+6139), unnamed (+7164), unnamed (+8439), unnamed (+9489), unnamed (+14289), unnamed (+14689), unnamed (+16039), unnamed (+16614), unnamed (+19689), unnamed (+20614), unnamed (+27839), unnamed (+36464), unnamed (+52114)
ANTXR1	unnamed (+327422)
ANTXR2	unnamed (+469063), unnamed (+472888)
ANXA13	unnamed (-61723), unnamed (-60223), unnamed (-50898), unnamed (-33073)
ANXA3	unnamed (+60081), unnamed (+61581), unnamed (+122631), unnamed (+154481), unnamed (+200831)
ANXA6	unnamed (+22007), unnamed (+50457)
ANXA7	unnamed (+44292)
AOAH	unnamed (-672326), unnamed (-671526), unnamed (-593201), unnamed (-591151), unnamed (-563176), unnamed (-558376), unnamed (-535451), unnamed (-491501), unnamed (-484426), unnamed (-359551), unnamed (-144776)
AP2B1	unnamed (+121060)
AP3B1	unnamed (+71880)
AP3M1	unnamed (+38513), unnamed (+53988), unnamed (+72388), unnamed (+75838)
AP4E1	unnamed (-27648)
AP5Z1	unnamed (-10822)
APAF1	unnamed (+75009)
APBB1IP	unnamed (-65053), unnamed (+63247), unnamed (+76172)
APC	unnamed (+19037), unnamed (+59212)
APCDD1	unnamed (-240878), unnamed (-200328), unnamed (-192953), unnamed (-189528), unnamed (-169053), unnamed (-156553)
APH1B	unnamed (-82754)
APLF	unnamed (-92586), unnamed (-89661), unnamed (-89411), unnamed (+127139)
APMAP	unnamed (-57896), unnamed (-56121)
APOBEC2	unnamed (+1871)
APOBEC3B	unnamed (+2091)
APOBEC3C	unnamed (-29583)
APOF	unnamed (-63077), unnamed (-54427)
APOL1	unnamed (+57947)
APP	unnamed (+420179)
APPL2	unnamed (-548217), unnamed (-122867), unnamed (-93842), unnamed (-92667), unnamed (+64608), unnamed (+125233)
APRT	unnamed (+1894)
APTX	unnamed (-1224)
AQP3	unnamed (-22139), unnamed (-19714)
AQR	unnamed (+67689)
ARAP1	unnamed (+42953)
ARC	unnamed (+4997)
AREG	unnamed (-42234)
ARF4	unnamed (-61992)
ARF6	unnamed (+47608)
ARFGAP3	unnamed (-77348), unnamed (-76673), unnamed (-75848), unnamed (-28398), unnamed (-23698), unnamed (+136677), unnamed (+140202)
ARGLU1	unnamed (-351336), unnamed (-349761)
ARHGAP1	unnamed (+21349)
ARHGAP10	unnamed (+211287)
ARHGAP11A	unnamed (+19560)
ARHGAP12	unnamed (-94593)
ARHGAP15	unnamed (-250314), unnamed (-248314), unnamed (-236389), unnamed (-213889), unnamed (-212939), unnamed (-188964), unnamed (-154739), unnamed (-151114), unnamed (-149864), unnamed (-148064), unnamed (-7964), unnamed (+13261), unnamed (+601411)
ARHGAP18	unnamed (-37750), unnamed (+604650)
ARHGAP19	unnamed (+13481), unnamed (+14756), unnamed (+17806), unnamed (+36781)
ARHGAP24	unnamed (-83189), unnamed (-81314), unnamed (-51089), unnamed (+540211), unnamed (+803936)
ARHGAP26	unnamed (-57009), unnamed (+514416), unnamed (+625341), unnamed (+627291)
ARHGAP27	unnamed (-6453)
ARHGAP31	unnamed (-35473), unnamed (+107077), unnamed (+114477), unnamed (+159702)
ARHGAP40	unnamed (+72391)
ARHGAP45	unnamed (+15452)
ARHGDIA	unnamed (-7621)
ARHGDIB	unnamed (-1506)
ARHGEF10	unnamed (-50215)
ARHGEF17	unnamed (+16986), unnamed (+55611)
ARHGEF33	unnamed (+110170), unnamed (+178670), unnamed (+180570)
ARHGEF37	unnamed (+36352)
ARHGEF38	unnamed (+139428)
ARHGEF39	unnamed (+5537)
ARHGEF7	unnamed (+45523), unnamed (+46123), unnamed (+46548), unnamed (+96273), unnamed (+103748), unnamed (+108023), unnamed (+111748), unnamed (+131173), unnamed (+159198), unnamed (+166748), unnamed (+172423)
ARID1A	unnamed (-142108), unnamed (-128108), unnamed (-123808), unnamed (+31267)
ARID1B	unnamed (-9824), unnamed (-8999), unnamed (-8124), unnamed (+113751), unnamed (+447276), unnamed (+535551)
ARID2	unnamed (-319090), unnamed (+162660), unnamed (+184610)
ARID3B	unnamed (+51544)
ARID5B	unnamed (-148700), unnamed (+206125), unnamed (+209225), unnamed (+266000), unnamed (+343650)
ARIH2OS	unnamed (-41815)
ARL14EP	unnamed (+1774), unnamed (+3299), unnamed (+9549), unnamed (+10774), unnamed (+12124), unnamed (+17649), unnamed (+21774)
ARL2BP	unnamed (-11373), unnamed (-10848), unnamed (-8573)
ARL4C	unnamed (-74375), unnamed (-73300)
ARL4D	unnamed (-181784)
ARL5A	unnamed (-5662)
ARL5B	unnamed (+1270)
ARL6IP6	unnamed (-310764), unnamed (-250614), unnamed (-218089), unnamed (-151339), unnamed (-57164), unnamed (-53714)
ARL8B	unnamed (+39605), unnamed (+53680), unnamed (+54205), unnamed (+54930), unnamed (+56580), unnamed (+58030)
ARL9	unnamed (-36009), unnamed (-27309), unnamed (-18209), unnamed (-16134), unnamed (+145216), unnamed (+148091)
ARMC2	unnamed (+55853)
ARMC3	unnamed (-185324), unnamed (-161174), unnamed (+76)
ARMC4	unnamed (+373)
ARMC8	unnamed (+35758), unnamed (+36133), unnamed (+109158)
ARMC9	unnamed (+21761), unnamed (+22686), unnamed (+91011)
ARMT1	unnamed (+12038), unnamed (+29988)
ARNTL2	unnamed (-47430), unnamed (-34005), unnamed (-27505)
ARPC2	unnamed (+3465)
ARRDC4	unnamed (-98), unnamed (+527), unnamed (+186827), unnamed (+190077)
ARSB	unnamed (+139385), unnamed (+159010), unnamed (+160385), unnamed (+161160)
ART4	unnamed (-37705)
ARV1	unnamed (-40599)
ASAH2	unnamed (-204090), unnamed (-110590), unnamed (-99640), unnamed (-87465), unnamed (-68390), unnamed (-67140)
ASAP1	unnamed (+130285), unnamed (+142285), unnamed (+157735), unnamed (+163285), unnamed (+165085), unnamed (+197160), unnamed (+199385), unnamed (+200360), unnamed (+236335), unnamed (+239835), unnamed (+287985), unnamed (+300510), unnamed (+307660), unnamed (+338910), unnamed (+340510), unnamed (+341435), unnamed (+374760), unnamed (+377910), unnamed (+384735), unnamed (+467210), unnamed (+467585), unnamed (+475710)
ASAP2	unnamed (+124235)
ASAP3	unnamed (-23772)
ASB1	unnamed (+349301), unnamed (+351226)
ASB13	unnamed (-297), unnamed (+678), unnamed (+2653), unnamed (+20803), unnamed (+84753)
ASB2	unnamed (+31941)
ASB8	unnamed (+6245)
ASCC2	unnamed (+41176), unnamed (+41626)
ASH1L	unnamed (+59707), unnamed (+76482), unnamed (+82057), unnamed (+82682), unnamed (+106507), unnamed (+183082)
ASH2L	unnamed (+11958), unnamed (+13283)
ASPH	unnamed (-125416), unnamed (-33941), unnamed (-616), unnamed (+809), unnamed (+2359), unnamed (+3884), unnamed (+78259)
ASPHD2	unnamed (+3927), unnamed (+34152)
ASS1	unnamed (-92262), unnamed (-91662)
ASTE1	unnamed (+118667)
ASXL1	unnamed (-71152), unnamed (+31948), unnamed (+85173)
ASXL2	unnamed (+26134)
ASXL3	unnamed (-777602), unnamed (-776352), unnamed (-604477), unnamed (+580848)
ATAD2	unnamed (+1790), unnamed (+4340), unnamed (+8915), unnamed (+21815), unnamed (+36440)
ATAD2B	unnamed (+229939)
ATF1	unnamed (-165992)
ATF2	unnamed (+106281)
ATF6	unnamed (+11606), unnamed (+12706), unnamed (+12981)
ATF7IP	unnamed (-231339), unnamed (-225989), unnamed (+67136)
ATF7IP2	unnamed (-89530), unnamed (-86130)
ATG10	unnamed (+201975)
ATG101	unnamed (-10721), unnamed (+3779), unnamed (+4629)
ATG13	unnamed (+61650)
ATG16L1	unnamed (+2479), unnamed (+4504), unnamed (+18329), unnamed (+18579), unnamed (+21854), unnamed (+27304), unnamed (+31329), unnamed (+37554)
ATG16L2	unnamed (+38492), unnamed (+48567), unnamed (+60242), unnamed (+110792), unnamed (+113067), unnamed (+118242), unnamed (+121992), unnamed (+174692), unnamed (+205292), unnamed (+237542), unnamed (+239267), unnamed (+259967)
ATG2A	unnamed (+3848)
ATG4B	unnamed (+20738)
ATG7	unnamed (+15759), unnamed (+95034), unnamed (+277734), unnamed (+290859), unnamed (+310709), unnamed (+328459), unnamed (+330534), unnamed (+331909), unnamed (+332884), unnamed (+333284), unnamed (+335859)
ATM	unnamed (-2407)
ATP10A	unnamed (-219417), unnamed (-76167), unnamed (+60033)
ATP10B	unnamed (+383412), unnamed (+426462)
ATP10D	unnamed (-2313), unnamed (-1838), unnamed (+8962), unnamed (+13012), unnamed (+32537)
ATP11B	unnamed (-76775)
ATP13A2	unnamed (-26878)
ATP13A3	unnamed (-172611), unnamed (-141886), unnamed (+31214), unnamed (+31539), unnamed (+56564)
ATP1B3	unnamed (+116111)
ATP2A2	unnamed (-116956), unnamed (-115331), unnamed (+2769), unnamed (+29169), unnamed (+51419), unnamed (+52394), unnamed (+63219), unnamed (+93669)
ATP2A3	unnamed (-163284), unnamed (+31716)
ATP2B1	unnamed (-210369), unnamed (-174244), unnamed (-57294), unnamed (+97806), unnamed (+106081), unnamed (+106631)
ATP2B2	unnamed (+116709)
ATP2C1	unnamed (+399), unnamed (+57524)
ATP5J	unnamed (-15442)
ATP5L	unnamed (-4204), unnamed (+5396), unnamed (+8971), unnamed (+14696)
ATP5O	unnamed (+1580), unnamed (+13605)
ATP6AP1L	unnamed (+541638), unnamed (+733063), unnamed (+778838), unnamed (+780088)
ATP6V1A	unnamed (-3569), unnamed (+36356), unnamed (+56881), unnamed (+57681), unnamed (+85656)
ATP6V1B2	unnamed (+71108)
ATP6V1C2	unnamed (+53751), unnamed (+80051), unnamed (+85201), unnamed (+86401)
ATP6V1G1	unnamed (-20396)
ATP6V1G3	unnamed (-949351), unnamed (-859351), unnamed (-685651), unnamed (-480151), unnamed (-468976), unnamed (-394476), unnamed (-382626), unnamed (-379426), unnamed (-363551), unnamed (-316426), unnamed (-167526), unnamed (-133301), unnamed (-103551), unnamed (-96901), unnamed (-95926), unnamed (-4301), unnamed (-2951), unnamed (+1299), unnamed (+4599), unnamed (+17624)
ATP8A1	unnamed (+7280), unnamed (+10080), unnamed (+11680), unnamed (+14005), unnamed (+15505), unnamed (+17005), unnamed (+19080), unnamed (+22855), unnamed (+25880), unnamed (+31430), unnamed (+33130), unnamed (+38855), unnamed (+50755), unnamed (+52680), unnamed (+57155), unnamed (+71255), unnamed (+73230), unnamed (+73780), unnamed (+77155), unnamed (+78630), unnamed (+83405), unnamed (+85330), unnamed (+87630), unnamed (+178005), unnamed (+240430)
ATP8A2	unnamed (+534479)
ATP8B1	unnamed (-306693), unnamed (-244643), unnamed (-106893), unnamed (-101368), unnamed (-17218), unnamed (-16218)
ATP9B	unnamed (+206181)
ATRNL1	unnamed (-154375), unnamed (+225)
ATXN1	unnamed (+385056)
ATXN2	unnamed (+21076)
ATXN7	unnamed (+106476)
ATXN7L3B	unnamed (-46952)
AUH	unnamed (+187413), unnamed (+476463), unnamed (+482513), unnamed (+485013), unnamed (+491388), unnamed (+492313), unnamed (+492563), unnamed (+492813), unnamed (+505413)
AUTS2	unnamed (-399833), unnamed (+65492), unnamed (+97792), unnamed (+205092), unnamed (+205517), unnamed (+241042), unnamed (+244217), unnamed (+244892), unnamed (+809492), unnamed (+810767)
AXIN2	unnamed (-353303)
B3GALNT1	unnamed (+35726), unnamed (+37251), unnamed (+69901), unnamed (+122626)
B3GALT1	unnamed (-576123), unnamed (+97452), unnamed (+268702)
B3GALT2	unnamed (-354346), unnamed (-351521), unnamed (-350721), unnamed (-262721)
B3GAT2	unnamed (-291462), unnamed (+1338)
B3GLCT	unnamed (+121489)
B3GNT6	unnamed (+12877)
B3GNT7	unnamed (-167543), unnamed (-166618), unnamed (-98293)
B3GNTL1	unnamed (+72710), unnamed (+166285)
B4GALNT3	unnamed (-89), unnamed (+198586)
B4GALT4	unnamed (-18261)
B4GALT6	unnamed (-1052), unnamed (+25698)
B9D1	unnamed (+78063), unnamed (+78563)
BABAM1	unnamed (-1136)
BACH1	unnamed (-174216), unnamed (-122191), unnamed (-103541), unnamed (-90916), unnamed (-65766), unnamed (-61541), unnamed (-54491), unnamed (-6066), unnamed (+8434)
BACH2	unnamed (-241608), unnamed (+107767), unnamed (+111117), unnamed (+171942)
BAG2	unnamed (-66826)
BAHCC1	unnamed (+59075)
BAHD1	unnamed (+24413)
BAIAP2L1	unnamed (+243)
BAMBI	unnamed (-69517)
BANF2	unnamed (+211078), unnamed (+252078), unnamed (+253378), unnamed (+255003), unnamed (+256403)
BANK1	unnamed (-92482), unnamed (-91582), unnamed (+14568), unnamed (+21693), unnamed (+23793), unnamed (+24268), unnamed (+71118), unnamed (+73118), unnamed (+80793)
BARD1	unnamed (+59754), unnamed (+72679)
BARX2	unnamed (+320060)
BASP1	unnamed (+3265), unnamed (+3690), unnamed (+5065), unnamed (+6390), unnamed (+8790), unnamed (+11040), unnamed (+15740), unnamed (+22615), unnamed (+31090), unnamed (+36415), unnamed (+39565), unnamed (+41115), unnamed (+42340), unnamed (+44565), unnamed (+46915), unnamed (+48190), unnamed (+50890), unnamed (+53215), unnamed (+55640), unnamed (+57440), unnamed (+58165), unnamed (+58990), unnamed (+60865), unnamed (+97740), unnamed (+99190)
BAZ1A	unnamed (+44272), unnamed (+63022), unnamed (+89672), unnamed (+94297), unnamed (+98872)
BAZ1B	unnamed (+38797), unnamed (+43397), unnamed (+45447)
BAZ2B	unnamed (+101167)
BBIP1	unnamed (-2124)
BBS10	unnamed (-207158), unnamed (-206408), unnamed (-112208)
BBS4	unnamed (+54513)
BBX	unnamed (-94576), unnamed (+128274), unnamed (+193899), unnamed (+195899), unnamed (+196824)
BCAN	unnamed (+23552)
BCAS1	unnamed (-8006), unnamed (+52594), unnamed (+128794)
BCAS2	unnamed (+19664)
BCAS4	unnamed (+88381)
BCAT1	unnamed (-29100), unnamed (+486400), unnamed (+487925), unnamed (+524025), unnamed (+730250)
BCL10	unnamed (-13085)
BCL11A	unnamed (+958723)
BCL11B	unnamed (-130447)
BCL2	unnamed (-34172), unnamed (-28597), unnamed (-24072), unnamed (+343253), unnamed (+344953), unnamed (+380453), unnamed (+382078), unnamed (+394853), unnamed (+406853), unnamed (+449753), unnamed (+450628), unnamed (+474828), unnamed (+481303), unnamed (+486053), unnamed (+487753), unnamed (+535003), unnamed (+551503), unnamed (+575703), unnamed (+589303), unnamed (+590378), unnamed (+602678)
