# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAED1	unnamed (+8306)
ADTRP	unnamed (-197197), unnamed (-98497), unnamed (-52147), unnamed (-7522), unnamed (+7953), unnamed (+51128), unnamed (+58228), unnamed (+60228), unnamed (+63203), unnamed (+65753), unnamed (+68128), unnamed (+69953)
AEBP1	unnamed (-2061), unnamed (-1586)
AFTPH	unnamed (-69180)
AGBL3	unnamed (+8717)
AGPAT3	unnamed (-63733), unnamed (-62983)
AGPAT5	unnamed (-83657), unnamed (-78907), unnamed (-74432), unnamed (-7982), unnamed (-7007), unnamed (-6357), unnamed (-3832), unnamed (-1682), unnamed (+8268), unnamed (+9868), unnamed (+11668), unnamed (+19043), unnamed (+55518), unnamed (+63193), unnamed (+65743), unnamed (+67693), unnamed (+69043), unnamed (+71243), unnamed (+90293), unnamed (+92268)
AHCY	unnamed (+62398)
AHDC1	unnamed (-26543), unnamed (-25168), unnamed (-23793), unnamed (+74007), unnamed (+79782), unnamed (+80582), unnamed (+82032)
AHNAK	unnamed (+8510)
AIFM2	unnamed (-341)
AK9	unnamed (+12037)
AKAP11	unnamed (+82872)
AKAP12	unnamed (-238424), unnamed (-211024)
AKNA	unnamed (-108895), unnamed (-52645)
ALDH3A1	unnamed (-10016), unnamed (+21309)
ALDH3A2	unnamed (-1051)
ALOX5	unnamed (-14977), unnamed (+60548), unnamed (+79123)
AMN	unnamed (+24144)
AMPD3	unnamed (-133656), unnamed (-131581)
AMY1C	unnamed (+307344), unnamed (+843719)
ANG	unnamed (+31048)
ANGPT2	unnamed (-138591), unnamed (-137941), unnamed (-136966), unnamed (-70516), unnamed (-66041), unnamed (-61291), unnamed (+69634), unnamed (+132359)
ANGPTL2	unnamed (-135642)
ANKRD11	unnamed (+3911), unnamed (+5011), unnamed (+5736), unnamed (+7661), unnamed (+9636), unnamed (+11886), unnamed (+14611), unnamed (+15461), unnamed (+43736), unnamed (+45561), unnamed (+47786), unnamed (+58761), unnamed (+85736)
ANKRD13A	unnamed (+52002)
ANKRD26	unnamed (+230917)
ANKRD44	unnamed (+194116)
ANKRD46	unnamed (+108367), unnamed (+128167)
AP1G1	unnamed (-7049)
AP1M1	unnamed (+5216), unnamed (+18716), unnamed (+19641)
AP1S3	unnamed (-104018), unnamed (-91918), unnamed (-71043), unnamed (-44918), unnamed (+40257)
AP2A2	unnamed (+14466)
AP2S1	unnamed (+3716)
AP3M2	unnamed (+27604)
APBB2	unnamed (+356957), unnamed (+358932), unnamed (+364482), unnamed (+372882), unnamed (+375157)
APCDD1L	unnamed (-120262), unnamed (-119412), unnamed (+109038), unnamed (+110813), unnamed (+112488)
APMAP	unnamed (+27904)
APOBEC3C	unnamed (-2908)
APOBEC3D	unnamed (+8687)
APOBEC3F	unnamed (-10804)
APOBEC3G	unnamed (-1030), unnamed (+11295), unnamed (+13345)
APOBEC3H	unnamed (-8975), unnamed (-6925), unnamed (+21075)
APOD	unnamed (+5), unnamed (+32680), unnamed (+34605)
APOL1	unnamed (+5997)
ARC	unnamed (+141472)
ARF6	unnamed (+53083), unnamed (+112608), unnamed (+146383), unnamed (+170658), unnamed (+198683)
ARFIP1	unnamed (+303188)
ARHGAP12	unnamed (+1457)
ARHGAP17	unnamed (+23056), unnamed (+93981)
ARHGAP21	unnamed (-171132)
ARHGAP25	unnamed (+18990)
ARHGAP26	unnamed (+348191)
ARHGAP27	unnamed (+56572), unnamed (+58372)
ARHGAP44	unnamed (+786), unnamed (+51511), unnamed (+70036), unnamed (+74536), unnamed (+76261), unnamed (+77561), unnamed (+84861), unnamed (+95336), unnamed (+167436), unnamed (+184836)
ARHGEF10L	unnamed (-2260), unnamed (-485), unnamed (+840)
ARHGEF3	unnamed (+288033), unnamed (+297383), unnamed (+317058), unnamed (+321433)
ARID1B	unnamed (-748674), unnamed (-609899), unnamed (-521074), unnamed (-519549), unnamed (-466299), unnamed (-388274), unnamed (-387624), unnamed (-385274), unnamed (-382624), unnamed (-378999), unnamed (+198551), unnamed (+198826), unnamed (+199551), unnamed (+200726)
ARID3A	unnamed (+11288), unnamed (+12363)
ARL15	unnamed (+131248), unnamed (+132298), unnamed (+135673), unnamed (+136823), unnamed (+140148), unnamed (+194373)
ARL4C	unnamed (+4650), unnamed (+6700), unnamed (+7650), unnamed (+71500), unnamed (+72900)
ARL5A	unnamed (+52963), unnamed (+58188)
ARL8A	unnamed (-1609)
ARMC2	unnamed (+22853), unnamed (+24953), unnamed (+26228), unnamed (+107228)
ARMC7	unnamed (-7712), unnamed (-687), unnamed (+5138)
ARNT	unnamed (+39918)
ARSB	unnamed (+267035)
ARTN	unnamed (-100470), unnamed (-99695)
ASCL1	unnamed (+476764)
ASF1A	unnamed (-175845), unnamed (-12020)
ASIP	unnamed (+46381)
ASPRV1	unnamed (-2335)
ATF7IP	unnamed (+182136)
ATOH7	unnamed (-64922)
ATOH8	unnamed (-47669), unnamed (+74306), unnamed (+104656), unnamed (+130106), unnamed (+131831)
ATP10B	unnamed (-283213)
ATP11A	unnamed (+21196), unnamed (+22271), unnamed (+78971), unnamed (+152321)
ATP13A1	unnamed (-2607)
ATP2B4	unnamed (-119161), unnamed (-113061), unnamed (-70486), unnamed (+1739), unnamed (+4214), unnamed (+16589), unnamed (+49164), unnamed (+49789), unnamed (+56664)
ATP6V0C	unnamed (-7345), unnamed (-2345)
ATP6V0E2	unnamed (-3918)
ATP6V1C1	unnamed (-91638), unnamed (-90988), unnamed (-90238), unnamed (-88063)
ATP6V1G1	unnamed (+16729)
ATP6V1H	unnamed (-1388), unnamed (+112162)
ATXN1	unnamed (+29181), unnamed (+49631), unnamed (+55606), unnamed (+56331), unnamed (+60906), unnamed (+63481), unnamed (+65856), unnamed (+69531), unnamed (+70681), unnamed (+76906), unnamed (+77531), unnamed (+91256), unnamed (+272356), unnamed (+274881), unnamed (+277081), unnamed (+278181), unnamed (+323706), unnamed (+325331), unnamed (+334981), unnamed (+337031), unnamed (+338081), unnamed (+345806), unnamed (+351256)
ATXN1L	unnamed (-29741)
AVL9	unnamed (+197111), unnamed (+233611)
AXIN1	unnamed (+25084), unnamed (+44434)
AZIN1	unnamed (-68263), unnamed (-66088), unnamed (-65338), unnamed (-64688), unnamed (+81887), unnamed (+96587), unnamed (+125487)
B3GNT3	unnamed (-24385)
B4GALT3	unnamed (-6632), unnamed (-5732)
B4GALT5	unnamed (-71672)
BACH1	unnamed (+136959), unnamed (+150534)
BACH2	unnamed (-1433)
BAG3	unnamed (+12980), unnamed (+40455), unnamed (+42205), unnamed (+58880), unnamed (+62680), unnamed (+64480)
BANF2	unnamed (+182603), unnamed (+184753), unnamed (+188578), unnamed (+201228)
BARD1	unnamed (+125829)
BBC3	unnamed (+391), unnamed (+3166)
BCL11A	unnamed (+160748), unnamed (+162148), unnamed (+234248), unnamed (+237273)
BCL2	unnamed (+10078), unnamed (+14228), unnamed (+17903), unnamed (+21328), unnamed (+30303), unnamed (+59428), unnamed (+60603), unnamed (+83228), unnamed (+86653), unnamed (+97078), unnamed (+98228), unnamed (+101578), unnamed (+102378), unnamed (+105853), unnamed (+108578), unnamed (+110728), unnamed (+115678), unnamed (+120703), unnamed (+124978), unnamed (+125403), unnamed (+138528), unnamed (+141653), unnamed (+142328), unnamed (+144603), unnamed (+151728), unnamed (+165328), unnamed (+166253), unnamed (+167203), unnamed (+169828), unnamed (+170928), unnamed (+172978), unnamed (+174553), unnamed (+179078), unnamed (+188603)
BCL2L11	unnamed (-273904), unnamed (-71729)
BCL2L14	unnamed (-416789), unnamed (-346814), unnamed (-343389), unnamed (-337664), unnamed (-321789), unnamed (-318789), unnamed (-314339), unnamed (-313239), unnamed (-310789), unnamed (-309339), unnamed (-306564), unnamed (-303614), unnamed (-300739), unnamed (-296389), unnamed (-249389), unnamed (-246764), unnamed (-244639)
BCO1	unnamed (+68802)
BDH1	unnamed (-120313), unnamed (-116813), unnamed (-109113)
BEAN1	unnamed (+94028), unnamed (+98553), unnamed (+99603)
BHLHA9	unnamed (-81509), unnamed (-70009), unnamed (-68584), unnamed (-56859), unnamed (-53909), unnamed (-49909)
BHLHE40	unnamed (-2316)
BICD1	unnamed (-230679)
BLK	unnamed (-7876)
BLOC1S5-TXNDC5	unnamed (+126439)
BMF	unnamed (+6374), unnamed (+47199), unnamed (+52599), unnamed (+55274)
BMP10	unnamed (+117692)
BMPR2	unnamed (+3014)
BNIP3L	unnamed (+67552)
BOD1	unnamed (-134840), unnamed (-121340), unnamed (-116615), unnamed (-95690), unnamed (-86540), unnamed (-84715), unnamed (-83815), unnamed (-82490), unnamed (-80665), unnamed (-78840), unnamed (-76365), unnamed (-75140), unnamed (-72090), unnamed (-64765), unnamed (-62865), unnamed (-9740)
BRD1	unnamed (-4896)
BSPRY	unnamed (+884)
BTBD9	unnamed (-49851), unnamed (-39376), unnamed (+375299)
BTG2	unnamed (-29636), unnamed (+5239), unnamed (+14264), unnamed (+36314), unnamed (+42314)
BTLA	unnamed (+5486), unnamed (+10961), unnamed (+11911), unnamed (+15786), unnamed (+64511), unnamed (+70886), unnamed (+107661), unnamed (+141711), unnamed (+151786), unnamed (+162561), unnamed (+163811)
BUB3	unnamed (+86673), unnamed (+87248), unnamed (+88073)
C11orf80	unnamed (+1189)
C12orf65	unnamed (-116441), unnamed (-113716), unnamed (-110416), unnamed (-105916), unnamed (-102241), unnamed (-99616), unnamed (-98216), unnamed (-91591), unnamed (-88516), unnamed (-83441)
C14orf166	unnamed (-119775), unnamed (-115325), unnamed (-108150)
C16orf72	unnamed (-14598), unnamed (-13548)
C19orf44	unnamed (+7089)
C1orf109	unnamed (+12645), unnamed (+15845)
C1orf186	unnamed (-21173), unnamed (-14223)
C1orf198	unnamed (+118428)
C1orf56	unnamed (-2015)
C2orf40	unnamed (-228881)
C2orf88	unnamed (-60863)
C3orf62	unnamed (+29134), unnamed (+39134)
C5AR1	unnamed (-20599), unnamed (-19999)
C7orf49	unnamed (-35055)
C8orf37	unnamed (+48601)
CA4	unnamed (-62961), unnamed (-53786), unnamed (-52886)
CABLES1	unnamed (-1413), unnamed (+88662), unnamed (+91612), unnamed (+97612), unnamed (+99937), unnamed (+101637), unnamed (+103112), unnamed (+104512), unnamed (+131712)
CACNA1B	unnamed (-173739)
CACNA1D	unnamed (+249801), unnamed (+256126), unnamed (+279176), unnamed (+279951), unnamed (+310526), unnamed (+312501), unnamed (+342801)
CACNA1E	unnamed (-350445)
CACNB2	unnamed (-352), unnamed (+573), unnamed (+3998), unnamed (+200148), unnamed (+206173), unnamed (+209848), unnamed (+260023)
CACNG3	unnamed (-398128), unnamed (-378003), unnamed (-376528), unnamed (-306953), unnamed (-304628), unnamed (-303303), unnamed (-291628), unnamed (-287228), unnamed (-285253), unnamed (-284553), unnamed (-187853)
CACYBP	unnamed (-90383), unnamed (-89833)
CAMKK2	unnamed (+44183)
CAMKMT	unnamed (+353211), unnamed (+407011)
CAPN2	unnamed (+3143)
CAPN7	unnamed (+107332), unnamed (+110132), unnamed (+112457), unnamed (+115757), unnamed (+116882)
CAPN9	unnamed (+416), unnamed (+2841)
CAPS	unnamed (+62668)
CARD11	unnamed (+151720)
CARMIL1	unnamed (-326328), unnamed (+17447), unnamed (+88347), unnamed (+89972), unnamed (+91172), unnamed (+98722), unnamed (+128822), unnamed (+132947)
CARS2	unnamed (+41907)
CASP3	unnamed (+24000), unnamed (+28875), unnamed (+64125), unnamed (+66425)
CASS4	unnamed (-662), unnamed (+963), unnamed (+3238), unnamed (+6313), unnamed (+14938), unnamed (+17138), unnamed (+21438), unnamed (+28063), unnamed (+40288), unnamed (+48938)
CASZ1	unnamed (-189052)
CATSPERE	unnamed (+107299)
CBFA2T3	unnamed (-89471), unnamed (-85546), unnamed (-82546), unnamed (+65329), unnamed (+66904)
CBX7	unnamed (+34300)
CCBE1	unnamed (-187720), unnamed (-185895), unnamed (-183895), unnamed (-179470), unnamed (-178320), unnamed (-175920), unnamed (-151295), unnamed (-149845)
CCDC113	unnamed (-5336)
CCDC182	unnamed (+167162), unnamed (+191787), unnamed (+202187), unnamed (+212412), unnamed (+217337), unnamed (+246862), unnamed (+252012), unnamed (+255962), unnamed (+257662), unnamed (+260862), unnamed (+273487), unnamed (+274912), unnamed (+277087), unnamed (+280112), unnamed (+283137), unnamed (+284487), unnamed (+286037), unnamed (+289362), unnamed (+290187), unnamed (+290987), unnamed (+300712), unnamed (+303337), unnamed (+305412)
CCDC188	unnamed (+16840)
CCDC36	unnamed (+39888), unnamed (+49888)
CCDC57	unnamed (-1662)
CCDC68	unnamed (-575767), unnamed (-575317), unnamed (-574842), unnamed (-574067), unnamed (-546117), unnamed (-493067), unnamed (-480117), unnamed (-478692), unnamed (-426192), unnamed (-424792), unnamed (-380492), unnamed (-339592), unnamed (-324817), unnamed (-283017), unnamed (-176892), unnamed (-163217), unnamed (-147317), unnamed (-145392), unnamed (-143042), unnamed (-140892), unnamed (-137817), unnamed (-134292), unnamed (-132442), unnamed (-127317), unnamed (-120642), unnamed (-119792), unnamed (-108567), unnamed (-106667)
CCDC80	unnamed (-131281)
CCDC88A	unnamed (+136413)
CCDC96	unnamed (+99614), unnamed (+125889)
CCND1	unnamed (-518887)
CCND2	unnamed (+13028), unnamed (+20378)
CCNL1	unnamed (+29888), unnamed (+92538), unnamed (+95313), unnamed (+183163)
CCNYL1	unnamed (-46811), unnamed (-43761)
CCR1	unnamed (+142521)
CCR7	unnamed (-47928), unnamed (-45528), unnamed (-42778), unnamed (-40078), unnamed (-39403), unnamed (-37553), unnamed (-34953), unnamed (-17453), unnamed (-16528), unnamed (+12947), unnamed (+16847), unnamed (+19722), unnamed (+21997), unnamed (+23372), unnamed (+25897), unnamed (+29897), unnamed (+32572), unnamed (+33797), unnamed (+35022)
CD200	unnamed (-531), unnamed (+2594), unnamed (+3844), unnamed (+14619), unnamed (+24694), unnamed (+58744), unnamed (+95519), unnamed (+101894), unnamed (+150619), unnamed (+154494), unnamed (+155444), unnamed (+160919)
CD200R1L	unnamed (+73400)
CD24	unnamed (+279564)
CD247	unnamed (+70288)
CD37	unnamed (+19600), unnamed (+22450)
CD5	unnamed (-127970), unnamed (-120020), unnamed (-119595), unnamed (-115470), unnamed (-36370), unnamed (-22520), unnamed (-19695), unnamed (-12070), unnamed (-8245), unnamed (-495), unnamed (+1530)
CD58	unnamed (-75586), unnamed (-72911), unnamed (-66361), unnamed (-57461), unnamed (-54186), unnamed (-35161), unnamed (-19136), unnamed (-16961), unnamed (-15836), unnamed (-15061)
CD6	unnamed (+2745), unnamed (+10695), unnamed (+11120), unnamed (+15245), unnamed (+94345), unnamed (+108195), unnamed (+111020), unnamed (+118645), unnamed (+122470)
CD7	unnamed (-4098)
CD70	unnamed (+58514)
CD79B	unnamed (-6864), unnamed (-1639)
CD83	unnamed (+610609), unnamed (+637634)
CD84	unnamed (-26696), unnamed (+21279)
CDC14B	unnamed (-27145)
CDC37	unnamed (-6717), unnamed (-4517), unnamed (-2467)
CDC42BPB	unnamed (+110662)
CDC42EP3	unnamed (+34741), unnamed (+53891), unnamed (+56591), unnamed (+72141)
CDC7	unnamed (+172367), unnamed (+183742), unnamed (+209817), unnamed (+211967), unnamed (+230442), unnamed (+231392), unnamed (+236217), unnamed (+251642), unnamed (+302092), unnamed (+304217), unnamed (+326042), unnamed (+327942), unnamed (+329417), unnamed (+383967)
CDH15	unnamed (-53467), unnamed (-39742)
CDH23	unnamed (-36662)
CDIP1	unnamed (-14866), unnamed (-14066)
CDK14	unnamed (+123678), unnamed (+125753), unnamed (+138678)
CDK5R2	unnamed (-64055)
CDKL1	unnamed (-4926), unnamed (-1751), unnamed (-301)
CDNF	unnamed (+267472)
CDRT15L2	unnamed (+96726), unnamed (+118676), unnamed (+119126), unnamed (+391326)
CDYL	unnamed (+108690)
CEACAM21	unnamed (-12349)
CELF2	unnamed (+144795)
CELF6	unnamed (+1454)
CELSR1	unnamed (-855), unnamed (+102570), unnamed (+107095), unnamed (+110495), unnamed (+112495), unnamed (+114295), unnamed (+116320), unnamed (+119370), unnamed (+122095), unnamed (+123020), unnamed (+135545), unnamed (+137795), unnamed (+173970)
CELSR3	unnamed (-285)
CENPBD1	unnamed (-14266), unnamed (-10841), unnamed (-8191)
CEP170	unnamed (+465350)
CEP295NL	unnamed (+1), unnamed (+19451), unnamed (+22801)
CEP68	unnamed (-1972)
CEP76	unnamed (-157501)
CEP85L	unnamed (-172125), unnamed (-8300)
CFAP126	unnamed (-42501)
CFD	unnamed (+32086)
CHAD	unnamed (+2116)
CHD7	unnamed (+198647)
CHDH	unnamed (-210), unnamed (+3415), unnamed (+4065), unnamed (+8890), unnamed (+39190), unnamed (+41165), unnamed (+71740), unnamed (+72515), unnamed (+95565), unnamed (+101890)
CHERP	unnamed (+39130)
CHGA	unnamed (+118620), unnamed (+119520), unnamed (+121895), unnamed (+160195)
CHGB	unnamed (-255380), unnamed (-254005), unnamed (-251280)
CHIT1	unnamed (-46229)
CHL1	unnamed (-186071)
CHMP6	unnamed (-378616)
CHN1	unnamed (+226251)
CHRNA1	unnamed (-14514)
CHRNA9	unnamed (-51779), unnamed (-50304), unnamed (-47679)
CHRNE	unnamed (-676)
CHST11	unnamed (+25252), unnamed (+36802)
CHST15	unnamed (+18407), unnamed (+59157)
CHST2	unnamed (+310744), unnamed (+311344), unnamed (+358844), unnamed (+408494), unnamed (+418519), unnamed (+466819), unnamed (+468169), unnamed (+525194), unnamed (+548944), unnamed (+551719)
CHST3	unnamed (+34885), unnamed (+36510)
CIPC	unnamed (-60497), unnamed (-59247)
CKAP4	unnamed (-40987), unnamed (-28562), unnamed (-27312), unnamed (+1738), unnamed (+19813)
CKLF	unnamed (-1867)
CLDN23	unnamed (-303063)
CLDN5	unnamed (-91055), unnamed (-87855), unnamed (-79980)
CLEC16A	unnamed (+131337), unnamed (+141062), unnamed (+142262), unnamed (+143262), unnamed (+144762)
CLEC18C	unnamed (-10967)
CLEC19A	unnamed (-116227), unnamed (-114752), unnamed (-113352), unnamed (-111777), unnamed (-79602)
CLEC1A	unnamed (+8635)
CLEC2D	unnamed (-27013)
CLEC4G	unnamed (+23846)
CLEC9A	unnamed (+59673)
CLIC6	unnamed (-122289), unnamed (+273561)
CLINT1	unnamed (-42082)
CLK4	unnamed (-46036), unnamed (-10086), unnamed (-4511)
CLLU1	unnamed (+14891), unnamed (+18541)
CLMN	unnamed (-75944)
CLMP	unnamed (-321969), unnamed (-286269), unnamed (-167219), unnamed (-163519), unnamed (-162619)
CLNK	unnamed (-654235), unnamed (-399085), unnamed (-203960), unnamed (-122310), unnamed (-54460), unnamed (-50185), unnamed (-46610), unnamed (-45285), unnamed (-43885), unnamed (-40935), unnamed (-37310), unnamed (-32410), unnamed (-10810), unnamed (-8660), unnamed (-5985), unnamed (-2735), unnamed (-1485), unnamed (+1640), unnamed (+3040), unnamed (+10140), unnamed (+10490), unnamed (+11115), unnamed (+16240), unnamed (+17165), unnamed (+18440), unnamed (+20165), unnamed (+26290), unnamed (+43940), unnamed (+56065), unnamed (+57565), unnamed (+59715), unnamed (+65640), unnamed (+71315), unnamed (+76015), unnamed (+83015), unnamed (+83615), unnamed (+86115), unnamed (+97065)
CLVS1	unnamed (-410530)
CMIP	unnamed (+273780)
CMSS1	unnamed (+26216), unnamed (+28466), unnamed (+30966), unnamed (+43666), unnamed (+45341), unnamed (+54566), unnamed (+127591), unnamed (+191791)
CMTM3	unnamed (+93), unnamed (+968)
CNBP	unnamed (-49415), unnamed (-46490)
CNKSR3	unnamed (+157134), unnamed (+166934)
CNOT1	unnamed (+40436)
CNR2	unnamed (-41413), unnamed (-10788), unnamed (-6413)
CNTNAP1	unnamed (+19612), unnamed (+21662)
COA6	unnamed (+23369)
COCH	unnamed (-25184), unnamed (-18884)
COG6	unnamed (+553798), unnamed (+824623)
COL11A2	unnamed (+76874)
COL1A1	unnamed (+32407), unnamed (+32857)
COL4A2	unnamed (+166458), unnamed (+168483), unnamed (+218583)
COL9A2	unnamed (+5194)
COL9A3	unnamed (+14788), unnamed (+18438), unnamed (+23113)
COLGALT1	unnamed (-9744)
COMMD10	unnamed (+297334)
COPG1	unnamed (-19206), unnamed (-16281)
COX6C	unnamed (+590462)
COX7C	unnamed (+496869), unnamed (+501969), unnamed (+578369)
CPA1	unnamed (-28896)
CPA5	unnamed (+6628)
CPEB1	unnamed (+727)
CPEB4	unnamed (-261880), unnamed (-208755), unnamed (-206855), unnamed (-199530), unnamed (-196480), unnamed (-195255), unnamed (-192780), unnamed (-190955), unnamed (-189130), unnamed (-187805), unnamed (-186905), unnamed (-185080), unnamed (-175930), unnamed (-155005), unnamed (-150280), unnamed (-136780), unnamed (+2070)
CPED1	unnamed (+313123)
CPN1	unnamed (+61727), unnamed (+66077)
CPNE1	unnamed (+33802)
CPPED1	unnamed (+343892), unnamed (+485167), unnamed (+489117), unnamed (+506892), unnamed (+508892), unnamed (+512717), unnamed (+514042), unnamed (+518892)
CPXM2	unnamed (-183386), unnamed (-142636)
CRAMP1	unnamed (+8700), unnamed (+10700)
CREB1	unnamed (-25142)
CREB3L2	unnamed (+3282), unnamed (+9932), unnamed (+22957), unnamed (+34482), unnamed (+39482), unnamed (+46682), unnamed (+49307), unnamed (+54282), unnamed (+68582), unnamed (+83932), unnamed (+85407)
CREBBP	unnamed (+148001), unnamed (+148426)
CRELD2	unnamed (+32490), unnamed (+33340)
CRIP1	unnamed (-6142)
CRIP2	unnamed (+7213)
CRNKL1	unnamed (-247854)
CRTAM	unnamed (-181400), unnamed (-172125), unnamed (-163075), unnamed (-147925), unnamed (-146000), unnamed (-142525), unnamed (-139550), unnamed (-134075), unnamed (-129175), unnamed (-127100), unnamed (-125525), unnamed (-122875), unnamed (-111500), unnamed (-96100), unnamed (-91350), unnamed (-83225)
CRYGS	unnamed (+11377), unnamed (+16452), unnamed (+18277)
CSF3R	unnamed (-401322)
CSNK1G2	unnamed (-32724), unnamed (-31999)
CSNK2A2	unnamed (-46680)
CSNK2A3	unnamed (+453532)
CSPG5	unnamed (-32908)
CSRNP3	unnamed (-190972)
CSRP1	unnamed (+28256)
CSRP2	unnamed (-184040)
CST7	unnamed (+445), unnamed (+15845)
CTCF	unnamed (-30107)
CTCFL	unnamed (+89357), unnamed (+115432), unnamed (+116257)
CTDP1	unnamed (-239901), unnamed (-175401), unnamed (-163801), unnamed (-162326), unnamed (-161151)
CTLA4	unnamed (-986), unnamed (+339), unnamed (+2314), unnamed (+4114), unnamed (+6714), unnamed (+7464), unnamed (+12889)
CTSE	unnamed (-14591), unnamed (-7641)
CTSH	unnamed (-73259), unnamed (-71134), unnamed (-70459), unnamed (-68359), unnamed (-64484), unnamed (-47759)
CTSK	unnamed (-28527)
CUL3	unnamed (-358727), unnamed (-356302), unnamed (-325277)
CWC22	unnamed (-313647)
CWC27	unnamed (+268620), unnamed (+273120), unnamed (+274245), unnamed (+276445), unnamed (+279195), unnamed (+290770), unnamed (+291945), unnamed (+294970), unnamed (+296720), unnamed (+298045), unnamed (+302745), unnamed (+333545), unnamed (+709070)
CXCR4	unnamed (-259157), unnamed (-210382), unnamed (-130582), unnamed (-11507), unnamed (-9607)
CXXC1	unnamed (-20764)
CXXC5	unnamed (-792)
CYBRD1	unnamed (-123), unnamed (+602)
CYLD	unnamed (-42660), unnamed (-39835), unnamed (-33985)
CYP11A1	unnamed (-20110)
CYP17A1	unnamed (+18483), unnamed (+21058), unnamed (+21808), unnamed (+33908)
CYP19A1	unnamed (-3365)
CYTH1	unnamed (+9069), unnamed (+13169), unnamed (+15094), unnamed (+16444), unnamed (+17844), unnamed (+19244), unnamed (+20469), unnamed (+24319), unnamed (+25744), unnamed (+26269), unnamed (+26669), unnamed (+27094), unnamed (+28844), unnamed (+31519), unnamed (+36544)
CYTH4	unnamed (+87092)
DACT1	unnamed (-66104), unnamed (-64629)
DAD1	unnamed (+29169), unnamed (+40119), unnamed (+40644), unnamed (+42344), unnamed (+45644), unnamed (+46994), unnamed (+50469), unnamed (+84669), unnamed (+89094), unnamed (+100294), unnamed (+101219), unnamed (+120569), unnamed (+125369), unnamed (+130244)
DAP3	unnamed (+73592)
DAZL	unnamed (-234010)
DBI	unnamed (-27028), unnamed (-4303), unnamed (-3328), unnamed (-2303)
DBNDD1	unnamed (+33328), unnamed (+36753), unnamed (+39403)
DCAF17	unnamed (-105076), unnamed (-102501), unnamed (-100101), unnamed (-96951), unnamed (-87926)
DCLK1	unnamed (+436781)
DCLK2	unnamed (+872), unnamed (+9022), unnamed (+18022), unnamed (+19972), unnamed (+36947), unnamed (+37772), unnamed (+38972)
DCP2	unnamed (-7286)
DDX28	unnamed (-52933)
DDX51	unnamed (+63185), unnamed (+90110), unnamed (+90735), unnamed (+91310)
DEGS2	unnamed (-6762)
DENND4C	unnamed (-46560), unnamed (-45535)
