# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A2ML1	unnamed (+5803), unnamed (+8528)
ABHD4	unnamed (+130038), unnamed (+152488), unnamed (+156288)
ABHD5	unnamed (+378155)
ABI1	unnamed (-31615), unnamed (-9690), unnamed (-7815), unnamed (+72235), unnamed (+125385), unnamed (+126785), unnamed (+128485)
ABI2	unnamed (+32681)
ABL1	unnamed (+158379)
ABL2	unnamed (+98351)
ABR	unnamed (-78851), unnamed (-60401), unnamed (-51626), unnamed (-44001), unnamed (-30401), unnamed (-25701), unnamed (-16301), unnamed (-14326), unnamed (-12176), unnamed (-10426), unnamed (+7624), unnamed (+9749), unnamed (+12999), unnamed (+15524), unnamed (+18049), unnamed (+19899), unnamed (+23824), unnamed (+28524), unnamed (+39549), unnamed (+40224), unnamed (+41999), unnamed (+44674), unnamed (+57524), unnamed (+64624), unnamed (+66449), unnamed (+67049), unnamed (+72174), unnamed (+73574)
ABRA	unnamed (-92155)
ABTB2	unnamed (+135183), unnamed (+198658)
ACAD9	unnamed (-66611), unnamed (+45214), unnamed (+116339)
ACADM	unnamed (-52209), unnamed (+6791)
ACADS	unnamed (+95115)
ACADSB	unnamed (+80184)
ACBD6	unnamed (-69821)
ACCSL	unnamed (-116906)
ACKR3	unnamed (-44191)
ACKR4	unnamed (-47787)
ACO1	unnamed (+99030)
ACOT2	unnamed (+13941)
ACOT4	unnamed (-8706)
ACOX2	unnamed (+3694)
ACOX3	unnamed (+38111), unnamed (+45161), unnamed (+45886), unnamed (+51336), unnamed (+55786), unnamed (+58311), unnamed (+108961), unnamed (+123586), unnamed (+125561), unnamed (+157386)
ACOXL	unnamed (+101852), unnamed (+102477), unnamed (+112352), unnamed (+113577), unnamed (+115902), unnamed (+172002), unnamed (+237052), unnamed (+272952), unnamed (+284452), unnamed (+297177), unnamed (+309352), unnamed (+313552)
ACP5	unnamed (-10996)
ACP6	unnamed (+28721), unnamed (+43621)
ACR	unnamed (-72121), unnamed (-14796), unnamed (-12871), unnamed (-5071)
ACSBG2	unnamed (+103826)
ACSF2	unnamed (-2544), unnamed (-1694), unnamed (+2206), unnamed (+39256), unnamed (+41706)
ACSF3	unnamed (-102309), unnamed (-58534), unnamed (-37334), unnamed (-35934), unnamed (-35109), unnamed (-34384), unnamed (-25034), unnamed (-8609), unnamed (+26641), unnamed (+38416), unnamed (+62141), unnamed (+63916), unnamed (+72791)
ACSL1	unnamed (+15468), unnamed (+16043), unnamed (+25618), unnamed (+34368), unnamed (+75368)
ACSL3	unnamed (+46166)
ACSL5	unnamed (-7473)
ACSL6	unnamed (-35288)
ACSM1	unnamed (-1919), unnamed (+7706), unnamed (+12156), unnamed (+52231)
ACSM2B	unnamed (-107183), unnamed (-102733), unnamed (-62658)
ACSM5	unnamed (-134)
ACSM6	unnamed (+48950), unnamed (+50475)
ACSS1	unnamed (-18593), unnamed (+57582), unnamed (+59232)
ACTA2	unnamed (+6248), unnamed (+8923)
ACTC1	unnamed (-157911)
ACTG1	unnamed (+18781)
ACTG2	unnamed (-6858), unnamed (-6183)
ACTL6B	unnamed (-11089)
ACTL7B	unnamed (+587642), unnamed (+592992), unnamed (+599367), unnamed (+673317), unnamed (+674142), unnamed (+738892), unnamed (+765517), unnamed (+782867), unnamed (+798592), unnamed (+815592), unnamed (+822092), unnamed (+824617), unnamed (+838942), unnamed (+841392), unnamed (+896242), unnamed (+909592), unnamed (+917442), unnamed (+927217)
ACTL8	unnamed (-213563), unnamed (-204138), unnamed (-189863), unnamed (-185788), unnamed (-173963), unnamed (-126563), unnamed (-124113), unnamed (-121013), unnamed (-96238), unnamed (-56813), unnamed (-54813)
ACTN1	unnamed (-165186), unnamed (-160111), unnamed (+124639)
ACTN4	unnamed (+73105), unnamed (+79230), unnamed (+84455)
ACTR3	unnamed (-46060), unnamed (-38685)
ACTR3C	unnamed (+3155)
ACTR5	unnamed (+6108)
ACVR1	unnamed (+85061)
ACVR1C	unnamed (-161045)
ACVR2B	unnamed (-79501), unnamed (+19424), unnamed (+32624)
ACY3	unnamed (-6066)
ADA2	unnamed (-97140), unnamed (-60265), unnamed (-53840), unnamed (-53140), unnamed (-50115), unnamed (-46415), unnamed (-40690), unnamed (-36815), unnamed (-25390)
ADAL	unnamed (+18908)
ADAM10	unnamed (+199403), unnamed (+295403)
ADAM17	unnamed (-45912)
ADAMTS14	unnamed (-15678), unnamed (+9197), unnamed (+11372)
ADAMTS15	unnamed (+433451)
ADAMTS17	unnamed (+530830)
ADAMTS2	unnamed (+202380)
ADAMTS20	unnamed (+536271)
ADAMTS6	unnamed (+3845), unnamed (+101720), unnamed (+356370), unnamed (+406120), unnamed (+410770), unnamed (+417695), unnamed (+435920), unnamed (+437120), unnamed (+439870), unnamed (+442070), unnamed (+443520), unnamed (+448470), unnamed (+503945)
ADAMTS7	unnamed (-31669), unnamed (-28494)
ADAMTSL3	unnamed (+236214), unnamed (+264964), unnamed (+269914), unnamed (+275989), unnamed (+300689), unnamed (+318839), unnamed (+328339)
ADAMTSL4	unnamed (-35469)
ADAP1	unnamed (-12768), unnamed (-5443), unnamed (-368), unnamed (+41482)
ADAR	unnamed (-182719), unnamed (-176144), unnamed (+24481)
ADARB1	unnamed (-227642), unnamed (+56883)
ADARB2	unnamed (+621101), unnamed (+622426), unnamed (+636101), unnamed (+674701)
ADAT3	unnamed (+5947), unnamed (+7747), unnamed (+9497), unnamed (+15547), unnamed (+17172), unnamed (+19747), unnamed (+22422), unnamed (+23322)
ADCK5	unnamed (-7927), unnamed (+28148)
ADCY1	unnamed (-377797)
ADCY10	unnamed (+4377), unnamed (+136477)
ADCY4	unnamed (+5021)
ADCY6	unnamed (+19579)
ADCY7	unnamed (+57809)
ADCY8	unnamed (-786199)
ADD1	unnamed (+66143)
ADD2	unnamed (+103552)
ADD3	unnamed (+103113)
ADGRA2	unnamed (-5881), unnamed (+48469)
ADGRB1	unnamed (+24095)
ADGRB2	unnamed (+27710), unnamed (+37610)
ADGRB3	unnamed (+983158), unnamed (+996258)
ADGRD1	unnamed (+660139)
ADGRD2	unnamed (+42209)
ADGRE1	unnamed (+101078)
ADGRE3	unnamed (+65796), unnamed (+73971)
ADGRE5	unnamed (-31419)
ADGRG6	unnamed (+392446), unnamed (+393346), unnamed (+395771), unnamed (+401746), unnamed (+421546), unnamed (+428771), unnamed (+486621), unnamed (+508096), unnamed (+526771), unnamed (+589971), unnamed (+596696), unnamed (+598771)
ADGRL1	unnamed (-143838)
ADHFE1	unnamed (+35139), unnamed (+61664), unnamed (+82514)
ADK	unnamed (+21346), unnamed (+78346), unnamed (+101871)
ADM	unnamed (-5834), unnamed (+15291), unnamed (+17291)
ADM5	unnamed (-489)
ADNP	unnamed (+78865), unnamed (+101140)
ADNP2	unnamed (-66456)
ADO	unnamed (-292957), unnamed (-259932), unnamed (-79732), unnamed (-60582), unnamed (-29807)
ADORA1	unnamed (+14235), unnamed (+22235)
ADORA2A	unnamed (+29231)
ADRA1A	unnamed (+268305)
ADRA2B	unnamed (-15455), unnamed (-5105)
ADRA2C	unnamed (-8948)
ADRB1	unnamed (-76631)
ADRB2	unnamed (+13830), unnamed (+18630), unnamed (+26505), unnamed (+43280), unnamed (+85530), unnamed (+90205)
ADRM1	unnamed (-10643), unnamed (-9093), unnamed (-8068), unnamed (-7068), unnamed (-1368)
ADSS	unnamed (+16134), unnamed (+213184), unnamed (+354409), unnamed (+379209)
ADSSL1	unnamed (-11684), unnamed (+10566)
ADTRP	unnamed (-228497), unnamed (-198772), unnamed (-193797), unnamed (-192947), unnamed (-72722), unnamed (-54597), unnamed (-53422), unnamed (-48097), unnamed (-45622), unnamed (-31822), unnamed (-27472), unnamed (-12672), unnamed (+7253), unnamed (+9103), unnamed (+11128), unnamed (+34078), unnamed (+41503), unnamed (+43178), unnamed (+45378), unnamed (+48878), unnamed (+52403), unnamed (+54753), unnamed (+59103), unnamed (+62628), unnamed (+69978), unnamed (+72503), unnamed (+73203), unnamed (+76103), unnamed (+77803), unnamed (+109928), unnamed (+124228), unnamed (+125428)
AEBP2	unnamed (-7324), unnamed (+44676)
AES	unnamed (+10182)
AFAP1L2	unnamed (+96710)
AFDN	unnamed (-35335)
AFF1	unnamed (-21652), unnamed (-7427)
AFF3	unnamed (-168697), unnamed (-117697), unnamed (-85022), unnamed (+135253), unnamed (+338128), unnamed (+340103), unnamed (+343878), unnamed (+350703), unnamed (+352728), unnamed (+411753), unnamed (+446628), unnamed (+460803), unnamed (+472728), unnamed (+498528)
AFF4	unnamed (-59066), unnamed (-54216), unnamed (+48084)
AFG3L2	unnamed (+15314)
AFTPH	unnamed (-36855), unnamed (-36630)
AGA	unnamed (-310522)
AGAP3	unnamed (+38208)
AGBL3	unnamed (-121058), unnamed (+7342), unnamed (+9442), unnamed (+10642)
AGFG2	unnamed (-48825), unnamed (-35925), unnamed (-21725)
AGPAT3	unnamed (-68258), unnamed (-64383), unnamed (-52358), unnamed (-51683), unnamed (-50808), unnamed (+55067), unnamed (+58017), unnamed (+59842)
AGPAT5	unnamed (-135357), unnamed (-83557), unnamed (-80282), unnamed (-77857), unnamed (-72957), unnamed (-30332), unnamed (-14432), unnamed (-10632), unnamed (-8507), unnamed (-6657), unnamed (+36018), unnamed (+43168), unnamed (+45818), unnamed (+55143), unnamed (+60118), unnamed (+62243), unnamed (+64443), unnamed (+67293), unnamed (+79393), unnamed (+80993), unnamed (+88343)
AGPS	unnamed (-40619)
AGRN	unnamed (+10502)
AGRP	unnamed (-25462)
AGTPBP1	unnamed (-156646), unnamed (-61446), unnamed (+17929), unnamed (+19179), unnamed (+40904), unnamed (+202779)
AGTRAP	unnamed (+54320), unnamed (+56470), unnamed (+60570)
AGXT	unnamed (+121746)
AGXT2	unnamed (+68943)
AHCY	unnamed (-15577), unnamed (+39973), unnamed (+53773), unnamed (+55773), unnamed (+63948), unnamed (+92673)
AHDC1	unnamed (-16643), unnamed (-10193), unnamed (-8468), unnamed (+73757), unnamed (+83757), unnamed (+93932), unnamed (+107557)
AHI1	unnamed (-241480), unnamed (+178595), unnamed (+229395), unnamed (+233620)
AHNAK	unnamed (-2040), unnamed (+9535), unnamed (+23885), unnamed (+30585), unnamed (+37410), unnamed (+39635), unnamed (+89760), unnamed (+119210)
AHRR	unnamed (-12401), unnamed (-6876), unnamed (-1976)
AHSG	unnamed (-9773)
AHSP	unnamed (+10736)
AIF1L	unnamed (-76651)
AIFM3	unnamed (-18258), unnamed (-17808)
AIM2	unnamed (+29726)
AK1	unnamed (-14631), unnamed (-10156)
AK4	unnamed (-109655), unnamed (-103830), unnamed (-102480), unnamed (-98105)
AK8	unnamed (-4123)
AK9	unnamed (+3487), unnamed (+11012), unnamed (+61912), unnamed (+62862), unnamed (+94837)
AKAIN1	unnamed (+75128)
AKAP1	unnamed (-99817), unnamed (+89333)
AKAP11	unnamed (+83872), unnamed (+90297)
AKAP12	unnamed (-290774), unnamed (-237549), unnamed (-235624), unnamed (-224149), unnamed (-210749), unnamed (-195399), unnamed (-194224), unnamed (-189099), unnamed (+8601), unnamed (+60276)
AKAP13	unnamed (-264479), unnamed (-263129), unnamed (+198121), unnamed (+407646)
AKAP5	unnamed (-49224)
AKAP7	unnamed (+242559)
AKAP8	unnamed (-15758), unnamed (+26967), unnamed (+42092)
AKAP8L	unnamed (+23504)
AKIRIN2	unnamed (-58191), unnamed (-42491), unnamed (-37266), unnamed (-36341), unnamed (-15241), unnamed (+23534)
AKNA	unnamed (-107670), unnamed (-105395), unnamed (-103920), unnamed (-91670), unnamed (-89495), unnamed (-88570), unnamed (-86795), unnamed (-71770), unnamed (-23070), unnamed (-19545), unnamed (+62980)
AKR1D1	unnamed (+95198)
AKR1E2	unnamed (-993929), unnamed (-967579)
AKT1S1	unnamed (-37847), unnamed (-9147)
AKT3	unnamed (-181393), unnamed (-167018)
ALAS1	unnamed (-1444)
ALDH1B1	unnamed (-71164)
ALDH1L2	unnamed (+143752)
ALDH2	unnamed (+10903)
ALDH3A1	unnamed (-16466), unnamed (-14266), unnamed (-11541), unnamed (-6541), unnamed (-4016), unnamed (+17334), unnamed (+22059)
ALDH3A2	unnamed (+19999), unnamed (+20974), unnamed (+21674), unnamed (+24049), unnamed (+31049), unnamed (+32674), unnamed (+44599), unnamed (+54424), unnamed (+57374)
ALDH3B2	unnamed (-72244), unnamed (+17906)
ALKBH3	unnamed (+50236)
ALKBH4	unnamed (+12351)
ALKBH5	unnamed (+14061)
ALMS1	unnamed (+225617)
ALOX12	unnamed (-133215), unnamed (-82615)
ALOX12B	unnamed (-23447)
ALOX15	unnamed (+68469)
ALOX5	unnamed (-40727), unnamed (-32502), unnamed (-32177), unnamed (+10448), unnamed (+11723), unnamed (+49898), unnamed (+57573)
ALOXE3	unnamed (+7897)
ALPK2	unnamed (+459257)
ALPK3	unnamed (+1695), unnamed (+24370)
ALPP	unnamed (-68659), unnamed (-68109), unnamed (-55659), unnamed (-54309)
ALS2CR12	unnamed (+84328)
ALX4	unnamed (-220759), unnamed (-99784), unnamed (-36959)
AMFR	unnamed (+62888), unnamed (+134938)
AMHR2	unnamed (-4180), unnamed (-3805)
AMIGO1	unnamed (+5582), unnamed (+8157), unnamed (+9032), unnamed (+10182), unnamed (+10882)
AMIGO2	unnamed (-539210), unnamed (-289760), unnamed (-32110)
AMN	unnamed (-17781), unnamed (+17694), unnamed (+20694), unnamed (+23119), unnamed (+50194), unnamed (+62344), unnamed (+63719)
AMOTL1	unnamed (-173796)
AMOTL2	unnamed (+34004)
AMPD3	unnamed (-130306), unnamed (-128306), unnamed (+36144)
AMY1C	unnamed (+34494), unnamed (+209344), unnamed (+307144), unnamed (+717619), unnamed (+844369), unnamed (+879119)
ANAPC1	unnamed (+165040), unnamed (+472515)
ANAPC16	unnamed (-119750), unnamed (-105575)
ANGEL1	unnamed (+30415), unnamed (+39190), unnamed (+40015)
ANGEL2	unnamed (+35126), unnamed (+38401), unnamed (+47501)
ANGPT1	unnamed (+635610)
ANGPT2	unnamed (-138291), unnamed (-136441), unnamed (-134316), unnamed (-130516), unnamed (-114616), unnamed (-71991), unnamed (-67091), unnamed (-64666), unnamed (-61391), unnamed (-9591), unnamed (+15834), unnamed (+48109), unnamed (+59834), unnamed (+69584), unnamed (+149284)
ANGPTL1	unnamed (-63998), unnamed (+109427)
ANGPTL2	unnamed (-135842), unnamed (-134742), unnamed (-125442), unnamed (-123842), unnamed (-36442), unnamed (+4783), unnamed (+137958), unnamed (+194883), unnamed (+196083), unnamed (+202783), unnamed (+206233)
ANGPTL3	unnamed (+77763)
ANGPTL4	unnamed (+6899)
ANGPTL7	unnamed (-45241)
ANK1	unnamed (+32562), unnamed (+72737), unnamed (+148687), unnamed (+226812)
ANK2	unnamed (+393324), unnamed (+395849), unnamed (+396474), unnamed (+397399), unnamed (+446699)
ANKDD1B	unnamed (+37291), unnamed (+56841)
ANKFY1	unnamed (+15672), unnamed (+101847)
ANKH	unnamed (+158403), unnamed (+162778)
ANKK1	unnamed (-21741)
ANKLE2	unnamed (-16437), unnamed (+8163), unnamed (+21588), unnamed (+22663)
ANKMY2	unnamed (+33967)
ANKRD1	unnamed (-219449), unnamed (-167424), unnamed (-127774)
ANKRD10	unnamed (-131031), unnamed (+144144)
ANKRD11	unnamed (+26261), unnamed (+26861), unnamed (+29636), unnamed (+32286), unnamed (+33836), unnamed (+35636), unnamed (+49011), unnamed (+60186), unnamed (+61936), unnamed (+89036), unnamed (+134386), unnamed (+137036)
ANKRD13A	unnamed (+52927), unnamed (+79077), unnamed (+104877)
ANKRD13B	unnamed (+6982), unnamed (+8007), unnamed (+14532)
ANKRD2	unnamed (-66699), unnamed (-63699)
ANKRD26	unnamed (+207942), unnamed (+229867), unnamed (+231742)
ANKRD27	unnamed (+5174), unnamed (+21399)
ANKRD30B	unnamed (-436665), unnamed (-435340), unnamed (-414240)
ANKRD40	unnamed (+11599)
ANKRD44	unnamed (-63559), unnamed (-28934), unnamed (+189891), unnamed (+193191), unnamed (+299066)
ANKRD46	unnamed (+78617), unnamed (+143567)
ANKRD6	unnamed (-32376), unnamed (+61399)
ANKS1A	unnamed (+168085)
ANKS3	unnamed (-15613), unnamed (-11863)
ANKS4B	unnamed (-9340)
ANO3	unnamed (-291874), unnamed (-289424), unnamed (-232824), unnamed (-111124)
ANPEP	unnamed (-45063), unnamed (-9913), unnamed (-7188)
ANTXR2	unnamed (-82437), unnamed (-81437), unnamed (-48737)
ANTXRL	unnamed (+10977)
ANXA11	unnamed (+28247), unnamed (+29072), unnamed (+31497), unnamed (+58847), unnamed (+59597)
ANXA13	unnamed (+4727)
ANXA2	unnamed (+26810), unnamed (+160610), unnamed (+168110), unnamed (+170035)
ANXA6	unnamed (+52107)
ANXA8L1	unnamed (-77752)
ANXA9	unnamed (+283)
AOAH	unnamed (-640951), unnamed (-638626), unnamed (-635576), unnamed (-506151), unnamed (-22001)
AOC1	unnamed (-21215), unnamed (+25810), unnamed (+86460), unnamed (+113235), unnamed (+117285), unnamed (+118985)
AP1B1	unnamed (+25483)
AP1G1	unnamed (+29576)
AP1M1	unnamed (+3716), unnamed (+6716), unnamed (+10366), unnamed (+15816), unnamed (+17216), unnamed (+18241), unnamed (+21916), unnamed (+28941), unnamed (+45741), unnamed (+47016), unnamed (+68791), unnamed (+75016), unnamed (+84191), unnamed (+95641)
AP1S1	unnamed (+2303)
AP1S3	unnamed (-105118), unnamed (-103368), unnamed (-97018), unnamed (-91193), unnamed (-71543), unnamed (-64768), unnamed (-63893), unnamed (-52518), unnamed (-50643), unnamed (-48993), unnamed (-27343), unnamed (-5393), unnamed (-2793), unnamed (+3582), unnamed (+5232), unnamed (+8257), unnamed (+22707)
AP2A2	unnamed (-6334), unnamed (+4391), unnamed (+13916), unnamed (+15641), unnamed (+41341), unnamed (+52791), unnamed (+66116), unnamed (+69391), unnamed (+71716), unnamed (+90266)
AP2S1	unnamed (+3016), unnamed (+4991)
AP3D1	unnamed (+12191)
AP3M2	unnamed (+28354)
AP3S2	unnamed (+34417), unnamed (+69567), unnamed (+72292)
AP4S1	unnamed (-68401), unnamed (-10476)
AP5B1	unnamed (-2423), unnamed (+5227)
AP5S1	unnamed (-16281), unnamed (-14231), unnamed (-12031), unnamed (-9931), unnamed (-7106), unnamed (-4556)
APBA2	unnamed (+322176), unnamed (+339426), unnamed (+376851)
APBB1IP	unnamed (+87047), unnamed (+88222), unnamed (+88997), unnamed (+91822)
APBB2	unnamed (+297707), unnamed (+301807), unnamed (+303982), unnamed (+306582), unnamed (+331007), unnamed (+331832), unnamed (+362307), unnamed (+365582), unnamed (+366982), unnamed (+369157), unnamed (+376782), unnamed (+387082), unnamed (+408857)
APC	unnamed (-234463), unnamed (-142013)
APC2	unnamed (+7611)
APCDD1	unnamed (-395853), unnamed (-113653), unnamed (+17072), unnamed (+19747), unnamed (+31497)
APCDD1L	unnamed (-118862), unnamed (-111612), unnamed (-101537), unnamed (+85463), unnamed (+109538)
APH1B	unnamed (+77896), unnamed (+98171)
APIP	unnamed (+276049)
APLNR	unnamed (+23401)
APLP1	unnamed (+15205), unnamed (+27130)
APLP2	unnamed (+74869)
APMAP	unnamed (-7621), unnamed (-5971), unnamed (+6829), unnamed (+22929), unnamed (+28229), unnamed (+39504)
APOA1	unnamed (-38850)
APOA2	unnamed (-1247), unnamed (+4103)
APOB	unnamed (-184652), unnamed (+81048)
APOBEC3A	unnamed (-5226), unnamed (+16149)
APOBEC3B	unnamed (-13509)
APOBEC3C	unnamed (-3558)
APOBEC3D	unnamed (+7312)
APOBEC3F	unnamed (-12179), unnamed (+7296)
APOBEC3G	unnamed (-29105), unnamed (+6995), unnamed (+7795), unnamed (+8320), unnamed (+9620), unnamed (+11720), unnamed (+14520)
APOBEC3H	unnamed (-13275), unnamed (-12475), unnamed (-11950), unnamed (-10650), unnamed (-8550), unnamed (-5750), unnamed (-3825), unnamed (-3000), unnamed (+11800), unnamed (+12650), unnamed (+14675), unnamed (+21550), unnamed (+31575)
APOBEC4	unnamed (-335087), unnamed (-235287)
APOC1	unnamed (-2822)
APOC4	unnamed (-488)
APOC4-APOC2	unnamed (-488)
APOD	unnamed (-108620), unnamed (-107820), unnamed (-48070), unnamed (-46895), unnamed (-43770), unnamed (-29520), unnamed (-2495), unnamed (+555), unnamed (+3505), unnamed (+5580), unnamed (+14355), unnamed (+29030), unnamed (+31155)
APOE	unnamed (-729)
APOL1	unnamed (-2303), unnamed (+4797), unnamed (+7147), unnamed (+90697), unnamed (+92047)
APOL6	unnamed (-25145)
APOPT1	unnamed (+32963)
APP	unnamed (+189679)
APRT	unnamed (-21856), unnamed (-21256)
AQP12A	unnamed (+41399)
AQP2	unnamed (-40746)
AQP3	unnamed (-16964), unnamed (+8986), unnamed (+31261), unnamed (+32986)
AQP6	unnamed (-899), unnamed (+1851), unnamed (+13051)
AQP7	unnamed (-36106), unnamed (-13831), unnamed (-12106), unnamed (+99869)
AQP8	unnamed (-35846), unnamed (-34796)
AQR	unnamed (+15789)
ARAP1	unnamed (+38478), unnamed (+71028)
ARAP2	unnamed (+504759)
ARAP3	unnamed (+8671)
ARC	unnamed (-48428), unnamed (+140947)
ARF1	unnamed (+11150)
ARF3	unnamed (-9874)
ARF6	unnamed (+21383), unnamed (+23283), unnamed (+94358), unnamed (+175408)
ARFGAP3	unnamed (-17098), unnamed (+105852)
ARFGEF1	unnamed (+135602)
ARFGEF2	unnamed (-76265), unnamed (-67690)
ARFIP1	unnamed (+159663), unnamed (+165463), unnamed (+170038), unnamed (+242813), unnamed (+244488), unnamed (+245388), unnamed (+258788), unnamed (+259638), unnamed (+267438)
ARG1	unnamed (-195000)
ARHGAP12	unnamed (-74168), unnamed (-73118), unnamed (-32368), unnamed (-13018), unnamed (+12082), unnamed (+229232)
ARHGAP17	unnamed (-22519), unnamed (+48681), unnamed (+54856), unnamed (+94056), unnamed (+97081)
ARHGAP20	unnamed (-239947), unnamed (-238847)
ARHGAP21	unnamed (-180132), unnamed (-175057), unnamed (-172507), unnamed (-171882), unnamed (-170207), unnamed (-162832), unnamed (-161457), unnamed (-156957), unnamed (-146457), unnamed (-128107), unnamed (-127207), unnamed (-99832), unnamed (-21957), unnamed (-4232), unnamed (+5618), unnamed (+7193), unnamed (+16593), unnamed (+47568), unnamed (+75093)
ARHGAP22	unnamed (-48498)
ARHGAP23	unnamed (+61657)
ARHGAP24	unnamed (+78211), unnamed (+152386), unnamed (+339936), unnamed (+352561), unnamed (+364611), unnamed (+378536), unnamed (+470286), unnamed (+520161)
ARHGAP25	unnamed (+83090), unnamed (+87790), unnamed (+89590), unnamed (+90365), unnamed (+91040)
ARHGAP26	unnamed (+265141), unnamed (+268616), unnamed (+282391), unnamed (+312891)
ARHGAP27	unnamed (+41197), unnamed (+48797), unnamed (+51347), unnamed (+53847), unnamed (+55847), unnamed (+57472)
ARHGAP31	unnamed (+10127)
ARHGAP35	unnamed (-1201)
ARHGAP39	unnamed (+45349)
ARHGAP44	unnamed (-46989), unnamed (+2311), unnamed (+35611), unnamed (+41761), unnamed (+51086), unnamed (+52711), unnamed (+56011), unnamed (+56836), unnamed (+60586), unnamed (+64111), unnamed (+66711), unnamed (+67586), unnamed (+68761), unnamed (+74686), unnamed (+78536), unnamed (+84861), unnamed (+86861), unnamed (+95611), unnamed (+97861), unnamed (+100561), unnamed (+103886), unnamed (+107136), unnamed (+167636), unnamed (+170086), unnamed (+177136), unnamed (+192186)
ARHGAP45	unnamed (-12823), unnamed (+19102)
ARHGAP5	unnamed (-129764), unnamed (-70539)
ARHGDIG	unnamed (-1756)
ARHGEF1	unnamed (+9952), unnamed (+11577), unnamed (+12052)
