A.intersect.value	CLL.A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.FindER2.bed.remDups.bed.intersect.value	CLL.A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.FindER2.bed.remDups.bed.intersect.value	CLL.A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135686_EGAR00001139768_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133242_EGAR00001137328_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215953_EGAR00001228604_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215622_EGAR00001228081_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133247_EGAR00001137334_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272679_merged2runs_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001231900_EGAR00001245926_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001215636_EGAR00001228045_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001272596_EGAR00001300137_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234407_EGAR00001248465_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291824_EGAR00001320548_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272600_EGAR00001300131_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272621_EGAR00001300048_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272624_EGAR00001300051_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272707_EGAR00001300114_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272668_merged3runs_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001364257_EGAR00001401411_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272656_EGAR00001300003_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272661_EGAR00001300008_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272650_EGAR00001299997_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419429_EGAR00001456616_MBC_H3K4me1_PAIRED.FindER2.bed.intersect.value	EGAN00001276795_EGAX00001304981_EGAR00001334464_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276796_EGAX00001304983_EGAR00001334466_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001305005_EGAR00001334422_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326452_EGAR00001355725_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305085_EGAR00001334364_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305061_EGAR00001334388_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326574_EGAR00001355824_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326490_EGAR00001355777_usMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358538_EGAX00001371128_EGAR00001408501_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358558_EGAX00001371127_EGAR00001408500_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	GCBC.A68886.CEMT_129.H3K4me1.hg38.bwa-sb.IX5126.CAVYBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70848.CEMT_134.H3K4me1.hg38.IX5208.CAVPBANXX_1_ATCACG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70855.CEMT_135.H3K4me1.hg38.IX5209.CAVPBANXX_2_GATCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70862.CEMT_136.H3K4me1.hg38.IX5210.CAVPBANXX_3_ACCCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70869.CEMT_137.H3K4me1.hg38.IX5211.CAVPBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70876.CEMT_138.H3K4me1.hg38.IX5213.CAVPBANXX_6_CAAAAG.FindER2.bed.remDups.bed.intersect.value
chr1_74517500_74517900	0	0	0	0	150	0	0	0	0	0	0	75	0	0	0	0	400	100	0	0	0	0	0	400	150	0	0	0	0	0	300	400	0	375	0	400	0	0	400	0	0	400	0	0	0	0	0	0	0	0
chr1_74571350_74571850	0	0	0	0	0	0	0	0	0	325	0	0	475	0	175	0	500	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	500	0	0	0	0	475	0	0	500	0	0	0	0	0	0	0	0
chr1_74649600_74650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	400	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0
chr1_79468200_79468600	0	0	0	0	25	0	25	175	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	400	0	75	0	0	375	0	0	400	0	0	0	0	0	0	0	400
chr1_79587950_79588550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	200	0	0	50	0	600	0	0	0	0	0	0	0	0	0	425	0	0	0	0	575	0	0	600	0	0	0	0	0	0	0	275
chr1_79588950_79589250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	150	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	300	0	0	300	0	0	0	0	0	0	0	300
chr1_79614400_79614600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	200	0	200	0	0	0	0	0	0	0	0	0
chr1_79660100_79660650	0	0	75	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	300	0	0	0	0	0	550	0	0	0	0	550	0	0	525	0	0	0	0	0	0	0	475
chr1_79720050_79720650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	600	0	0	0	600	0	375	0	0	0	600	0	0	0	0	600	0	0	600	0	600	0	0	0	0	0	0
chr1_79746750_79747350	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	150	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	600	0	0	0	0	600	0	0	525	0	0	0	0	0	0	0	0
chr1_79893950_79894500	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	550	0	0	0	375	550	0	0	0	0	0	0	0	0	0	550	0	0	0	0	450	0	0	525	0	450	0	0	0	0	0	0
chr1_81517400_81517850	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	350	25	0	0	0	0	0	0	450	0	0	0	0	350	0	0	0	0	450	0	0	0	0	425	0	0	450	0	0	0	0	0	0	0	0
chr1_99227900_99228250	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	175	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	350	0	0	0	0	300	0	0	350	0	0	0	0	0	0	0	0
chr1_99705100_99705300	0	0	0	0	0	0	0	0	0	0	200	0	0	125	0	0	200	0	0	0	0	200	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	200	0	0	200	0	0	0	0	0	0	0	0
chr1_104586000_104586350	50	0	0	0	0	0	125	125	0	0	350	300	350	0	0	0	0	0	0	0	0	0	0	350	0	0	0	350	200	0	0	0	0	350	0	0	0	0	350	0	75	350	0	0	0	0	0	75	0	0
chr1_105813450_105814050	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0
chr1_105841550_105841950	0	0	0	75	0	0	0	0	0	0	0	150	0	0	0	0	0	0	75	0	0	0	0	400	0	0	0	0	0	150	0	0	0	400	0	0	0	0	75	0	0	375	0	0	0	0	0	0	0	0
chr1_109628650_109628900	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	250	0	0	250	0	0	250	0	0	0	0	0	0	0	0
chr1_111818750_111819300	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	525	0	0	0	225	0	0	0	0	0	550	0	0	0	0	150	0	0	550	0	0	0	0	0	0	0	0
chr1_112003050_112003350	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	300	0	0	300	0	0	0	0	0	0	0	0
chr1_116252700_116253250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	550	0	325	0	0	0	0	0	0
chr1_117115050_117115300	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	250	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	250	0	0	0	0	250	0	0	225	175	0	0	0	0	0	0	75
chr1_121586400_121586700	0	75	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	0	225	0	0	300	0	0	0	0	0	0	150	0	0	300	0	0	0	0	300	0	0	150	0	150	0	0	0	0	0	0
chr1_152480850_152481100	0	150	150	0	0	75	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	250	0	0	150	0	250	0	250	250	0	0	0	0	0	0	0	0
chr1_156846400_156846700	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	300	0	0	0	0	275	0	200	200	0	0	0	0	0	0	0	0
chr1_156899900_156900250	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	300	0	250	325	0	0	0	0	0	0	0	0
chr1_161978100_161978550	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	375	0	0	0	0	450	0	0	0	0	0	0	75	0	0	450	0	0	300	0	450	0	0	450	0	0	0	0	0	0	0	150
chr1_172117100_172117400	0	0	200	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	50	0	300	0	0	50	0	0	0	0	0	0	300	50	0	0	0	200	0	0	275	0	0	0	0	0	0	50	0
chr1_172239500_172239900	0	0	0	0	0	0	0	0	0	0	75	75	0	0	0	0	0	0	0	0	0	0	150	400	0	0	0	0	0	0	0	0	0	375	0	0	0	0	400	300	0	300	0	0	0	0	0	0	0	0
chr1_172352500_172352750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	200	125	0	0	50	0	250	0	0	0	50	0	0	0	0	0	250	0	0	0	0	250	0	250	250	0	0	50	0	0	0	125	0
chr1_172400800_172401150	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	350	50	0	0	0	0	275	0	350	0	0	0	0	0	0	0	0	0	350	0	0	0	0	350	0	0	350	0	0	0	0	0	0	0	350
chr1_175449350_175450500	0	0	0	0	0	0	0	0	0	0	525	0	0	450	0	0	300	0	0	0	0	0	0	1050	0	0	0	600	0	0	0	0	0	1150	0	0	0	0	1150	0	0	1125	0	0	0	0	0	0	0	0
chr1_175500400_175501000	0	0	0	50	0	425	0	0	0	400	0	0	300	200	0	350	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	600	0	0	0	0	575	0	0	575	300	0	0	0	0	0	0	0
chr1_175542650_175543650	0	0	375	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	450	0	1000	0	0	0	75	0	0	0	0	0	975	0	0	0	0	1000	0	0	675	0	0	0	0	0	0	0	0
chr1_175668900_175669200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	300	225	0	0	300	0	0	0	0	300	0	0	300	0	0	0	0	0	0	0	0
chr1_175688150_175688700	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	550	0	0	0	0	0	0	550	0	0	0	0	375	0	0	0	0	550	0	0	0	0	550	0	0	525	0	0	0	0	0	0	0	0
chr1_181502350_181502400	0	0	50	0	0	0	0	50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	50	0	0	0	50	50	0	50	0	50	0	0	50	0	0	0	0	0	0	0	0
chr1_181502600_181503000	0	150	175	0	0	0	0	400	0	400	0	0	150	75	0	0	150	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	375	0	0	0	0	400	0	0	400	0	0	0	0	0	0	0	0
chr1_181511350_181511650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	275	0	0	275	0	0	0	0	0	0	0	0
chr1_181536650_181537000	0	0	300	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	350	0	0	0	0	0	0	0	0
chr1_186079500_186079850	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	350	0	0	0	350	0	0	0	0	0	350	0	0	0	0	75	0	0	350	0	0	0	0	0	0	0	350
