A.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value
chr1_23432150_23433050	0	0	0	0	0	300	0	400	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	875	900	0	0	0	0	125	900	900	0	900	0	0	0	0	900	0	0	0	900	0	0	900	425	575
chr1_23434200_23435050	0	0	0	175	0	0	0	175	0	300	625	0	0	0	0	600	0	0	0	0	0	100	0	0	0	850	850	0	0	375	225	375	850	850	0	850	0	0	0	0	825	0	0	0	850	0	0	225	225	150
chr1_23437200_23438150	0	0	0	0	0	0	0	0	0	225	0	0	0	300	0	0	0	0	0	0	0	375	0	0	0	950	950	0	0	0	0	0	950	950	0	950	0	0	0	0	950	0	0	0	0	0	0	300	0	150
chr1_23439150_23439600	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	450	450	0	0	0	0	450	450	450	150	450	0	0	0	0	450	0	0	0	375	0	0	225	0	0
chr1_23442550_23442900	0	0	0	0	0	0	0	0	0	275	200	0	0	150	0	200	0	0	0	0	0	125	0	0	0	350	350	0	0	0	0	0	350	350	0	350	0	0	0	0	350	0	0	0	0	0	0	0	0	0
chr1_23448950_23449350	0	0	0	375	0	150	0	0	0	0	0	0	0	400	0	0	0	0	0	400	0	0	0	0	0	400	400	0	0	0	0	0	400	400	0	400	0	0	0	0	375	0	0	0	400	0	0	0	375	100
chr1_23454350_23454750	0	0	0	25	0	250	0	250	0	0	0	0	0	150	150	0	0	0	0	0	0	75	0	0	0	400	375	0	0	0	0	0	400	400	0	400	0	0	0	0	375	0	0	0	150	0	0	0	150	0
chr1_23470050_23470500	0	0	0	0	0	0	0	0	0	375	225	0	0	0	0	0	0	450	0	0	0	450	0	0	0	450	75	0	0	0	0	75	450	450	0	450	0	0	0	0	450	0	0	0	0	0	0	0	0	0
chr1_25427150_25427500	25	350	25	25	0	350	0	25	175	350	0	0	0	0	0	0	0	0	0	0	0	350	325	0	0	325	0	0	0	0	0	0	350	100	0	0	0	0	0	0	325	175	0	0	0	0	0	0	0	0
chr1_25544050_25544350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	125	0	300	100	275	300	0	0	0	0	200	0	300	0	0	0	0	0	200	0	275	300	125	300	0	0	0	0	0	0
chr1_26181500_26181900	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	400	100	0	0	0	0	0	0	0	375	0	0	0	0	400	0	400	0	0	0	0	0	0	150	400	0	150	0	0	0	0	0	0	0
chr1_26185600_26185950	0	0	0	0	0	350	75	0	0	0	0	0	0	0	275	0	0	0	0	0	350	0	0	225	0	350	0	0	0	0	0	50	350	0	225	350	0	0	350	0	350	0	350	0	0	0	0	0	0	0
chr1_26186100_26186900	0	0	0	275	300	75	600	800	425	0	0	0	0	125	0	0	375	0	0	0	0	0	0	150	0	800	0	0	0	50	225	75	800	0	225	0	450	0	0	0	800	0	150	0	0	0	0	0	0	0
chr1_26189850_26190250	0	0	0	0	0	0	0	0	0	0	0	0	75	0	400	25	300	0	0	0	0	0	0	0	0	375	0	0	0	300	150	225	400	0	0	225	225	0	0	225	400	375	375	0	0	0	0	0	0	0
chr1_27873000_27873300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	0	0	0	75	300	0	300	0	0	0	0	300	0	150	0	0	0	300	0	300	225	0	225	0	0	0	0	0	0
chr1_29121950_29122300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	350	0	0	0	0	0	0	325	0	0	0	0	0	0	0	325	250	0	0	0	0	0	0	0	0
chr1_32209400_32209800	0	0	0	0	0	0	0	0	225	250	400	0	0	0	0	0	75	0	0	0	250	0	0	0	0	375	325	0	0	0	0	0	400	400	0	400	400	0	0	250	400	0	0	0	400	0	0	400	400	0
chr1_32239200_32239650	375	450	0	0	0	450	0	375	0	225	75	300	0	300	0	0	0	0	0	0	450	450	0	0	0	450	0	0	0	0	0	0	450	0	0	225	75	0	0	75	450	375	0	0	0	0	0	0	0	0
chr1_32539250_32539550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	300	0	0	0	0	0	275	0	0	0	0	0	0	275	0	0	200	0	0	50	0	275	0	0	0	0	0	0	0	0	0
chr1_32554100_32556750	0	225	0	750	300	675	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	2625	0	0	0	0	0	0	2650	2425	0	2650	0	0	0	0	250	0	0	0	750	0	0	0	0	0
chr1_32557700_32559000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	0	0	0	0	0	0	0	0	0	1275	0	0	0	0	0	0	1300	300	0	1200	0	0	0	0	1300	0	0	0	1225	975	0	525	1050	300
chr1_32559400_32560950	0	0	0	425	0	275	525	0	0	450	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	1550	600	0	0	0	0	0	1550	600	0	1550	0	0	0	0	1550	0	0	0	450	675	0	450	125	0
chr1_32561300_32561850	0	0	0	375	0	0	0	0	300	475	0	0	0	225	0	375	0	0	0	0	0	225	0	0	0	550	0	0	0	0	0	0	550	0	0	550	0	0	0	0	525	0	0	0	0	0	0	0	0	0
chr1_32563100_32564650	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	0	1525	450	0	0	0	0	0	1550	375	0	975	0	0	0	0	1350	0	0	0	175	600	300	175	325	700
chr1_32565150_32565550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	400	0	0	0	0	0	0	400	0	0	400	0	0	0	0	375	0	0	0	0	0	0	0	0	0
chr1_32588100_32588650	0	0	0	550	0	0	0	0	0	0	0	0	0	75	0	0	0	100	0	0	0	0	0	0	0	550	0	0	0	0	0	0	550	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0
chr1_32592500_32594200	0	0	625	550	0	0	1050	0	0	0	0	0	0	0	300	0	0	600	0	0	0	0	0	375	0	1675	0	0	0	0	0	0	1700	1700	0	1700	0	0	0	0	1675	0	0	0	100	750	0	675	375	25
chr1_32594600_32596900	0	0	0	400	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	2250	825	0	0	0	0	0	2300	1675	0	1675	0	0	0	0	2275	0	0	0	100	400	300	400	450	550
chr1_32597300_32597850	0	0	0	225	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	550	550	0	550	0	0	0	0	550	0	0	0	550	450	0	550	0	450
chr1_32599800_32600800	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	375	0	975	300	0	0	300	0	0	1000	700	525	1000	0	0	0	0	1000	0	0	0	1000	1000	0	625	1000	775
chr1_33320100_33320600	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	375	0	0	0	275	350	0	0	0	0	500	0	350	0	0	0	500	500	0	500	0	375	0	0	500	500	225	350	0	0	0	0	0	0	0
chr1_35428600_35428950	350	350	0	350	0	50	0	200	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	50	350	350	0	150	0	0	0	0	350	0	350	0	0	0	300	0	0	0
chr1_35725200_35725800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	525	0	0	0	600	600	0	0	0	0	0	600	600	0	600	0	0	0	0	600	0	0	0	150	150	0	150	150	0
chr1_35732250_35732800	0	0	175	0	0	0	100	0	0	0	0	375	0	0	0	250	0	325	0	0	0	300	0	0	0	550	550	75	0	0	0	0	550	550	550	550	0	0	0	0	525	0	0	0	550	550	550	550	550	550
chr1_35737100_35738500	0	0	0	0	25	0	325	25	0	0	0	325	0	925	0	0	0	475	0	0	0	600	0	0	0	1400	1400	0	0	0	0	0	1400	1400	0	1400	0	0	0	0	1350	0	325	0	1400	1400	1400	1400	1400	1400
chr1_35739250_35740500	0	0	0	300	0	0	200	0	0	200	500	0	600	0	75	0	50	0	450	0	0	450	0	0	0	1250	1250	0	0	0	0	0	1250	1250	0	1250	0	0	0	0	1250	0	0	0	1250	1250	1250	1250	1250	1250
chr1_35741250_35741700	300	225	0	0	0	0	300	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	75	0	450	450	0	0	0	0	0	450	450	0	450	0	0	0	0	450	0	0	0	450	450	450	450	450	450
chr1_35743300_35743750	0	0	0	0	0	0	50	0	0	0	0	450	0	425	0	0	0	0	0	0	0	125	425	450	0	450	450	0	0	0	0	0	450	450	0	450	0	0	0	0	425	0	0	0	450	450	450	450	450	450
