A.H3K4me3.intersect.value	CLL.A34020.CEMT_4.H3K4me3.hg38.A34020_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34036.CEMT_5.H3K4me3.hg38.A34036_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34075.CEMT_6.H3K4me3.hg38.A34075_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34939.CEMT_26.H3K4me3.hg38.A34939_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34946.CEMT_27.H3K4me3.hg38.A34946_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34953.CEMT_28.H3K4me3.hg38.A34953_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34960.CEMT_29.H3K4me3.hg38.A34960_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35237.CEMT_25.H3K4me3.hg38.A35237_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35244.CEMT_30.H3K4me3.hg38.A35244_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60644.CEMT_94.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60651.CEMT_95.H3K4me3.hg38.bwa-sb.IX4412.C958UANXX_5_GATGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60658.CEMT_96.H3K4me3.hg38.A60658_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60669.CEMT_97.H3K4me3.hg38.A60669_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135682_EGAR00001139772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001215957_EGAR00001228608_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001128209_EGAR00001132156_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095891_EGAX00001135680_EGAR00001139770_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001107643_EGAX00001231897_EGAR00001245923_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215621_EGAR00001228080_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001138967_EGAR00001143053_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323202_EGAR00001352518_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291853_EGAR00001320580_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323210_EGAR00001352510_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291851_EGAR00001320578_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323205_merged2runs_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291825_EGAR00001320549_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272592_merged2runs_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272613_merged2runs_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272644_EGAR00001299991_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272704_EGAR00001300108_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272686_EGAR00001300079_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272655_EGAR00001300002_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272660_EGAR00001300007_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272649_EGAR00001299996_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272584_EGAR00001300013_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419444_EGAR00001456638_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304984_EGAR00001334467_GCBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304993_EGAR00001334418_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305087_EGAR00001334366_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305084_EGAR00001334363_csMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001326449_EGAR00001355722_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001280969_EGAX00001419407_merged2runs_MBC_H3K4me3_PAIRED.FindER2.bed.intersect.value	EGAN00001295794_EGAX00001326425_EGAR00001355899_GCBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295795_EGAX00001326623_EGAR00001355769_PBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326617_EGAR00001355763_CLL_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326600_EGAR00001355772_NBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295804_EGAX00001326426_merged2runs_NBC_H3K4me3_SINGLE.MACS2NoInput.bed.intersect.value	EGAN00001295815_EGAX00001326482_EGAR00001355809_usMBC_H3K4me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68887.CEMT_129.H3K4me3.hg38.bwa-sb.IX5130.CAVYBANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70849.CEMT_134.H3K4me3.hg38.A70849_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70856.CEMT_135.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70863.CEMT_136.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70870.CEMT_137.H3K4me3.125nt.hg38.FindER2.bed.remDups.bed.intersect.value	GCBC.A70877.CEMT_138.H3K4me3_1_lane_dupsFlagged.FindER2.bed.remDups.bed.intersect.value
chr16_21541400_21541700	300	300	300	0	0	300	0	300	300	300	275	25	300	0	300	175	0	300	300	0	0	300	0	300	300	300	300	0	300	300	300	300	300	300	0	300	300	300	300	300	175	300	0	300	300	300	109	300	300	300	300	300	300	300
chr16_24663050_24663400	350	350	350	350	0	350	0	350	350	350	300	350	350	0	0	0	0	350	0	0	350	350	350	350	350	350	0	0	350	350	350	0	350	350	350	350	350	0	350	350	0	350	0	325	350	0	0	350	350	350	350	350	350	350
chr16_28623200_28623750	0	75	550	525	0	550	0	550	550	0	0	550	550	550	550	550	461	550	550	0	550	550	0	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550
chr16_29876550_29876950	400	0	400	0	0	400	0	0	0	400	375	0	375	400	400	400	347	400	400	250	400	400	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
chr16_77722800_77723250	450	450	450	450	0	450	0	450	450	450	450	450	450	450	450	450	75	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	372	450	450	450	368	450	450	450	450	450	450	450
chr16_84603150_84603600	150	150	450	0	0	450	0	450	450	450	225	375	0	0	450	450	0	0	0	450	450	450	0	450	450	450	375	450	450	450	450	450	450	450	450	450	450	0	450	450	450	450	0	375	450	375	0	450	450	450	450	450	450	450
chr16_88920750_88921350	600	600	600	600	0	600	0	600	600	600	600	600	600	450	600	600	0	600	600	600	600	600	600	600	600	600	600	0	600	600	600	600	600	375	600	600	375	600	600	600	600	600	0	0	600	600	0	600	375	0	0	0	375	0
chr17_5227650_5227950	300	300	300	75	0	300	300	300	300	300	300	300	300	0	300	300	0	300	0	225	300	300	0	300	300	300	0	0	300	300	300	300	150	300	300	300	300	225	300	300	300	300	0	0	300	300	0	300	300	300	300	300	300	300
chr17_8123900_8124500	600	600	600	600	0	600	0	600	600	600	575	600	600	600	600	600	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	0	600	600	600	0	600	600	600	600	600	600	600
chr17_17404150_17404450	200	200	300	0	0	200	0	200	275	300	300	200	300	300	300	275	0	300	300	300	275	300	0	275	200	300	50	275	300	300	300	300	275	300	125	300	300	300	300	275	300	300	0	275	300	300	283	300	300	300	300	300	300	300
chr17_49224000_49224650	0	650	650	0	0	650	0	650	650	650	650	0	650	650	650	650	0	650	650	650	650	650	0	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	117	650	650	650	650	650	650	650	650	650	650	650
chr18_23137000_23137300	125	300	300	300	0	300	0	300	300	300	300	300	300	200	300	300	0	300	300	300	300	300	300	300	300	300	300	125	300	300	300	300	300	300	300	300	300	300	300	200	300	300	0	300	300	300	0	300	300	125	0	275	300	50
chr19_7346450_7346800	350	350	350	0	0	350	0	350	350	350	175	100	300	0	350	350	0	350	350	350	325	350	0	350	350	350	350	25	350	350	350	350	350	350	0	350	350	350	350	350	350	350	0	350	350	350	0	350	350	350	250	350	350	350
chr19_12195000_12195600	600	600	0	0	0	600	0	0	600	600	600	600	600	600	600	600	351	600	600	600	600	600	0	600	600	600	600	600	600	600	600	600	600	600	0	600	600	600	600	600	600	600	461	600	600	600	600	600	600	600	600	600	600	600
chr19_15232350_15232650	0	225	300	0	0	300	0	0	300	300	300	0	300	300	300	300	0	300	300	150	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	191	300	300	300	300	300	300	300
chr19_23074850_23075950	0	1100	1100	900	0	1100	0	1100	1100	0	1100	1100	1100	1100	1100	1075	0	1100	1100	1100	1100	1100	0	1100	525	1100	1100	1100	1100	1100	1100	1100	1100	1100	1075	450	1100	1100	1100	1100	1100	1100	856	1100	1100	1100	804	1075	1100	1100	1100	1100	1100	1100
chr19_37551300_37551850	0	550	525	550	0	550	0	0	550	550	550	550	0	550	550	550	494	550	550	550	550	550	0	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550
chr19_49338150_49338900	0	750	750	0	0	750	0	750	750	750	675	750	750	75	750	750	0	750	750	750	750	750	0	750	750	750	675	0	750	750	750	750	600	750	600	750	750	750	750	750	750	750	0	225	750	750	0	750	750	750	0	525	750	450
chr2_200379950_200380250	300	300	300	300	175	300	0	300	300	200	125	0	275	0	0	0	0	0	0	0	300	300	0	300	300	0	0	0	0	0	0	0	300	300	275	0	300	0	300	0	0	0	0	0	300	0	0	0	300	300	0	300	300	300
chr20_32585200_32585550	0	275	350	350	0	350	0	350	350	350	350	350	350	350	350	350	128	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	269	350	350	350	347	350	350	350	350	350	350	350
chr20_63730950_63731350	400	400	400	175	0	400	0	400	400	400	375	325	400	0	400	0	0	400	0	0	400	400	0	400	0	400	400	0	375	400	400	225	400	400	0	400	400	400	400	0	225	250	0	325	400	400	0	400	400	400	375	400	400	400
chr21_41167250_41167650	400	400	400	400	375	400	0	400	400	375	400	400	400	375	400	400	23	400	400	400	400	400	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	22	400	400	400	287	400	400	400	375	400	400	375
chr21_41168950_41169550	600	600	600	575	350	600	0	600	600	500	350	600	575	350	600	600	0	600	425	600	600	600	0	600	600	600	500	50	600	600	600	600	600	600	600	600	600	600	600	600	600	600	0	600	600	600	0	600	600	275	425	575	600	600
chr21_41231100_41231500	400	400	400	400	400	400	0	0	400	400	400	400	400	75	400	400	0	400	400	400	400	400	0	400	400	400	0	400	400	400	400	400	0	400	400	400	400	400	400	400	400	400	0	0	400	400	130	400	400	400	0	400	400	400
chr21_41864900_41865250	0	350	350	0	0	350	0	350	250	250	325	350	250	0	0	0	0	0	0	0	350	350	0	350	350	350	350	175	0	0	350	0	350	350	0	350	350	0	350	350	0	350	0	350	350	100	0	350	350	350	350	350	350	350
chr22_22117650_22117950	0	300	300	225	0	300	0	300	300	0	300	300	300	300	300	300	0	300	300	0	300	300	0	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	248	300	300	300	300	300	300	300	300	300	300	300
chr3_50316650_50317150	500	0	500	0	0	500	0	400	0	500	475	0	500	0	0	0	0	0	0	0	500	500	0	500	325	500	0	0	0	0	0	0	175	0	450	500	500	0	500	400	0	500	0	0	500	0	0	475	0	0	0	0	0	0
chr3_64225100_64225750	0	650	650	650	0	625	0	650	650	550	625	650	650	325	400	0	0	0	0	325	650	0	0	650	650	650	650	650	0	625	650	0	650	650	0	650	650	450	650	650	0	625	0	650	650	0	0	650	650	650	650	650	650	650
chr3_107430150_107430750	600	600	600	600	0	600	0	600	600	600	600	600	600	600	600	600	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	0	600	600	600	0	600	600	600	600	600	600	600
chr3_128654300_128654650	350	350	350	350	0	350	0	0	0	350	350	0	350	350	350	350	0	350	350	350	0	350	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	0	350	350	350	0	350	350	175	350	350	350	350
chr3_129618600_129619200	525	600	600	0	0	600	0	600	300	600	600	600	600	525	600	0	0	600	600	0	600	600	0	600	0	600	600	0	600	600	600	525	600	600	600	600	600	600	600	0	375	600	0	600	600	600	0	600	600	450	375	600	450	0
chr3_183552600_183552950	350	350	350	350	0	350	0	350	350	200	0	350	0	0	350	125	0	350	0	200	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	200	350	350	350	350	0	350	350	350	0	350	350	350	350	350	350	350
chr3_195394050_195394350	150	300	300	300	0	300	0	300	300	300	300	300	0	0	75	0	0	300	0	300	300	300	0	300	300	300	300	0	150	300	300	0	300	300	0	300	300	0	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300
chr4_10730150_10730500	325	350	350	350	0	350	0	350	350	350	325	350	350	0	0	0	0	0	0	0	350	350	350	350	350	0	325	0	0	0	0	0	350	175	325	0	350	0	0	0	0	0	0	25	350	0	0	0	350	350	0	350	350	350
