A.H3K9me3.intersect.value	CLL.A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.FindER2.bed.remDups.bed.intersect.value	CLL.A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.FindER2.bed.remDups.bed.intersect.value	CLL.A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135687_EGAR00001139769_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133243_EGAR00001137329_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215595_EGAR00001228091_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215955_EGAR00001228606_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171949_EGAR00001185105_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001135683_EGAR00001139773_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272637_EGAR00001300126_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272619_EGAR00001300046_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272595_EGAR00001300136_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291852_EGAR00001320579_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323209_EGAR00001352515_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326443_EGAR00001355794_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272620_EGAR00001300047_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272618_EGAR00001300045_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272625_EGAR00001300052_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272703_EGAR00001300107_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272706_EGAR00001300111_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272689_EGAR00001300082_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272659_EGAR00001300006_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272664_EGAR00001300011_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272653_merged2runs_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272585_EGAR00001300065_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304998_EGAR00001334471_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304995_EGAR00001334420_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326454_EGAR00001355727_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001326440_EGAR00001355791_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305062_EGAR00001334389_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326619_EGAR00001355765_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326520_EGAR00001355882_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326536_EGAR00001355851_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326492_EGAR00001355779_usMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	GCBC.A70850.CEMT_134.H3K9me3.hg38.A70850_3_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70857.CEMT_135.H3K9me3.hg38.IX5209.CAVPBANXX_2_GGCTAC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70864.CEMT_136.H3K9me3.hg38.IX5210.CAVPBANXX_3_ACGATA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70871.CEMT_137.H3K9me3.hg38.IX5212.CAVPBANXX_5_ATAATT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70878.CEMT_138.H3K9me3.hg38.IX5213.CAVPBANXX_6_CACCGG.FindER2.bed.remDups.bed.intersect.value
chr1_4932950_4933250	0	300	275	300	0	300	200	300	300	300	275	125	125	300	0	0	200	0	0	300	300	0	300	300	300	0	300	300	275	0	0	25	300	300	250	300	25	0	300	0	300	175	300	50	0	0	0	300	300
chr1_4934650_4935000	0	350	350	350	0	350	0	350	350	350	350	350	300	125	300	350	350	350	0	350	350	0	350	150	225	0	350	0	0	0	0	350	350	350	0	350	350	0	350	350	275	0	350	350	0	0	0	350	350
chr1_4935300_4936300	0	1000	1000	0	0	1000	325	1000	1000	1000	1000	1000	975	400	675	0	225	150	0	1000	1000	0	1000	1000	0	750	375	0	0	0	0	1000	1000	1000	450	1000	175	0	1000	150	1000	625	1000	600	0	0	250	0	75
chr1_4981050_4981550	0	500	500	375	375	500	0	500	500	500	500	500	500	150	275	500	500	500	0	500	500	0	500	500	0	275	500	125	500	50	500	0	500	500	500	500	500	0	500	0	500	500	500	500	0	500	0	500	0
chr1_4989150_4990500	0	225	1350	900	150	1350	0	225	1350	1350	1350	1350	1350	1050	1350	1200	1350	300	0	1350	1350	0	1350	600	900	375	675	825	150	1350	1050	225	1350	1350	1350	1350	1050	0	1350	900	1350	225	1350	1350	0	450	375	75	375
chr1_5008050_5008500	0	450	300	225	0	450	375	450	450	450	450	450	450	0	0	450	0	0	450	450	450	0	375	0	450	0	150	225	225	450	0	450	450	450	450	450	0	0	225	150	450	450	450	450	0	0	0	0	0
chr1_5015400_5015950	0	550	450	550	100	550	0	550	550	550	550	550	550	175	300	0	175	0	250	550	550	0	550	325	375	550	525	300	0	0	525	550	550	550	550	550	550	0	550	0	550	525	550	550	0	0	0	550	550
chr1_5021900_5022400	0	500	500	500	0	500	0	500	500	500	500	500	500	500	175	500	0	175	500	400	475	0	0	500	500	0	0	250	325	100	475	400	500	500	500	500	325	0	400	25	500	0	500	400	0	0	0	500	400
chr1_5041800_5042100	0	150	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	0	0	300	300	0	300	300	300	0	0	225	0	300	0	150	300	300	300	300	0	0	300	300	300	300	300	300	0	75	0	300	0
chr1_5083950_5084600	0	650	650	375	0	650	0	650	650	650	150	650	650	600	650	525	650	650	575	650	650	0	650	650	350	200	375	0	650	650	450	650	650	650	425	650	650	0	650	650	650	650	650	650	425	275	300	650	575
chr1_5085100_5085500	0	350	400	400	0	400	200	400	400	400	400	400	400	400	275	400	0	400	400	400	400	0	400	400	0	0	200	200	200	400	275	400	400	400	0	400	400	0	400	400	400	400	400	400	0	0	0	400	0
chr1_5089550_5089850	0	300	300	300	0	300	0	300	0	300	300	300	300	300	300	250	0	300	300	300	300	0	300	275	300	125	275	300	300	300	300	300	300	300	0	300	300	0	300	300	300	300	300	300	300	275	0	0	0
chr1_5100000_5100300	0	300	300	300	0	300	0	300	300	225	300	300	300	300	300	300	150	0	225	300	75	0	300	300	300	300	0	300	300	300	300	300	300	300	0	300	300	0	225	300	300	75	300	0	0	150	0	225	0
chr1_5112300_5113050	0	750	750	750	300	750	375	750	750	750	750	750	750	150	150	0	600	0	375	750	675	0	750	750	675	150	75	750	450	675	750	750	750	750	0	750	750	0	750	0	750	525	750	375	0	75	0	0	0
chr1_5133100_5133750	0	650	650	650	0	650	50	650	650	650	650	650	650	450	650	350	650	500	50	50	650	0	650	650	200	0	450	450	425	0	300	125	650	650	525	650	125	0	650	500	50	275	650	0	0	0	0	125	425
chr1_5138650_5139150	0	50	500	500	0	500	0	0	500	500	275	500	500	375	500	125	125	0	0	500	500	0	500	500	500	0	275	50	275	125	0	500	500	500	500	500	500	0	500	500	500	0	500	500	0	0	0	125	500
chr1_5139700_5140050	0	350	350	350	0	350	50	350	350	350	350	350	350	350	125	125	50	350	225	350	350	0	350	350	350	275	150	300	350	350	350	350	350	350	350	350	275	0	350	350	350	350	350	350	0	0	0	150	0
chr1_5143300_5143900	0	600	600	175	275	600	125	600	600	575	250	425	425	500	575	600	500	325	0	600	600	0	600	600	0	175	0	600	600	275	0	600	600	600	600	600	600	0	600	0	600	0	600	200	50	0	0	275	0
chr1_5151000_5151300	0	300	300	300	0	300	300	300	300	300	300	300	300	150	300	0	300	225	75	300	300	0	300	300	150	75	300	150	0	300	300	300	300	300	0	300	300	0	300	300	300	300	300	300	0	0	0	300	300
chr1_5172650_5172950	0	300	275	300	125	125	0	275	300	300	300	300	300	0	0	125	0	175	0	300	300	0	300	300	300	0	0	300	300	300	50	300	300	300	300	300	25	0	300	300	300	300	300	300	0	300	0	0	0
chr1_5176750_5178050	0	1300	375	1300	350	1300	1175	1300	1300	1300	1300	1300	1300	1175	650	125	1300	500	1300	1300	1300	0	1300	1300	275	275	0	500	650	1300	1300	275	1300	1300	1300	1300	1300	0	1300	1300	1300	50	1300	950	350	50	50	1300	875
chr1_5189550_5190050	0	500	350	500	0	500	275	500	500	500	500	500	500	275	50	500	500	225	500	500	500	0	500	425	200	450	0	500	300	500	500	500	500	500	500	500	0	0	500	50	500	500	500	450	0	500	500	500	0
chr1_5224350_5224900	0	550	550	550	300	550	550	550	550	550	550	550	550	0	550	0	0	400	550	550	525	0	550	0	150	375	300	175	475	0	550	250	550	550	0	550	0	0	550	175	550	0	550	550	0	0	0	0	325
chr1_5241600_5242200	0	600	600	0	0	600	525	600	600	600	600	600	600	600	375	525	225	600	0	600	600	0	600	600	0	450	0	0	450	0	450	600	600	600	450	600	600	0	600	0	600	0	600	600	525	0	375	600	600
chr1_5274100_5274400	0	300	300	300	300	300	0	300	100	300	300	200	300	100	200	275	0	0	275	275	300	0	275	300	125	0	0	175	100	0	0	300	300	300	300	300	300	0	300	300	300	0	300	50	0	300	0	0	275
chr1_5291500_5291850	0	350	350	0	0	350	75	350	350	350	350	350	350	350	350	150	350	350	0	350	350	0	350	350	350	0	350	0	0	350	50	350	350	350	0	350	350	0	350	350	350	350	350	350	125	0	50	50	200
chr1_5298900_5299300	0	400	400	400	0	400	375	400	400	400	75	400	400	400	100	400	400	175	0	400	400	0	375	250	400	400	0	375	400	100	175	325	400	400	0	400	400	0	400	400	400	400	400	400	0	0	400	400	250
chr1_5335350_5335700	0	350	75	350	0	350	350	350	350	350	350	350	350	350	350	0	0	350	0	350	350	0	350	350	225	350	350	350	0	0	300	225	350	350	350	350	350	0	350	350	350	225	350	350	0	0	0	350	350
chr1_5342600_5343450	0	850	850	400	0	175	0	850	400	850	850	850	850	775	675	75	0	700	0	850	850	0	850	300	0	0	775	225	0	150	525	25	850	850	375	850	0	0	850	75	825	850	850	850	0	0	0	475	0
chr1_5345150_5345700	0	550	550	325	0	550	550	550	550	550	375	550	550	550	0	550	0	300	0	550	550	0	550	550	0	0	75	0	525	300	450	0	550	550	0	550	225	0	450	550	550	0	550	550	0	0	0	0	0
chr1_5375450_5375800	0	350	350	350	0	350	0	350	0	350	350	350	350	350	350	325	250	0	0	350	325	0	350	175	350	0	0	175	0	350	350	25	175	350	325	350	350	0	325	0	350	350	175	350	0	100	100	0	0
chr1_5397450_5397750	0	300	300	225	0	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	0	0	0	75	0	300	300	300	300	300	300	0	0	300	0	300	300	300	300	0	0	225	300	75
chr1_5398500_5398950	0	450	450	0	0	450	0	450	450	450	450	450	450	0	450	225	0	450	300	450	450	0	450	450	450	0	0	0	225	225	450	450	450	450	450	450	450	0	450	0	450	0	450	450	0	0	0	0	0
chr1_5411550_5412350	0	800	800	800	0	800	425	650	800	800	800	800	800	375	675	0	50	0	575	525	800	0	300	800	125	0	0	0	0	0	575	800	800	800	800	800	800	0	800	225	800	800	800	800	0	0	0	0	225
chr1_5416500_5417000	0	500	50	500	0	500	275	500	500	500	500	75	150	375	450	0	500	50	0	350	500	0	500	500	500	0	0	200	300	200	0	500	0	500	500	500	500	0	275	0	500	500	500	500	0	150	0	0	375
chr1_5419050_5419950	0	750	900	900	225	900	600	900	675	900	900	900	900	600	75	450	0	0	0	900	900	0	900	300	0	0	0	225	0	450	300	0	0	450	300	900	150	0	375	225	900	300	900	900	0	0	0	0	600
chr1_5430650_5431000	0	350	325	350	0	350	0	350	350	350	350	0	350	250	0	0	0	0	0	350	350	0	325	350	0	175	0	100	0	0	0	350	0	0	0	25	0	0	250	175	350	0	0	350	0	0	0	0	0
chr1_5431850_5432250	0	400	400	25	0	400	0	400	400	400	300	375	400	0	225	0	0	225	0	100	400	0	400	400	0	150	0	0	0	0	0	375	150	0	375	400	0	0	400	400	400	400	400	0	0	0	0	0	25
chr1_5483200_5483700	0	500	200	500	125	500	500	500	500	500	500	500	500	350	425	375	275	375	0	500	500	0	500	500	500	0	275	0	200	0	450	500	500	0	500	275	500	0	500	500	500	0	0	350	0	0	0	0	0
chr1_5483900_5485300	0	1400	250	1400	0	1400	525	1300	1400	1400	1400	1300	1400	600	1000	25	600	1075	0	1400	25	0	1400	25	550	325	0	0	0	675	0	25	475	325	1075	1350	850	0	1400	1400	1400	850	1400	1150	0	0	0	0	750
