A.H3K9me3.intersect.value	CLL.A34021.CEMT_4.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34037.CEMT_5.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34076.CEMT_6.H3K9me3.hg38.bwa-sb.IX2844.C4C9JACXX_2_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34940.CEMT_26.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CTTGTA.FindER2.bed.remDups.bed.intersect.value	CLL.A34947.CEMT_27.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34954.CEMT_28.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A34961.CEMT_29.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A35238.CEMT_25.H3K9me3.hg38.bwa-sb.IX2651.C3TC1ACXX_1_CCCATG.FindER2.bed.remDups.bed.intersect.value	CLL.A35245.CEMT_30.H3K9me3.hg38.bwa-sb.IX2823.C3YJAACXX_5_ATGTCA.FindER2.bed.remDups.bed.intersect.value	CLL.A60645.CEMT_94.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AACCCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60652.CEMT_95.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_TAATCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60659.CEMT_96.H3K9me3.hg38.bwa-sb.IX4415.C958UANXX_8_AGGCCG.FindER2.bed.remDups.bed.intersect.value	CLL.A60668.CEMT_97.H3K9me3.hg38.bwa-sb.IX4419.C9587ANXX_4_GGCTAC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135687_EGAR00001139769_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133243_EGAR00001137329_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215595_EGAR00001228091_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215955_EGAR00001228606_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171949_EGAR00001185105_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001135683_EGAR00001139773_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272637_EGAR00001300126_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272619_EGAR00001300046_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272595_EGAR00001300136_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291852_EGAR00001320579_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323209_EGAR00001352515_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326443_EGAR00001355794_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272620_EGAR00001300047_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272618_EGAR00001300045_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272625_EGAR00001300052_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272703_EGAR00001300107_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272706_EGAR00001300111_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272689_EGAR00001300082_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272659_EGAR00001300006_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272664_EGAR00001300011_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272653_merged2runs_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272585_EGAR00001300065_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304998_EGAR00001334471_GCBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304995_EGAR00001334420_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326454_EGAR00001355727_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001326440_EGAR00001355791_csMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305062_EGAR00001334389_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326619_EGAR00001355765_CLL_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326520_EGAR00001355882_NBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326536_EGAR00001355851_PBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326492_EGAR00001355779_usMBC_H3K9me3_SINGLE.FindER2.bed.intersect.value	GCBC.A70850.CEMT_134.H3K9me3.hg38.A70850_3_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70857.CEMT_135.H3K9me3.hg38.IX5209.CAVPBANXX_2_GGCTAC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70864.CEMT_136.H3K9me3.hg38.IX5210.CAVPBANXX_3_ACGATA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70871.CEMT_137.H3K9me3.hg38.IX5212.CAVPBANXX_5_ATAATT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70878.CEMT_138.H3K9me3.hg38.IX5213.CAVPBANXX_6_CACCGG.FindER2.bed.remDups.bed.intersect.value
chr12_56379300_56379600	300	300	0	300	300	300	300	300	300	0	300	0	0	0	300	75	0	75	0	0	0	0	0	0	225	0	150	75	0	0	75	0	0	150	0	300	0	0	0	75	0	0	0	0	300	0	150	300	300
chr12_121607800_121608150	350	350	0	50	350	350	350	350	350	0	200	0	0	350	0	300	200	350	0	275	350	350	50	0	0	0	0	0	0	0	0	0	0	0	350	0	275	0	50	0	0	0	0	125	0	0	0	0	0
chr12_122044850_122046000	1150	0	0	525	1150	0	0	0	775	0	0	0	0	0	475	0	300	0	0	0	1150	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12_122864300_122864650	0	0	0	0	350	0	350	0	0	350	300	0	350	0	0	0	350	0	0	0	325	350	0	0	350	0	350	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	350	0	0	0	0	0
chr12_131846750_131847100	0	0	0	0	0	0	350	0	0	0	350	0	0	0	0	0	0	0	0	0	350	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0
chr13_18255000_18255550	0	0	0	0	550	0	550	0	375	550	550	550	0	550	0	0	0	75	0	0	525	75	0	0	0	550	150	0	0	550	75	550	550	550	0	550	225	550	300	550	0	75	550	225	550	175	550	550	250
chr13_18276850_18277200	0	0	150	200	350	0	350	350	0	50	350	150	0	350	0	0	0	350	0	0	350	350	0	0	0	0	350	0	0	350	0	350	350	350	0	350	350	350	350	350	0	0	350	125	350	350	0	350	350
chr13_27198800_27199100	0	0	200	0	300	0	300	300	300	0	300	0	0	0	0	200	0	300	0	0	275	300	0	275	0	0	0	0	0	0	0	300	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
chr13_32372950_32373300	0	0	0	0	350	0	350	350	350	0	350	0	0	350	350	0	350	0	0	0	350	125	200	0	200	0	0	150	0	0	0	0	0	75	0	75	0	0	0	75	0	0	0	350	0	50	350	0	0
chr13_43090650_43091050	0	0	150	250	400	0	400	325	0	150	400	0	150	150	25	150	225	225	0	0	400	375	0	0	0	0	0	75	75	75	0	300	0	0	0	0	300	150	225	0	0	150	0	0	0	0	225	0	0
chr13_44803650_44804100	0	0	0	0	450	0	450	450	450	0	450	0	0	0	225	0	0	0	0	0	375	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	75	0	0	0	0	0	0	0
chr13_95332050_95332350	0	0	300	0	300	0	300	300	300	0	300	0	0	0	150	0	0	0	0	0	0	300	0	0	0	0	0	0	300	0	0	300	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0
chr13_113074400_113074700	0	0	0	0	0	0	300	0	0	0	300	0	0	300	0	0	0	300	0	0	300	275	0	0	0	300	0	0	0	0	0	100	200	50	0	0	300	275	200	300	0	0	275	200	0	0	0	0	0
chr14_19393200_19393750	550	0	0	0	400	0	450	0	550	375	450	450	0	450	0	0	0	450	0	0	525	0	0	0	0	0	0	150	0	0	300	0	550	550	0	550	0	450	450	0	0	0	375	0	325	0	300	550	375
chr14_44966250_44966550	300	300	0	0	300	0	300	300	300	0	300	0	0	300	0	300	75	300	300	300	300	300	300	0	300	0	0	0	300	300	300	300	0	0	225	150	300	300	150	150	75	300	0	300	300	0	0	0	225
chr14_54796650_54797050	375	75	400	0	400	0	400	225	400	0	400	0	0	0	0	75	0	400	400	75	225	75	225	0	400	0	325	325	0	0	0	0	150	0	400	250	0	0	100	75	0	0	150	0	0	0	0	0	0
chr14_65129250_65129650	400	400	0	225	400	0	400	0	225	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_65208500_65208900	400	300	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	400	400	0	0	300	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_65457350_65457750	375	75	0	225	400	225	375	225	300	0	400	400	300	0	0	0	400	400	0	0	375	400	0	0	400	0	0	0	75	325	400	400	0	0	0	0	400	400	400	400	0	0	0	400	175	400	0	400	175
chr14_65644350_65644750	375	0	0	0	0	0	0	375	375	0	400	25	25	225	0	0	0	0	0	0	325	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_72897050_72897350	250	300	125	100	300	0	0	250	300	0	300	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14_80558550_80558850	300	225	0	75	300	150	300	300	225	0	0	0	0	0	150	0	300	0	0	0	300	300	0	0	300	0	0	0	225	0	0	300	0	0	0	0	0	0	0	300	0	0	0	300	0	0	150	0	75
chr14_80636900_80637250	350	0	0	0	0	0	350	350	350	0	0	0	0	0	0	0	175	0	350	0	325	325	0	0	0	0	0	25	325	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
chr14_106287600_106288050	450	0	0	0	450	0	450	0	450	0	0	0	0	450	0	0	0	0	0	0	450	450	450	450	300	0	0	0	0	0	0	0	0	0	450	0	450	300	375	0	0	0	150	450	0	450	0	0	0
chr15_22962650_22963150	500	500	25	100	250	100	500	500	500	0	475	0	0	475	500	100	0	0	0	0	500	475	100	0	325	0	0	0	0	0	0	250	0	0	25	0	0	400	0	250	0	0	0	450	0	0	0	0	0
chr15_25278100_25278450	350	275	0	275	300	50	350	350	350	0	350	300	300	0	275	350	150	150	0	0	300	350	0	0	0	0	350	300	0	0	0	0	350	350	225	350	0	125	350	75	0	75	225	0	350	0	0	350	350
chr15_34322250_34322550	300	0	0	0	300	0	0	225	300	0	0	0	0	0	300	0	0	0	0	0	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0
chr15_41137500_41138050	550	550	0	300	550	450	375	0	550	0	450	0	0	0	0	0	0	0	250	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0
chr15_43261250_43261600	0	350	25	0	0	0	350	0	350	0	350	325	0	100	0	350	25	250	0	0	325	350	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0
chr15_66256200_66256500	300	225	0	150	225	0	0	75	300	0	0	0	0	300	300	75	0	300	75	0	300	300	0	0	0	0	300	225	0	0	300	0	0	300	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
chr15_66848200_66848500	300	0	200	0	0	0	0	0	200	0	300	0	0	175	0	0	0	0	0	0	300	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	200
chr15_67089300_67089850	525	0	0	0	0	150	225	0	550	0	475	0	0	0	375	0	0	0	0	0	550	75	550	0	550	0	0	0	0	0	0	0	0	0	0	0	0	300	175	0	0	0	0	0	0	0	0	0	0
chr15_77245500_77245850	350	350	0	75	350	0	350	350	350	0	150	0	75	350	0	125	350	0	125	0	0	350	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0
chr15_91500450_91500850	375	225	0	150	225	250	400	375	400	0	325	0	0	0	0	0	0	0	0	0	400	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15_100456300_100457100	800	375	0	375	800	300	675	600	675	0	450	0	0	800	800	800	800	800	800	0	800	800	0	0	0	800	800	800	800	800	800	800	800	0	0	750	800	450	0	800	75	800	800	800	800	800	425	800	800
chr16_996250_996600	350	0	0	0	350	0	0	0	350	50	0	0	0	350	350	350	350	350	350	350	350	350	0	225	225	350	0	350	350	350	350	350	225	350	0	350	350	350	350	350	0	350	350	350	0	350	350	0	0
chr16_85710750_85711050	0	0	0	0	0	0	300	0	300	0	300	0	75	0	0	300	0	0	0	0	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0
chr17_45927600_45928250	650	650	375	0	650	0	650	650	650	0	0	0	0	650	650	650	650	650	650	0	650	650	0	0	650	125	50	650	650	650	650	650	200	225	0	0	650	650	500	650	0	650	150	650	0	650	275	125	0
chr19_521600_521900	300	50	50	0	300	0	0	0	0	0	0	0	0	300	0	0	0	300	125	0	300	275	0	0	0	50	0	275	275	300	200	300	0	0	0	0	300	50	0	275	0	200	0	0	0	0	0	0	0
chr19_522550_523000	425	0	0	0	425	0	0	0	0	0	0	0	0	0	50	0	0	325	0	0	450	450	0	0	0	0	0	125	0	275	0	350	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0
chr19_1055100_1056550	1450	0	0	0	1450	0	0	0	0	25	0	0	0	1450	1450	1450	1450	1450	1450	0	1450	1450	0	0	0	375	175	1450	1375	1450	1450	1450	475	700	0	25	1450	900	300	1450	0	1450	775	1275	0	100	100	0	450
