A.H3K4me1.intersect.value	CLL.A34019.CEMT_4.H3K4me1.hg38.A34019_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34035.CEMT_5.H3K4me1.hg38.A34035_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34074.CEMT_6.H3K4me1.hg38.A34074_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34938.CEMT_26.H3K4me1.hg38.A34938_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34945.CEMT_27.H3K4me1.hg38.A34945_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34952.CEMT_28.H3K4me1.hg38.A34952_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A34959.CEMT_29.H3K4me1.hg38.A34959_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35236.CEMT_25.H3K4me1.hg38.A35236_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A35243.CEMT_30.H3K4me1.hg38.A35243_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	CLL.A60643.CEMT_94.H3K4me1.hg38.bwa-sb.IX4413.C958UANXX_6_ATCACG.FindER2.bed.remDups.bed.intersect.value	CLL.A60650.CEMT_95.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_CTAGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60657.CEMT_96.H3K4me1.hg38.bwa-sb.IX4414.C958UANXX_7_AACTTG.FindER2.bed.remDups.bed.intersect.value	CLL.A60670.CEMT_97.H3K4me1.hg38.bwa-sb.IX4412.C958UANXX_5_ACGATA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091897_EGAX00001135686_EGAR00001139768_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133242_EGAR00001137328_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215953_EGAR00001228604_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001215622_EGAR00001228081_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133247_EGAR00001137334_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001272679_merged2runs_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001231900_EGAR00001245926_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001215636_EGAR00001228045_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001272596_EGAR00001300137_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234407_EGAR00001248465_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001291824_EGAR00001320548_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272600_EGAR00001300131_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272621_EGAR00001300048_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272624_EGAR00001300051_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272707_EGAR00001300114_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272668_merged3runs_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001364257_EGAR00001401411_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272656_EGAR00001300003_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272661_EGAR00001300008_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272650_EGAR00001299997_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001274157_EGAX00001419429_EGAR00001456616_MBC_H3K4me1_PAIRED.FindER2.bed.intersect.value	EGAN00001276795_EGAX00001304981_EGAR00001334464_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276796_EGAX00001304983_EGAR00001334466_PBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001305005_EGAR00001334422_GCBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326452_EGAR00001355725_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305085_EGAR00001334364_csMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305061_EGAR00001334388_NBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326574_EGAR00001355824_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326490_EGAR00001355777_usMBC_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358538_EGAX00001371128_EGAR00001408501_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	EGAN00001358558_EGAX00001371127_EGAR00001408500_CLL_H3K4me1_SINGLE.FindER2.bed.intersect.value	GCBC.A68886.CEMT_129.H3K4me1.hg38.bwa-sb.IX5126.CAVYBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70848.CEMT_134.H3K4me1.hg38.IX5208.CAVPBANXX_1_ATCACG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70855.CEMT_135.H3K4me1.hg38.IX5209.CAVPBANXX_2_GATCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70862.CEMT_136.H3K4me1.hg38.IX5210.CAVPBANXX_3_ACCCAG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70869.CEMT_137.H3K4me1.hg38.IX5211.CAVPBANXX_4_AGCGCT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70876.CEMT_138.H3K4me1.hg38.IX5213.CAVPBANXX_6_CAAAAG.FindER2.bed.remDups.bed.intersect.value
chr1_180498500_180498900	400	400	0	375	300	400	400	400	400	400	400	400	400	0	400	400	75	400	150	0	0	175	400	375	0	400	325	325	175	400	0	0	400	400	0	400	400	0	400	400	400	225	0	0	400	400	250	400	400	400
chr1_185280600_185281000	0	400	400	400	25	400	0	0	0	400	400	400	400	0	0	175	400	0	400	400	0	400	400	0	0	0	250	0	0	0	0	0	0	400	0	0	0	0	0	250	400	250	0	150	0	0	0	0	0	0
chr1_198630300_198630650	350	350	350	350	0	350	0	350	350	350	350	350	350	350	350	350	350	350	350	0	0	0	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	0	350	350	350	350	350	350	350
chr1_198635100_198635500	375	400	400	400	0	400	150	400	375	400	400	400	400	400	400	400	400	400	400	0	0	0	400	400	100	400	400	400	400	400	400	400	400	400	400	250	400	0	400	400	400	400	0	400	400	400	400	400	400	400
chr1_211188550_211188850	300	300	275	0	300	300	175	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	25	300	300	175	300	300	250
chr1_220879300_220879750	0	0	450	0	0	450	0	425	450	450	450	450	450	200	450	450	0	0	450	450	0	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	450	0	450	450	450	450	450	450	450	450	450	450	450	450
chr1_225900450_225900900	450	450	450	450	0	450	150	450	450	450	450	450	450	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	450	300	0	0	0	0	0	0	0	0
chr10_949550_950050	0	500	500	500	0	500	400	500	500	500	400	500	500	0	0	0	0	0	500	0	0	475	475	500	500	500	0	500	0	0	0	500	500	375	0	500	500	500	500	0	500	500	0	0	500	500	500	500	500	500
chr10_5654250_5654900	650	575	650	650	50	650	200	650	650	650	650	650	650	650	0	0	0	0	650	425	0	650	650	650	650	650	0	0	0	0	0	650	650	650	0	650	650	650	650	650	650	0	0	0	650	650	650	650	650	650
chr10_12352150_12352450	25	300	300	300	0	300	0	300	300	300	300	300	275	300	300	300	300	300	300	0	0	0	300	300	50	0	300	300	300	300	300	300	0	300	300	200	0	300	300	300	300	300	0	300	0	125	0	200	0	0
chr10_22492050_22492450	0	400	0	375	0	400	0	400	400	400	400	400	400	400	400	400	0	400	400	0	0	400	400	400	225	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0	400	400	400	400	400	400	400
chr10_32263050_32263750	700	700	525	550	0	600	375	375	700	600	675	700	700	0	0	375	300	0	700	675	0	600	700	300	0	0	0	0	0	0	0	0	0	700	0	0	0	0	0	0	700	0	0	300	0	0	0	0	0	0
chr10_33105100_33105400	300	275	300	300	0	275	0	300	300	300	300	300	300	0	0	0	0	0	300	0	0	0	300	300	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	300	0	0	300	300	0	250	0	200	0
chr10_46272850_46273150	0	50	300	0	0	300	0	125	300	300	300	300	300	300	300	0	300	300	300	275	0	300	300	300	0	200	300	0	300	300	300	0	300	300	300	0	0	300	0	300	300	300	300	300	0	0	0	0	0	0
chr10_50506800_50507450	650	650	650	650	650	650	0	650	650	650	650	650	650	650	650	650	650	0	650	650	0	650	650	650	650	650	650	525	200	225	375	650	650	650	650	650	650	650	650	650	650	150	0	525	650	650	650	650	650	650
chr10_63523350_63523800	450	450	450	450	0	450	300	450	375	450	450	450	375	450	0	450	0	75	450	450	0	75	0	75	450	450	450	375	450	450	0	450	450	450	0	450	450	225	0	450	450	300	0	0	450	450	450	450	450	450
chr10_70499450_70499850	400	400	150	300	0	400	375	375	400	400	400	400	400	400	400	400	400	400	400	400	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	175	400	400	400	400	400	400
chr10_70508250_70508850	600	600	525	600	0	600	0	600	600	600	600	525	600	600	600	600	600	600	600	600	375	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	525	525	600	600	600	600	600	600
chr10_70540650_70540950	0	0	300	0	0	0	0	0	0	300	300	300	300	0	0	0	300	0	300	300	0	0	300	300	300	300	0	225	0	300	0	300	300	300	0	300	300	300	300	0	300	300	300	300	300	300	0	300	300	150
chr10_70564700_70565200	375	400	500	0	0	500	0	300	325	500	500	500	500	500	0	250	475	0	500	500	0	0	0	500	25	250	175	25	250	250	500	450	500	500	500	500	500	325	500	500	500	500	500	250	500	500	0	0	175	0
chr10_73859250_73859650	225	400	400	375	0	400	150	400	400	250	400	400	0	0	0	0	0	0	400	0	0	400	375	400	400	400	325	300	0	400	0	400	400	400	400	400	400	400	400	400	400	400	0	0	400	400	400	400	400	400
chr10_74886000_74887000	1000	750	1000	225	0	1000	0	1000	1000	1000	1000	1000	1000	600	925	175	100	0	975	0	0	400	525	0	100	0	0	0	475	850	0	250	0	1000	925	25	0	750	525	1000	1000	175	0	0	0	0	0	0	0	0
chr10_100683500_100683850	0	250	250	25	0	350	0	350	175	350	350	350	0	0	325	350	0	0	350	350	0	350	325	175	325	0	350	350	350	0	350	0	0	350	350	350	0	350	350	350	350	350	0	25	0	0	0	0	0	0
chr10_114507300_114507600	300	300	300	300	0	300	75	300	150	300	300	300	300	300	300	300	225	300	300	300	0	150	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	0	300	300	300	300	300	300
chr10_120932100_120932500	400	400	400	400	400	400	150	400	400	400	400	400	400	0	75	0	250	0	400	400	0	375	400	0	0	0	0	0	0	0	0	400	0	400	0	0	0	0	0	0	400	0	225	300	0	0	0	0	0	0
chr10_120979250_120979600	325	0	250	250	0	325	175	0	350	350	350	350	350	325	350	350	0	0	350	175	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	350
chr10_124055600_124056050	450	450	450	450	400	450	0	450	450	450	450	450	450	0	275	450	0	0	450	450	0	450	425	300	450	0	450	200	50	325	450	450	25	450	400	450	0	450	0	450	450	0	0	0	0	0	0	0	0	0
chr10_132394050_132394350	0	0	300	0	0	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	225	300	300	300	300	300	0	300	300	300	300	150	300	300	300	300	300	300	300	0	0	0	0	0	0
chr10_132610800_132611100	0	0	300	0	0	300	0	300	300	300	300	300	300	300	300	300	150	150	300	300	0	0	300	300	0	0	300	300	300	300	300	0	300	300	300	0	0	300	300	300	300	300	0	300	0	0	0	0	0	0
chr11_1529100_1529500	300	0	400	0	0	400	150	300	375	400	400	400	400	0	300	400	0	0	400	400	0	0	400	400	0	0	400	300	100	300	400	0	0	400	400	400	0	400	175	400	400	150	400	0	0	0	0	0	0	0
chr11_2390350_2391400	1050	1050	1050	1050	0	1050	0	450	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050
chr11_7532550_7532850	225	300	300	300	150	300	225	300	300	300	300	300	300	0	300	300	150	0	300	0	0	300	0	300	300	300	300	300	300	300	225	300	300	300	300	300	300	300	300	300	300	300	0	0	300	300	300	300	300	300
chr11_9656450_9657150	100	700	700	700	0	700	0	700	700	700	700	700	675	700	700	700	625	700	700	375	0	0	700	700	0	700	700	700	700	700	700	0	700	700	700	0	700	700	700	700	700	550	0	0	700	700	700	700	700	700
chr11_14259200_14259850	0	0	650	25	0	650	0	475	650	650	650	625	650	0	650	0	625	0	650	650	0	650	650	0	0	0	0	400	650	0	0	0	0	0	550	0	600	550	0	450	650	0	0	0	0	0	0	0	0	0
chr11_33941850_33942150	300	300	300	300	0	300	0	300	300	300	0	300	300	0	300	300	0	0	300	300	0	300	300	300	300	300	300	150	300	225	300	300	300	300	300	300	300	300	300	300	300	0	0	0	300	300	300	300	300	300
chr11_35188500_35188800	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	150	0	300	300	300	0	300	300	150	0	0	300	300	300	0	0	0	0	300	300	300	0	300	225	300	300	300	0	0	0	225	150	0	0	0
chr11_44624350_44624650	300	0	300	0	0	300	0	0	300	300	275	300	300	300	0	300	50	0	300	300	0	125	300	300	0	0	275	200	300	125	200	0	0	300	50	50	0	300	300	300	300	300	300	275	0	0	0	0	100	0
chr11_44687900_44688300	400	400	400	100	250	400	0	400	400	400	400	400	400	0	325	400	0	0	325	400	0	300	400	400	0	0	400	0	400	175	400	400	25	400	400	0	0	400	400	325	400	400	400	325	0	25	0	25	0	175
chr11_45155700_45156600	825	900	900	750	0	900	450	825	900	900	900	900	900	0	0	0	0	0	225	675	0	150	750	600	0	0	375	900	75	675	0	0	0	900	150	0	0	75	0	225	900	0	150	0	0	0	0	0	0	0
chr11_45168500_45168900	400	175	25	0	0	400	0	400	400	400	400	400	400	0	400	325	0	0	400	225	0	0	375	0	0	0	400	375	400	75	150	0	0	400	0	375	0	400	400	400	400	250	0	0	0	0	0	0	0	0
chr11_47316800_47317300	500	500	500	500	0	500	325	500	0	500	500	500	500	500	500	25	0	500	475	500	0	400	175	500	500	500	500	500	325	500	250	475	500	500	475	500	500	500	175	500	500	475	0	0	500	500	500	500	500	500
