A.H3K27me3.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135679_EGAR00001139765_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135684_EGAR00001139766_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215956_EGAR00001228607_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215954_EGAR00001228605_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171948_EGAR00001185104_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326545_EGAR00001355700_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272701_EGAR00001300104_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265739_EGAX00001272601_EGAR00001300132_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272617_EGAR00001300044_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272702_EGAR00001300105_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272666_merged3runs_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272690_EGAR00001300083_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272658_EGAR00001300005_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272665_EGAR00001300012_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272654_EGAR00001300001_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304999_EGAR00001334472_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304996_EGAR00001334421_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305064_EGAR00001334391_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305086_EGAR00001334365_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305083_EGAR00001334362_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326521_EGAR00001355883_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326518_EGAR00001355880_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326493_EGAR00001355780_usMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68889.CEMT_129.H3K27me3.hg38.bwa-sb.IX5126.CAVYBANXX_4_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70851.CEMT_134.H3K27me3.hg38.IX5208.CAVPBANXX_1_TGACCA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70858.CEMT_135.H3K27me3.hg38.A70858_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70865.CEMT_136.H3K27me3.hg38.IX5211.CAVPBANXX_4_ACTCTC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70872.CEMT_137.H3K27me3.hg38.IX5212.CAVPBANXX_5_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70879.CEMT_138.H3K27me3.hg38.IX5214.CAVPBANXX_7_CACGAT.FindER2.bed.remDups.bed.intersect.value
chr1_28191800_28192100	0	0	0	0	300	0	300	0	0	0	0	0	0	175	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_28355500_28355800	200	0	0	125	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_28898500_28898800	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_32977250_32977600	0	0	0	0	350	0	350	175	0	0	0	0	0	25	0	0	0	100	325	0	325	0	0	0	0	0	0	0	0	0	0	175	0	100	0	0	0	0	0	0	0	25	0	0	350	175	0	0	0
chr1_36329750_36330250	400	0	0	250	500	0	500	250	0	0	0	0	0	250	325	25	500	25	475	0	450	0	0	500	0	500	0	500	500	500	500	0	0	0	0	375	500	500	500	0	500	0	500	0	0	0	400	0	0
chr1_37272900_37273200	0	0	0	0	300	0	300	0	0	0	0	0	0	300	300	300	300	300	300	0	300	300	0	300	300	300	0	300	300	300	300	300	300	0	0	300	300	300	300	0	300	300	300	0	0	150	0	0	0
chr1_37294950_37295700	300	0	0	0	750	0	750	300	0	0	0	0	0	750	750	225	750	450	0	0	750	375	0	450	750	675	750	750	450	675	750	750	750	0	750	750	750	750	750	0	750	750	150	750	0	750	300	150	750
chr1_37305350_37306200	225	0	0	775	850	0	850	675	375	0	0	0	0	850	850	850	850	625	0	0	850	300	0	850	525	450	850	850	850	850	850	850	700	0	850	850	850	825	850	0	850	850	850	850	325	850	850	400	625
chr1_39017000_39017350	0	0	0	0	350	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_39046200_39046550	0	125	0	50	350	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_44733150_44733450	150	75	225	0	300	0	300	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	150
chr1_45360900_45361200	0	225	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_45365500_45365900	350	125	0	0	400	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_45366250_45366550	50	50	250	0	300	0	300	0	250	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_45391050_45391450	375	300	0	0	400	225	400	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_45402300_45402600	75	150	0	300	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_45429250_45429550	50	0	0	0	300	0	300	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_45432800_45433300	475	0	0	400	500	0	500	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_45440650_45440950	300	300	0	25	300	200	300	0	300	0	0	0	200	0	0	0	0	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_68204400_68204700	300	300	0	0	300	0	300	300	0	0	0	150	0	300	150	0	225	300	0	0	300	0	75	0	0	0	0	300	150	150	0	300	0	0	0	225	0	0	300	0	225	0	0	0	0	150	75	0	75
chr1_77753150_77753500	0	250	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_120952200_120952500	0	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_146044250_146044750	500	500	0	0	500	0	500	500	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0
chr1_150481900_150482850	0	0	0	125	950	0	950	825	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_156455550_156455950	0	75	0	0	400	175	400	0	0	0	0	75	0	0	0	0	0	400	0	0	300	0	0	0	0	225	150	0	0	0	0	400	300	0	0	0	0	0	0	0	0	225	0	225	225	225	150	300	0
chr1_161214300_161214750	75	150	225	0	0	0	450	0	0	0	0	0	0	450	450	450	450	450	0	0	450	0	0	0	0	375	0	450	450	450	450	0	0	0	0	450	375	0	450	0	450	0	450	0	0	0	0	0	0
chr1_161216100_161216600	0	0	0	0	500	0	500	0	0	0	0	0	0	500	500	500	50	375	0	0	0	0	0	500	0	500	0	200	500	375	275	0	0	0	0	500	500	0	150	0	500	0	425	0	0	0	0	0	0
chr1_165700400_165700750	0	350	250	0	350	0	350	0	0	0	0	0	0	350	0	0	100	250	0	0	350	0	350	0	0	350	325	0	0	350	0	350	350	0	250	0	250	0	350	0	0	350	0	350	350	350	350	350	350
chr1_191158500_191158800	300	225	0	0	300	0	300	300	0	0	0	0	75	150	0	0	0	0	0	0	300	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_202176200_202176600	0	0	0	0	400	0	400	0	0	0	0	0	0	150	0	0	25	25	0	0	0	0	0	0	0	75	0	150	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0
chr1_228074850_228075250	225	0	0	0	400	0	400	300	150	0	100	0	0	400	400	325	0	100	0	0	400	0	0	0	0	0	25	0	0	0	0	400	400	0	325	0	400	0	0	0	0	400	0	400	375	400	0	400	400
chr1_231216900_231217350	450	0	0	0	450	0	450	0	0	300	150	0	0	150	375	450	450	0	0	0	450	0	75	0	0	0	225	450	375	150	375	450	0	0	0	450	0	0	75	0	225	450	225	0	0	450	0	0	0
chr1_235030650_235031100	450	0	0	75	450	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	450	0	0	150	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_6121700_6122000	0	0	0	0	300	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_11340850_11341250	0	275	200	0	400	400	400	0	0	0	0	0	0	400	0	0	0	0	0	0	125	0	400	400	0	0	125	0	200	0	0	400	275	0	125	0	400	400	0	0	0	400	200	350	200	400	350	0	400
chr10_11692650_11693300	650	650	0	0	650	525	650	0	0	0	0	0	0	650	0	0	0	0	0	225	650	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_11693550_11694450	900	150	0	0	900	750	900	450	0	0	450	0	0	375	0	0	0	0	0	225	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_11719400_11719700	300	300	0	0	300	0	300	0	0	0	300	0	0	50	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0
chr10_12342500_12342850	350	175	0	0	350	0	350	100	325	0	0	0	0	0	0	0	0	0	0	0	325	0	325	0	0	0	100	0	0	0	0	100	0	0	350	0	0	0	0	0	0	350	0	350	350	350	350	350	350
chr10_12343500_12343800	300	300	0	0	300	225	300	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	300	0	0	0	0	0	0	0	300	0	0	0	0	0	0	300	0	300	300	300	300	300	300
chr10_12345950_12346500	550	0	150	450	550	0	550	375	0	0	0	150	0	400	0	0	0	0	0	0	525	0	0	0	0	0	550	0	0	0	0	550	550	250	150	0	0	0	0	0	0	550	0	550	550	375	450	550	450
