A.dname	CLL_25.bed.combine.5mC.CpG.dname	CLL_26.bed.combine.5mC.CpG.dname	CLL_27.bed.combine.5mC.CpG.dname	CLL_28.bed.combine.5mC.CpG.dname	CLL_28.large.bed.combine.5mC.CpG.dname	CLL_28.small.bed.combine.5mC.CpG.dname	CLL_29.bed.combine.5mC.CpG.dname	CLL_30.bed.combine.5mC.CpG.dname	CLL_30.large.bed.combine.5mC.CpG.dname	CLL_30.small.bed.combine.5mC.CpG.dname	CLL_4.bed.combine.5mC.CpG.dname	CLL_5.bed.combine.5mC.CpG.dname	CLL_6.bed.combine.5mC.CpG.dname	CLL_94.bed.combine.5mC.CpG.dname	CLL_95.bed.combine.5mC.CpG.dname	CLL_96.bed.combine.5mC.CpG.dname	CLL_97.bed.combine.5mC.CpG.dname	EGAN00001095766:NBC.1:C003K9.bed.combine.5mC.CpG.dname	EGAN00001095769:NBC.2:C0068L.bed.combine.5mC.CpG.dname	EGAN00001096889:csMBC.2:C003JB.bed.combine.5mC.CpG.dname	EGAN00001096891:MBC.3:C003N3.bed.combine.5mC.CpG.dname	EGAN00001096949:NBC.3:S001JP.bed.combine.5mC.CpG.dname	EGAN00001170519:HMPC.1:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001170520:PreBC.1:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001170521:GCBC.1:T11_8.bed.combine.5mC.CpG.dname	EGAN00001170522:PBC.1:MO7071.bed.combine.5mC.CpG.dname	EGAN00001220205:csMBC.1:S004P1.bed.combine.5mC.CpG.dname	EGAN00001220214:NBC.4:S00DM8.bed.combine.5mC.CpG.dname	EGAN00001235812:MBC.2:csMBC.bed.combine.5mC.CpG.dname	EGAN00001266052:HMPC.2:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001266053:PreBC.2:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001266054:GCBC.2:T14_10.bed.combine.5mC.CpG.dname	EGAN00001266055:NBC.5:NC11_41.bed.combine.5mC.CpG.dname	EGAN00001266056:csMBC.3:NC11_41.bed.combine.5mC.CpG.dname	EGAN00001266057:PBC.2:V156.bed.combine.5mC.CpG.dname	EGAN00001280907:MBC.1:S017RE.bed.combine.5mC.CpG.dname	EGAN00001282097:GCBC.3:T14_11.bed.combine.5mC.CpG.dname	EGAN00001282098:PBC.3:T14_10.bed.combine.5mC.CpG.dname	EGAN00001282099:PBC.4:T12_20.bed.combine.5mC.CpG.dname	EGAN00001282100:PBC.5:T13_1.bed.combine.5mC.CpG.dname	EGAN00001286337:NBC.6:NC11_83.bed.combine.5mC.CpG.dname	EGAN00001343490:CLL.182:182CLL.bed.combine.5mC.CpG.dname	EGAN00001343492:CLL.12:12CLL.bed.combine.5mC.CpG.dname	EGAN00001343494:CLL.110:110CLL.bed.combine.5mC.CpG.dname	EGAN00001356805:NBC.7:NC15_72.bed.combine.5mC.CpG.dname	EGAN00001358479:CLL.1525:1525CLL.bed.combine.5mC.CpG.dname	EGAN00001358480:CLL.1532:1532CLL.bed.combine.5mC.CpG.dname	EGAN00001401801:CLL.1228:1228CLL.bed.combine.5mC.CpG.dname	GCBC_129.bed.combine.5mC.CpG.dname	GCBC_134.bed.combine.5mC.CpG.dname	GCBC_135.bed.combine.5mC.CpG.dname	GCBC_136.bed.combine.5mC.CpG.dname	GCBC_137.bed.combine.5mC.CpG.dname	GCBC_138.bed.combine.5mC.CpG.dname
chr1_8633550_8634000	0.627363	0.438435	0.081090	0.592818	0.623277	0.612195	0.625921	0.134656	0.103093	0.087704	0.384154	0.441650	0.675626	0.552571	0.318124	0.455170	0.222598	0.894003	0.873511	0.705597	0.692988	0.933312	0.968522	0.949192	0.766833	0.724502	0.727443	0.791842	NAN	0.956454	0.957684	0.738575	0.909138	0.774317	0.775922	0.714359	0.726819	0.715763	0.744205	0.668921	0.717244	0.496699	0.125670	0.461697	0.879819	0.577359	0.386193	0.670218	0.723309	0.726556	0.748851	0.723187	0.774065	0.717654
chr1_8660400_8660450	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
chr1_8687900_8688700	0.684351	0.446293	0.104461	0.080960	0.067727	0.081895	0.040779	0.025455	0.037716	0.029644	0.047492	0.125858	0.815608	0.025370	0.004662	0.132509	0.003135	0.942342	0.965336	0.848990	0.772493	0.936210	0.951904	0.939787	0.885584	0.816536	0.750908	0.847215	0.500000	0.948796	0.957173	0.848259	0.915455	0.884619	0.795338	0.775956	0.874217	0.871950	0.900560	0.813891	0.703944	0.071770	0.064186	0.201197	0.923257	0.337008	0.128478	0.665267	0.691706	0.859864	0.848685	0.885595	0.925195	0.860806
chr1_10985450_10985950	0.197459	0.267852	0.076925	0.203905	0.259663	0.256805	0.016304	0.110598	0.125465	0.141681	0.025735	0.241902	0.307707	0.230682	0.180052	0.023958	0.061695	0.843525	0.868517	0.421204	0.538716	0.887787	0.959192	0.929982	0.520991	0.473755	0.404520	0.785684	0.200000	0.910231	0.960680	0.532489	0.844308	0.514432	0.456160	0.453384	0.524008	0.440029	0.492435	0.442226	0.770503	0.198455	0.116669	0.158618	0.809453	0.188879	0.116400	0.159333	0.555610	0.443448	0.476522	0.488165	0.500293	0.448856
chr1_12125100_12126000	0.405431	0.409267	0.045656	0.301181	0.366884	0.332469	0.277056	0.369872	0.346857	0.336547	0.170891	0.238900	0.182124	0.071264	0.065802	0.324466	0.260411	0.760712	0.766456	0.605255	0.632809	0.725485	0.742631	0.802879	0.655089	0.532232	0.659838	0.694128	1.000000	0.719220	0.770831	0.677505	0.704163	0.645397	0.608872	0.647144	0.671546	0.655782	0.662693	0.652495	0.694242	0.121298	0.204360	0.338892	0.712091	0.417142	0.072955	0.489281	0.646547	0.618229	0.629547	0.652466	0.665850	0.593597
chr1_12126450_12128800	0.521574	0.417865	0.112578	0.490708	0.468949	0.499428	0.111434	0.411532	0.412744	0.408709	0.121656	0.393883	0.494591	0.267789	0.336814	0.422735	0.298418	0.904505	0.877419	0.883657	0.885474	0.887561	0.889781	0.889616	0.833150	0.792397	0.853325	0.870503	0.777778	0.917155	0.914623	0.824607	0.871196	0.834530	0.808362	0.870870	0.871677	0.816874	0.810300	0.756106	0.832813	0.200683	0.193058	0.471346	0.882614	0.509679	0.288349	0.496283	0.842677	0.838500	0.804681	0.837692	0.854732	0.799467
chr1_12141500_12142200	0.651416	0.660723	0.414728	0.630481	0.674616	0.647942	0.676876	0.579477	0.558939	0.591636	0.338889	0.268251	0.635123	0.142857	0.341837	0.718672	0.572301	0.936434	0.933637	0.865727	0.916339	0.937046	0.937241	0.937837	0.809637	0.809483	0.894801	0.950924	NAN	0.857995	0.877634	0.867088	0.945290	0.836637	0.820453	0.896954	0.886430	0.869246	0.816607	0.803012	0.862988	0.538199	0.499724	0.685065	0.933159	0.739597	0.345759	0.700878	0.872514	0.810736	0.827484	0.838246	0.836947	0.853904
chr1_12143100_12143400	0.150000	0.000000	0.019231	0.498496	0.562500	0.508454	0.140476	0.098810	0.000000	-0.000000	-0.000000	0.020528	0.231481	NAN	0.023809	0.016667	0.050000	0.134836	0.201546	0.617254	0.610180	0.168056	0.160062	0.268905	0.346652	0.571400	0.521890	0.286071	1.000000	0.187624	0.337983	0.312723	0.152282	0.519681	0.471723	0.610663	0.222180	0.264002	0.188493	0.191309	0.151134	0.004504	0.011574	0.195429	0.224229	0.047493	0.016957	0.348861	0.178028	0.267538	0.429458	0.318913	0.371862	0.353691
chr1_12144100_12146100	0.279641	0.210272	0.121278	0.264565	0.249784	0.268775	0.172344	0.130189	0.182151	0.151451	0.116764	0.190258	0.202622	0.134633	0.160960	0.152534	0.086138	0.932384	0.918017	0.679941	0.809337	0.949712	0.914725	0.926686	0.705143	0.555820	0.705918	0.890133	NAN	0.900384	0.924831	0.662642	0.894806	0.602399	0.588318	0.777723	0.716579	0.699360	0.712644	0.677728	0.795590	0.150538	0.156018	0.271517	0.890603	0.286406	0.191060	0.319617	0.640242	0.652386	0.712893	0.641791	0.726988	0.598974
chr1_12146250_12146400	0.687514	0.728205	0.877562	0.919048	1.000000	0.922772	0.854776	0.696429	0.734609	0.709957	0.655249	0.712745	0.791826	0.834188	0.333333	0.750000	1.000000	0.951420	0.960517	0.759912	0.906358	0.939952	0.966363	0.947011	0.753549	0.708714	0.802763	0.943709	NAN	0.946797	0.962831	0.758222	0.937454	0.662801	0.771715	0.946415	0.753943	0.796348	0.782198	0.869760	0.895824	0.813962	0.554701	0.916472	0.964675	0.838519	0.778877	0.913889	0.851479	0.789474	0.680370	0.774789	0.730769	0.649436
chr1_12157250_12157500	0.013523	0.000000	0.019610	-0.000000	0.011027	0.000000	0.033399	0.009434	0.000000	-0.000000	0.015151	0.028405	0.007246	0.005747	-0.000000	-0.000000	0.007042	0.916088	0.845650	0.077904	0.066919	0.695000	0.858083	0.968051	0.107639	0.297293	0.144025	0.526054	NAN	0.851675	0.990654	0.146330	0.633836	0.031836	0.213272	0.058292	0.090909	0.148810	0.086994	0.186364	0.787879	-0.000000	0.008333	-0.000000	0.804348	0.000000	0.024390	0.011628	0.085714	0.087059	0.100706	0.203549	0.228572	0.039096
chr1_12157800_12159450	0.184203	0.030307	0.078127	0.012235	0.013889	0.009543	0.008893	0.077215	0.075547	0.028553	-0.000000	0.039767	0.125623	0.011958	0.010058	0.027457	0.013740	0.751529	0.716619	0.615357	0.457659	0.771102	0.778093	0.741764	0.651234	0.614950	0.614003	0.704223	NAN	0.802855	0.762838	0.650824	0.743604	0.667840	0.560996	0.488886	0.640500	0.663381	0.654118	0.615032	0.593499	0.034551	0.023173	0.091727	0.753017	0.170020	0.023185	0.134954	0.588663	0.604135	0.648404	0.620332	0.716006	0.615580
chr1_12160700_12161450	0.302735	0.224524	0.121750	0.245523	0.142760	0.226949	0.435714	0.045778	0.097499	0.100629	0.057849	0.222899	0.294841	0.105820	0.006536	0.131660	0.027778	0.820333	0.829951	0.735349	0.663632	0.720111	0.824609	0.860176	0.691791	0.751173	0.743861	0.658471	NAN	0.769761	0.827072	0.702831	0.710552	0.816018	0.774293	0.680233	0.749259	0.687214	0.778915	0.641416	0.584383	0.252569	0.071085	0.277145	0.619950	0.330834	0.062713	0.365055	0.719239	0.682002	0.747487	0.744100	0.809184	0.791106
chr1_12162450_12162750	0.796121	0.531746	0.040441	0.262869	0.318757	0.530252	0.074131	0.384921	0.440873	0.534560	0.282407	0.608985	0.203491	0.444444	0.653367	0.584343	0.170899	0.971135	0.967495	0.701592	0.791642	0.912948	0.973667	0.937245	0.690753	0.498831	0.747062	0.922523	0.500000	0.956926	0.981361	0.797069	0.904159	0.665887	0.475782	0.794493	0.770859	0.841979	0.768332	0.770509	0.781236	0.508960	0.415640	0.405700	0.870709	0.642754	0.360763	0.615702	0.709744	0.739389	0.697374	0.625204	0.747308	0.507505
chr1_12172200_12172250	0.272727	0.609428	0.060606	0.096970	0.017544	0.033333	0.053419	0.047619	0.096970	0.117460	0.264423	0.375397	0.037037	0.237037	0.265734	0.666667	-0.000000	0.913506	0.918086	0.447867	0.706096	0.944589	0.758731	0.945382	0.498827	0.209696	0.359755	0.868137	NAN	0.682176	0.936304	0.595093	0.968485	0.314998	0.333124	0.762159	0.517021	0.708378	0.514824	0.577091	0.830096	0.293907	0.361407	0.360749	0.896296	0.840221	0.283938	0.701718	0.733333	0.213234	0.646465	0.321388	0.465165	0.109954
chr1_12174900_12175650	0.672089	0.801034	0.263861	0.815605	0.871965	0.829175	0.640647	0.653690	0.612990	0.656334	0.467028	0.518375	0.661493	0.505742	0.455357	0.717949	0.453125	0.731592	0.750614	0.834114	0.865495	0.802389	0.509209	0.686234	0.795942	0.853665	0.854009	0.808860	NAN	0.502815	0.692779	0.784740	0.789789	0.868655	0.822256	0.880257	0.780261	0.738080	0.763502	0.743225	0.720573	0.549787	0.328810	0.681701	0.756606	0.628482	0.475952	0.837873	0.753088	0.760587	0.761192	0.782333	0.835910	0.786344
chr1_12178000_12178550	0.005051	0.057388	0.010417	0.061168	0.069147	0.047519	0.026147	0.013117	0.000000	0.008598	0.010895	0.006794	0.004115	0.009755	0.008333	0.086286	0.007541	0.751239	0.830312	0.574776	0.735907	0.855599	0.788682	0.885314	0.578033	0.684676	0.616024	0.693165	NAN	0.761407	0.863683	0.649116	0.820531	0.676524	0.595222	0.657128	0.618483	0.686551	0.522981	0.674075	0.736070	0.004490	0.003003	0.008273	0.754649	0.482429	0.006103	0.155123	0.650867	0.687799	0.626429	0.676384	0.661374	0.463061
chr1_12201600_12204200	0.086591	0.124736	0.053382	0.151154	0.167404	0.133863	0.021093	0.191199	0.173496	0.191569	0.012828	0.113461	0.139185	0.092038	0.083099	0.133843	0.178404	0.903050	0.895259	0.430988	0.536292	0.893163	0.935727	0.847087	0.573444	0.648492	0.520041	0.759503	NAN	0.945581	0.913513	0.631609	0.849248	0.483555	0.654877	0.568042	0.585958	0.667784	0.567502	0.563463	0.745238	0.064695	0.096000	0.126906	0.836570	0.174129	0.097023	0.263717	0.552602	0.662434	0.574214	0.464780	0.511428	0.508229
chr1_12204850_12205750	0.783883	0.657799	0.404215	0.864865	0.853413	0.837958	0.582713	0.806213	0.804087	0.802389	0.488617	0.646578	0.663331	0.576049	0.586727	0.747370	0.730692	0.935112	0.941651	0.780481	0.834866	0.914090	0.917516	0.888752	0.810008	0.818852	0.830110	0.876766	NAN	0.946569	0.929319	0.843079	0.912300	0.790288	0.823951	0.845321	0.817896	0.846470	0.773536	0.805307	0.821151	0.623345	0.560613	0.692046	0.927646	0.713140	0.603133	0.810604	0.747179	0.806710	0.780822	0.787152	0.838607	0.782542
chr1_12206750_12207100	0.814103	0.882576	0.684272	0.858275	0.910606	0.817172	0.598772	0.799457	0.792569	0.753636	0.651709	0.797213	0.770139	0.594408	0.839286	0.931818	0.643878	0.964554	0.949045	0.891112	0.915465	0.965219	0.954841	0.953708	0.884913	0.885107	0.884955	0.930631	NAN	0.937629	0.959267	0.894620	0.949248	0.845183	0.871657	0.910532	0.876736	0.887143	0.884187	0.841888	0.881245	0.862321	0.778008	0.777855	0.959831	0.903718	0.694490	0.852334	0.815448	0.888837	0.844727	0.906580	0.857489	0.833455
chr1_12208100_12208900	0.521215	0.560061	0.303554	0.599422	0.563408	0.564687	0.388348	0.594882	0.570860	0.572999	0.289735	0.534477	0.482887	0.482540	0.513120	0.657691	0.531026	0.848996	0.807772	0.716959	0.754363	0.809491	0.846190	0.839897	0.738591	0.718402	0.750126	0.775914	NAN	0.824529	0.843272	0.692560	0.815119	0.723697	0.717615	0.769602	0.729668	0.691339	0.711576	0.656008	0.729889	0.411687	0.477851	0.631373	0.816221	0.560604	0.503615	0.654388	0.699239	0.726572	0.748445	0.709564	0.697392	0.728679
chr1_13705800_13706250	0.861231	0.885479	0.944905	0.939545	0.974868	0.900905	0.736497	0.884921	0.858141	0.916916	0.898022	0.887323	0.898409	0.904347	0.862181	0.893444	0.948831	0.909628	0.932617	0.891127	0.905593	0.912884	0.938952	0.932635	0.945749	0.922613	0.897263	0.943974	NAN	0.914673	0.932426	0.932424	0.929043	0.892719	0.911421	0.949373	0.950689	0.938773	0.924999	0.845236	0.631380	0.953362	0.931085	0.929723	0.939178	0.982823	0.924127	0.937545	0.867383	0.819165	0.833926	0.856448	0.867092	0.853439
chr1_13708200_13709050	0.617150	0.403932	0.141099	0.805462	0.790070	0.786098	0.063318	0.198033	0.239875	0.253229	0.075017	0.078659	0.240232	0.106283	0.017866	0.558574	0.014459	0.930410	0.882315	0.861431	0.755213	0.848691	0.829319	0.892989	0.849410	0.870078	0.844659	0.835530	NAN	0.822753	0.889458	0.844268	0.798109	0.905688	0.870081	0.838178	0.932854	0.844957	0.849920	0.769877	0.721667	0.224554	0.083220	0.506817	0.771747	0.691962	0.096203	0.480932	0.816621	0.869236	0.778055	0.798688	0.852022	0.874383
chr1_13710000_13711500	0.890648	0.827972	0.173121	0.915472	0.895199	0.899520	0.124396	0.805259	0.830939	0.799228	0.334172	0.561502	0.717461	0.689335	0.662379	0.785562	0.355803	0.961355	0.953572	0.926081	0.929497	0.956079	0.952873	0.961476	0.929928	0.910222	0.927000	0.954445	NAN	0.955118	0.966968	0.930183	0.953894	0.942683	0.909025	0.933669	0.931611	0.913740	0.925942	0.867743	0.820684	0.822688	0.749481	0.823827	0.954024	0.910270	0.375136	0.848510	0.880104	0.900951	0.912002	0.902424	0.933384	0.899419
chr1_15952200_15953050	0.727904	0.533333	0.145893	0.612218	0.666496	0.538536	0.020062	0.537099	0.430043	0.392033	0.407769	0.202514	0.546425	0.694489	0.359893	0.808460	0.254124	0.735629	0.822503	0.794936	0.793653	0.766733	0.644669	0.813096	0.721903	0.743526	0.791898	0.753417	0.200000	0.618053	0.777391	0.710031	0.783990	0.750795	0.733294	0.817709	0.735904	0.699611	0.663206	0.635347	0.664417	0.041651	0.327668	0.586516	0.770402	0.637149	0.185428	0.739103	0.794629	0.690081	0.749850	0.682170	0.727410	0.734473
chr1_15957050_15958650	0.564817	0.303608	0.151450	0.420596	0.439565	0.429919	0.074855	0.255716	0.249658	0.269979	0.056650	0.266020	0.361716	0.157572	0.104386	0.287661	0.420154	0.919634	0.934980	0.784496	0.851644	0.915758	0.927401	0.939712	0.843048	0.770224	0.816839	0.897363	1.000000	0.912570	0.943820	0.845024	0.920654	0.826397	0.778753	0.827022	0.864753	0.880088	0.821648	0.830072	0.843726	0.218057	0.168333	0.399618	0.914379	0.589570	0.214106	0.515921	0.825937	0.822043	0.854494	0.854926	0.837164	0.797434
chr1_15959050_15959350	0.211538	0.102564	0.056604	0.000000	-0.000000	0.021739	0.000000	0.000000	0.000000	0.048781	-0.000000	0.191489	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.933333	0.941176	0.500000	0.200000	0.750000	0.923077	0.948718	0.611111	0.689655	0.285714	0.714286	NAN	0.945946	0.860465	0.771429	0.906250	0.525000	0.545455	0.406250	0.647059	0.576923	0.625000	0.684211	0.857143	0.023809	0.037736	0.135135	0.833333	0.018868	0.097561	0.277778	0.575758	0.511628	0.636364	0.622642	0.555556	0.450980
