A.ID	CLL_25.bed.combine.5mC.CpG.NA_id.methValue	CLL_26.bed.combine.5mC.CpG.NA_id.methValue	CLL_27.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.large.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.small.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.large.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.small.bed.combine.5mC.CpG.NA_id.methValue	CLL_4.bed.combine.5mC.CpG.NA_id.methValue	CLL_5.bed.combine.5mC.CpG.NA_id.methValue	CLL_6.bed.combine.5mC.CpG.NA_id.methValue	CLL_94.bed.combine.5mC.CpG.NA_id.methValue	CLL_95.bed.combine.5mC.CpG.NA_id.methValue	CLL_96.bed.combine.5mC.CpG.NA_id.methValue	CLL_97.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001095766:NBC.1:C003K9.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001095769:NBC.2:C0068L.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096889:csMBC.2:C003JB.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096891:MBC.3:C003N3.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096949:NBC.3:S001JP.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170519:HMPC.1:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170520:PreBC.1:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170521:GCBC.1:T11_8.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170522:PBC.1:MO7071.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001220205:csMBC.1:S004P1.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001220214:NBC.4:S00DM8.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266052:HMPC.2:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266053:PreBC.2:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266054:GCBC.2:T14_10.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266055:NBC.5:NC11_41.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266056:csMBC.3:NC11_41.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266057:PBC.2:V156.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001280907:MBC.1:S017RE.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282097:GCBC.3:T14_11.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282098:PBC.3:T14_10.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282099:PBC.4:T12_20.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282100:PBC.5:T13_1.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343490:CLL.182:182CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343492:CLL.12:12CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343494:CLL.110:110CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001356805:NBC.7:NC15_72.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001358479:CLL.1525:1525CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001358480:CLL.1532:1532CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001401801:CLL.1228:1228CLL.bed.combine.5mC.CpG.NA_id.methValue	GCBC_129.bed.combine.5mC.CpG.NA_id.methValue	GCBC_134.bed.combine.5mC.CpG.NA_id.methValue	GCBC_135.bed.combine.5mC.CpG.NA_id.methValue	GCBC_136.bed.combine.5mC.CpG.NA_id.methValue	GCBC_137.bed.combine.5mC.CpG.NA_id.methValue	GCBC_138.bed.combine.5mC.CpG.NA_id.methValue
10:100006973:100006975	0	0.142857	0.1	0.0769231	0.166667	0.0666667	0	0	0.105263	0	0.48	0.24	0	0.5	0.217391	0.625	0.98	0.949153	0.794643	0.8	0.982456	0.949495	0.950495	0.756522	0.753623	0.790698	0.886792	0.942857	0.975806	0.783784	0.963964	0.773109	0.704348	0.804124	0.822222	0.790323	0.784946	0.881579	0.15	0.142857	0.55	0.942857	0.466667	0.142857	0.352941	0.829268	0.863636	0.736842	0.571429	0.793103	0.555556
10:100007006:100007008	0.818182	0.8	0.0434783	0.833333	0.833333	0.666667	0.222222	0.0625	0.111111	0	0.851852	0.875	0.6	0.777778	0.47619	0.2	1	0.981481	0.915888	0.862069	0.963636	0.982301	0.925234	0.973214	0.935484	0.965116	0.981818	0.904762	0.945946	0.975207	0.981651	0.894737	0.921739	0.93578	0.975309	0.88	0.931373	0.864865	0.372093	0.333333	0.775	0.973684	0.72973	0.574074	0.741935	0.977778	0.913043	1	0.736842	0.942857	0.95122
10:100007070:100007072	0.642857	0.181818	0.04	0.272727	0.222222	0.363636	0.0526316	0	0.0588235	0	0.538462	0	1	0.363636	0.538462	0	0.823529	0.87037	0.89	0.887324	0.890625	0.936364	0.978261	0.913462	0.945205	0.894737	0.909091	0.956522	0.900901	0.928	0.923077	0.839286	0.901961	0.927083	0.96	0.923077	0.834862	0.909091	0.15	0.0465116	0.348837	0.878049	0.542857	0.362069	0.571429	0.945455	0.884615	0.9	0.9375	0.9	0.944444
10:100007383:100007385	0.0666667	0	0.0526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730769	0.306122	0.225225	0.204225	0.117647	0.902778	0.842857	0.117647	0.369863	0.208955	0.206897	0.935065	0.915254	0.0447761	0.5	0.421875	0.121951	0.2	0.121212	0.195122	0.0714286	0.0701754	0	0.0188679	0.0810811	0.272727	0	0.121212	0.107143	0.268293	0.15625	0.037037	0	0.0222222	0.217391
10:100008576:100008578	0.23913	0.0645161	0.121212	0.0909091	0.233766	0.164384	0.0377358	0.0806452	0	0.0625	0.155844	0.0625	0	0.0425532	0.112903	0	0.954545	1	1	0.875	1	1	0.846154	0.941176	0.952381	1	1	0.821429	1	1	1	0.935484	0.955556	0.789474	0.933333	1	0.928571	1	0.0434783	0.030303	0.21875	0.947368	0.369565	0	0.111111	0.960784	0.9375	0.913793	0.945205	0.90566	0.852459
10:100015853:100015855	0.592593	0	0	0.454545	0.190476	0.208333	0	0.0227273	0	0	0	0	0	0	0	0	0.522727	0.363636	0.558824	0.537313	0.232558	0.525424	0.540541	0.444444	0.465116	0.645161	0	0.905983	0.966667	0.272727	0.415385	0.851852	0.555556	0.53012	0.342857	0.169492	0.414634	0.317073	0	0.115385	0.102564	0.327273	0	0.0576923	0.0540541	0.0909091	0.298246	0.530612	0.313725	0.508772	0.483871
10:100015880:100015882	0.545455	0.0294118	0	0.44186	0.333333	0.368421	0	0	0.030303	0	0.121951	0.0425532	0	0.047619	0.114286	0.030303	0.526316	0.407407	0.642857	0.432432	0.244444	0.947368	0.921053	0.464789	0.775	0.662162	0.491228	0.894737	0.942308	0.543478	0.394737	0.801802	0.741935	0.392857	0.52381	0.507463	0.4	0.326531	0.08	0.0612245	0.105263	0.211538	0.0714286	0.108696	0.131579	0.5	0.25	0.382979	0.283019	0.641509	0.413793
10:100020076:100020078	0	0	0.0869565	0	0	0	0	0.05	0	0.25	0.08	0.277778	0	0	0.315789	0	0.477273	0.5	0.482143	0.358974	0.8	0.460526	0.432099	0.493506	0.333333	0.490566	0.677419	0.394231	0.582418	0.461538	0.388889	0.430108	0.338983	0.535714	0.395349	0.589286	0.591549	0.42	0.0217391	0.282051	0.710526	0.465116	0.444444	0.257143	0.468085	0.326531	0.606061	0.425	0.25	0.527778	0.354839
10:100371391:100371393	0.6	0	0	0.4	0.769231	0.352941	0	0	0	0	0	0	0	0	0	0	0.242424	0.333333	0.796296	0.711538	0.6	0.47541	0.348315	0.6875	0.520548	0.666667	0.707317	0.35	0.481818	0.663043	0.57377	0.666667	0.6875	0.569231	0.75	0.555556	0.515152	0.6	0	0	0.388889	0.545455	0.272727	0	0.15	0.333333	0.454545	0.575758	0.347826	0.526316	0.681818
10:100371393:100371395	0.6	0	0	1	0.846154	0.421053	0	0	0	0	0	0	0	0	0	0	0.542857	0.484848	0.854545	0.814815	0.76	0.5	0.568182	0.848485	0.608108	0.78	0.833333	0.5	0.550459	0.76087	0.883333	0.8	0.715596	0.69697	0.835443	0.783784	0.555556	0.88	0	0.0222222	0.378378	0.826087	0.34375	0.08	0.2	0.411765	0.652174	0.8125	0.708333	0.764706	0.785714
10:100371399:100371401	0.333333	0	0	0.2	0.428571	0.105263	0	0	0	0	0	0	0	0	0	0	0.787879	0.727273	0.631579	0.803571	0.708333	0.609375	0.781609	0.735294	0.521739	0.557692	0.8	0.650602	0.798165	0.648936	0.786885	0.577778	0.623853	0.61194	0.753247	0.756757	0.609375	0.78	0.0243902	0.0232558	0.184211	0.863636	0.129032	0	0.179487	0.352941	0.291667	0.636364	0.347826	0.5625	0.487179
10:100371429:100371431	0.8	0	0	0.6	0.5	0.5	0	0	0	0	0	0	0	0	0	0	1	0.935484	0.782609	0.824324	0.8	0.883333	0.958763	0.866667	0.658228	0.6875	0.979167	0.811765	0.915254	0.847059	0.911765	0.790698	0.740385	0.736842	0.829268	0.8	0.775862	0.857143	0	0	0.368421	0.909091	0.322581	0.0869565	0.121951	0.3125	0.666667	0.791667	0.8	0.642857	0.7
10:100371457:100371459	0.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.709677	0.724138	0.75	0.716418	0.965517	0.763636	0.884211	0.736111	0.674699	0.655738	0.795918	0.732394	0.775	0.714286	0.938462	0.666667	0.598039	0.72973	0.809524	0.72093	0.660377	0.536585	0	0	0.0714286	0.833333	0.0384615	0	0.0277778	0.529412	0.5	0.772727	0.692308	0.6	0.72093
10:100371488:100371490	0.125	0	0	0.117647	0.333333	0	0	0	0	0	0.0526316	0	0	0	0	0	0.90625	0.911765	0.790323	0.854839	1	0.87037	0.934066	0.80597	0.7375	0.824561	0.934426	0.691176	0.961905	0.693333	0.896552	0.628205	0.602273	0.771429	0.886792	0.73913	0.64	0.6	0	0	0.170213	0.969697	0	0.0434783	0.0571429	0.333333	0.5625	0.75	0.6	0.769231	0.6875
10:100371508:100371510	0.2	0	0	0.142857	0.411765	0.222222	0	0	0	0	0	0	0	0	0	0	0.925926	0.965517	0.45283	0.408163	0.703704	0.956522	0.95122	0.811321	0.84	0.75	0.77551	0.90566	0.933333	0.846154	0.982759	0.890411	0.695122	0.864407	0.93617	0.813953	0.777778	0.652174	0	0	0.222222	0.448276	0.0384615	0.105263	0.030303	0.72	0.823529	0.772727	0.727273	0.763158	0.820513
10:100371703:100371705	0	0	0.0196078	0	0	0.05	0	0	0	0	0	0.0285714	0.0263158	0	0	0	0.785714	0.714286	0.606061	0.916667	0.916667	1	0.818182	0.904762	0.478261	0.555556	0.92	0.793103	0.888889	0.72973	0.833333	0.741935	0.8	0.795455	0.826087	0.708333	0.555556	0.451613	0	0	0.0612245	0.92	0	0.0344828	0.075	0.5	0.548387	0.685714	0.6875	0.7	0.833333
10:102819168:102819170	0	0	0	0	0	0	0	0	0	0	0.0384615	0	0	0	0	0	0.0217391	0	0.0181818	0.0245902	0	0.0190476	0	0	0.0990991	0.0326087	0	0.00900901	0.0444444	0.0322581	0	0.00952381	0.0625	0.0210526	0.0117647	0.0508475	0	0.0188679	0	0	0.0526316	0	0.0465116	0	0.0363636	0	0	0.194444	0.030303	0	0.03125
10:102819222:102819224	0	0	0	0.0952381	0	0.0434783	0	0	0	0	0	0	0	0	0	0	0.028169	0	0	0	0	0.05	0.0337079	0.0121951	0.101852	0.038961	0.0638298	0.0210526	0.0985915	0.0465116	0.0375	0.0566038	0.0116279	0.0138889	0.0833333	0.02	0.030303	0.111111	0.0285714	0	0.0377358	0.0204082	0	0	0	0	0	0	0.0526316	0.109091	0.027027
10:102819309:102819311	0.214286	0	0	0.425	0.4	0.448276	0	0	0	0.0416667	0.125	0.333333	0	0	0	0.0454545	0.0888889	0.0322581	0.209677	0.25	0.147059	0.0677966	0.0545455	0.239437	0.323944	0.15625	0.314286	0.0133333	0.136986	0.192308	0.0909091	0.191011	0.181818	0.227273	0.170213	0.243902	0	0.148148	0.166667	0	0.047619	0	0	0.030303	0	0.0526316	0.0606061	0.135135	0.1875	0.130435	0.3
10:102819316:102819318	0.5	0	0	0.461538	0.4	0.566667	0	0	0	0.04	0.133333	0.433333	0	0.285714	0	0	0.0222222	0.0322581	0.126761	0.15942	0.138889	0.0149254	0.0350877	0.116883	0.211268	0.131579	0.0681818	0	0.0512821	0.0980392	0	0.195652	0.116667	0.131579	0.08	0.04	0	0.125	0.0638298	0	0.0232558	0	0	0	0.0571429	0.0909091	0.0571429	0.153846	0.0377358	0.0454545	0.109091
10:102819328:102819330	0.461538	0.333333	0.0967742	0.5	0.375	0.481481	0	0	0	0.04	0.129032	0.366667	0	0	0	0	0.0208333	0.1	0.130952	0.207792	0.243902	0.0746269	0.109091	0.228916	0.307692	0.314815	0.235294	0.0533333	0.106667	0.155172	0.0769231	0.21978	0.288462	0.192771	0.153846	0.1875	0.0645161	0.138889	0.122449	0.0363636	0.23913	0.111111	0.0416667	0	0.0555556	0.0869565	0.264706	0.157895	0.148148	0.130435	0.153846
10:103491186:103491188	0.142857	0	0	0.133333	0.0833333	0	0	0	0	0	0	0	0	0	0.181818	0	0.971429	0.90625	0.533333	0.5625	0.818182	0.933333	0.97619	0.5	0.551724	0.676471	0.717949	0.944444	0.934783	0.711538	0.966667	0.568182	0.403509	0.708333	0.326087	0.5	0.5	0.518519	0.0232558	0	0.113636	0.833333	0	0.0810811	0.175	0.611111	0.769231	0.484848	0.535714	0.692308	0.46875
10:103681002:103681004	0	0	0.030303	0.0606061	0	0	0.0333333	0.0196078	0	0	0	0	0	0	0.142857	0	1	0.952381	0.638889	0.896552	0.898551	0.963415	0.93617	0.647059	0.675	0.623377	0.888889	0.960784	0.96748	0.640351	0.97	0.675439	0.48913	0.852273	0.584615	0.738462	0.614458	0.5	0	0	0.0740741	0.969697	0.0666667	0.0588235	0.108696	0.575	0.8	0.74359	0.636364	0.583333	0.340909
10:110208408:110208410	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208439:110208441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166667	0	0	0.0217391	0	0	0	0	0	0	0	0	0.0208333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208509:110208511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208600:110208602	0	0	0	0	0	0.0714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208611:110208613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.0416667	0	0
10:110208641:110208643	0	0.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0.0196078	0	0.0408163	0	0	0.0192308	0	0	0	0	0	0.0277778	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208687:110208689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263158	0	0.0169492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208693:110208695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208712:110208714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208716:110208718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0434783	0.142857
10:110208722:110208724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.148148
10:110208738:110208740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208765:110208767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0.0357143	0	0	0	0	0	0	0	0.0434783	0	0	0	0	0	0	0	0	0
10:110208768:110208770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208781:110208783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208797:110208799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0151515	0	0	0.0454545	0.0217391	0	0.0178571	0	0	0	0	0	0	0	0	0.0208333	0	0	0	0	0	0	0	0.0740741	0	0	0	0	0	0	0	0
10:110208803:110208805	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344828	0	0	0	0	0.0175439	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208806:110208808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
10:110208817:110208819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0526316	0	0	0
10:110208830:110208832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037037	0	0
10:110208838:110208840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:110208840:110208842	0	0	0	0.0714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015873	0	0	0	0	0	0.0253165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0
