A.TSS2k	H3K27me3	end	NESG.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value
chr11	58506105	58510105	ENSG00000198283	0	375	750	450	0	375	0	450	675	825	600	900	655	825	655	675	420	2200	130	0
chr17	1740836	1744836	ENSG00000167711	825	1125	675	525	0	2550	0	0	0	1264	1489	750	0	0	0	1161	0	0	0	0
chr1	27848744	27852744	ENSG00000278868	0	1050	0	0	0	0	0	300	0	600	0	0	300	0	0	0	300	0	0	0
chr14	103940308	103944308	ENSG00000227729	1208	1508	2408	3083	675	2708	2783	1583	2258	3758	3908	4000	3325	3475	3908	4000	3775	4000	4000	3983
chr11	57422059	57426059	ENSG00000254979	1350	1709	866	0	1650	975	0	2475	750	1184	0	0	600	734	2009	0	1859	209	1800	1484
chr10	99233862	99237862	ENSG00000172987	3138	3738	4000	3550	3663	3813	3888	3663	3888	4000	3937	3112	3775	4000	4000	4000	4000	3562	3625	4000
chr2	188285691	188289691	ENSG00000231689	1725	1275	1125	975	1725	450	0	2025	0	166	300	691	1150	1200	0	1900	700	616	541	450
chr8	103369515	103373515	ENSG00000164932	3135	3360	2535	3135	3225	3375	1050	3360	3585	2835	2835	3400	2875	3285	4000	3510	3360	3475	3510	3850
chr5	134756771	134760771	ENSG00000145833	375	1200	375	1275	1954	375	525	1354	1275	300	0	0	0	675	229	0	0	600	675	0
chr18	24136956	24140956	ENSG00000154040	2700	3069	2769	2550	3000	2625	2775	2850	2550	3250	4000	3775	4000	2806	3550	4000	2650	3181	4000	3106
chr14	31205804	31209804	ENSG00000092148	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	12888782	12892782	ENSG00000013588	4000	0	4000	4000	4000	0	4000	4000	4000	4000	4000	4000	3775	4000	4000	4000	4000	4000	4000	4000
chr17	7304999	7308999	ENSG00000132507	0	0	0	526	901	0	676	826	300	0	0	0	375	0	0	0	0	300	0	0
chr5	140880208	140884208	ENSG00000239389	908	1425	2933	1125	1125	1050	1575	1050	2633	4000	4000	4000	3700	3925	4000	2425	3700	3025	4000	4000
chr19	33519794	33523794	ENSG00000124299	1044	1300	0	444	0	0	1494	0	600	375	0	819	0	969	594	2019	0	1494	1494	1194
chr9	126324849	126328849	ENSG00000196814	2224	1650	874	2374	1999	1624	675	1924	2974	2100	1800	3051	3250	2751	4000	4000	4000	3325	3250	2901
chr13	114279584	114283584	ENSG00000169062	0	0	0	0	0	0	0	375	0	0	0	0	525	0	0	0	0	0	0	0
chr11	94126928	94130928	ENSG00000110218	0	0	697	0	0	0	0	0	0	0	0	0	0	750	600	0	0	0	300	0
chr22	23978469	23982469	ENSG00000099977	1950	525	1725	900	1725	1875	1725	900	1050	1500	525	675	300	0	0	0	1350	0	450	0
chrX	56993537	56997537	ENSG00000204271	0	450	525	1725	600	0	0	1362	0	312	0	0	0	687	237	3250	1200	0	0	0
chr4	41979696	41983696	ENSG00000182308	2850	2625	2079	1554	3000	2475	1200	3225	2400	2754	2229	1779	1929	3354	1704	2454	3129	2304	4000	1929
chr1	150065293	150069293	ENSG00000136631	0	182	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	32275910	32279910	ENSG00000119820	2310	1690	1090	1225	2065	1690	1240	2025	1315	865	940	1390	640	675	750	940	0	565	0	0
chr17	1514888	1518888	ENSG00000132376	0	0	0	0	0	0	0	0	0	738	0	0	0	0	0	0	0	0	0	0
chr20	4247074	4251074	ENSG00000171873	3250	2350	4000	2575	3175	3025	4000	3100	4000	4000	4000	4000	3824	4000	4000	4000	4000	4000	3775	4000
chr17	40997894	41001894	ENSG00000212900	1269	1194	1900	1150	1044	1344	1119	1269	1194	3250	4000	3925	3625	4000	3550	4000	4000	4000	4000	4000
chr13	113881651	113885651	ENSG00000226921	3625	3400	4000	3700	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3974	3974	4000
chr9	129481451	129485451	ENSG00000204054	3475	2875	2974	3400	3325	3550	2974	4000	3550	4000	4000	3724	3274	4000	4000	4000	4000	3574	4000	3799
chr19	37465585	37469585	ENSG00000171827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr21	29071797	29075797	ENSG00000156261	0	0	300	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13	44987483	44991483	ENSG00000083635	0	450	0	0	817	0	0	0	0	0	0	0	33	525	0	0	0	0	0	0
chr7	93224524	93228524	ENSG00000188175	0	0	375	300	0	0	675	0	0	0	0	1125	0	1451	0	1200	0	1676	3326	0
chr2	199469266	199473266	ENSG00000119042	3475	3775	4000	4000	3325	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr19	2032881	2036881	ENSG00000133243	0	450	300	0	600	0	0	0	0	750	525	0	1350	1425	1050	1575	0	975	375	0
chr4	984997	988997	ENSG00000127415	0	0	0	0	203	0	0	203	0	825	1172	450	0	450	0	0	0	0	0	0
chr3	52452070	52456070	ENSG00000114854	0	0	0	0	0	0	0	0	0	605	1355	0	0	0	0	305	0	0	1125	0
chr2	98934259	98938259	ENSG00000196872	3566	2725	4000	3775	3325	3775	4000	4000	4000	3700	4000	4000	4000	4000	4000	4000	4000	3625	4000	4000
chr16	70521565	70525565	ENSG00000103051	0	0	0	0	635	0	0	1085	0	0	0	0	0	375	0	0	0	0	0	0
chr17	8085703	8089703	ENSG00000179477	4000	3278	4000	3400	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3775	4000	4000	4000	3803	4000
chr16	21676514	21680514	ENSG00000155719	2439	2364	3550	2875	2725	2139	3325	2664	2500	1975	2964	4000	4000	3475	3325	3775	3700	4000	4000	4000
chr1	117293520	117297520	ENSG00000235202	2770	3175	4000	4000	2575	3550	3670	2770	3700	3930	3850	4000	4000	4000	3325	4000	4000	3625	4000	3775
chr17	1626886	1630886	ENSG00000167703	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0
chr8	6936338	6940338	ENSG00000164821	3475	3250	3925	3775	3250	3400	4000	2725	3700	3700	4000	4000	3550	3738	4000	4000	4000	4000	4000	4000
chr20	17691672	17695672	ENSG00000125888	3450	3225	3228	3525	3450	3078	3903	3450	3078	2403	528	3400	2047	4000	3453	3175	4000	4000	1147	3250
chr20	38470816	38474816	ENSG00000170471	134	450	0	0	209	0	450	0	0	525	0	0	375	0	0	525	0	359	0	0
chr22	41798679	41802679	ENSG00000100147	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	600	0
chr2	38749494	38753494	ENSG00000115875	0	0	300	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300
chr1	21781606	21785606	ENSG00000090686	450	1031	675	281	956	1256	431	1031	1406	0	0	0	0	131	56	0	0	431	0	0
chr2	27494842	27498842	ENSG00000084734	3308	3550	3625	2500	2850	3175	3775	4000	3475	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr15	43797133	43801133	ENSG00000262560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0
chrY	24831820	24835820	ENSG00000205916	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	18264174	18268174	ENSG00000173432	0	0	0	300	0	0	0	600	900	300	0	0	0	0	1626	0	0	726	501	0
chr9	30573012	30577012	ENSG00000280683	1125	300	1275	0	937	0	0	1425	0	1713	1938	2125	513	2175	2325	0	2962	2325	0	825
chr9	94638249	94642249	ENSG00000165140	2650	2200	1525	2500	1900	1626	1825	1075	2500	3051	375	4000	0	3724	2700	2550	4000	0	3400	3775
chr18	594988	598988	ENSG00000079101	2100	1575	2850	2625	1950	1200	2175	2175	2250	3287	3587	4000	3287	4000	3962	4000	4000	4000	4000	4000
chr11	48486717	48490717	ENSG00000237388	217	292	850	850	292	742	292	292	892	850	1417	2350	2650	67	400	925	600	3250	1233	67
chr1	151538305	151542305	ENSG00000143367	3850	3550	3025	2255	2180	3700	4000	2480	4000	3080	3400	4000	1580	1955	3700	4000	4000	3700	3325	2850
chr6	147506927	147510927	ENSG00000203727	3673	3625	4000	4000	4000	4000	4000	3748	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr16	67391535	67395535	ENSG00000159713	4000	2560	4000	3400	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr14	52265713	52269713	ENSG00000168229	3075	3675	4000	4000	3150	4000	4000	3113	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr15	72374476	72378476	ENSG00000213614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15	42918809	42922809	ENSG00000128881	459	459	0	534	459	459	309	459	459	0	0	0	0	234	0	1059	234	909	1284	0
chr17	1268559	1272559	ENSG00000205899	975	600	0	0	1725	0	4000	825	525	2809	3184	2250	0	2284	4000	2541	3150	0	2550	1416
chr2	207623928	207627928	ENSG00000144401	0	375	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr6	33078775	33082775	ENSG00000231389	0	0	0	0	675	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0
chr11	5387399	5391399	ENSG00000184698	600	750	1824	375	825	1224	675	825	675	1750	2049	3550	2649	1575	1225	3826	3775	3775	2050	2650
chr17	44219626	44223626	ENSG00000108312	0	0	0	251	0	0	26	0	401	26	26	0	101	0	0	0	0	0	375	0
chrX	72936163	72940163	ENSG00000275520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	196501768	196505768	ENSG00000163961	1043	1343	0	0	1493	825	0	600	0	450	450	300	218	68	218	0	0	0	0	0
chr21	13303171	13307171	ENSG00000280108	300	525	450	0	0	0	0	450	0	0	104	1379	0	0	0	0	0	0	0	0
chr1	156191932	156195932	ENSG00000160785	0	0	0	0	0	375	0	1050	0	0	0	0	68	0	0	0	0	0	375	0
chr10	103853543	103857543	ENSG00000107957	3550	3100	4000	3175	3625	3700	4000	3982	4000	4000	3982	4000	3982	4000	4000	4000	4000	4000	4000	4000
chr15	78129498	78133498	ENSG00000166411	0	0	0	0	525	0	0	0	0	0	0	0	0	0	375	450	0	0	0	0
chr1	192946257	192950257	ENSG00000234871	825	975	525	1957	825	0	525	1207	0	900	0	1125	0	907	600	675	1357	3550	900	0
chr9	127722873	127726873	ENSG00000187024	3850	823	4000	1602	3850	2802	4000	3327	3475	2500	2125	2125	1300	3175	3027	1800	2427	3252	2277	2577
chr2	55691910	55695910	ENSG00000138035	1285	1060	0	460	1885	85	1285	1210	910	0	0	460	0	450	460	235	0	0	760	0
chr5	180828957	180832957	ENSG00000245060	0	0	0	0	457	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0
chr2	43594046	43598046	ENSG00000115970	675	525	0	300	1204	450	0	1050	996	246	471	471	621	1296	471	0	825	696	1071	750
chr20	33053424	33057424	ENSG00000186190	3700	3625	4000	2950	4000	4000	4000	4000	4000	4000	3876	4000	4000	3726	4000	3651	4000	3850	3100	4000
chr9	35078016	35082016	ENSG00000221829	384	0	0	0	16	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0
chr5	131795063	131799063	ENSG00000217128	525	600	0	0	525	375	0	750	0	0	187	0	450	963	750	525	0	0	588	0
chr5	80485969	80489969	ENSG00000152380	3100	3100	2369	3250	2650	2725	2500	3550	2950	3775	3475	4000	3581	4000	3250	4000	3269	4000	4000	4000
chr15	66580190	66584190	ENSG00000259471	4000	4000	4000	4000	3325	4000	4000	4000	4000	0	2635	4000	2200	4000	3550	3550	4000	4000	4000	4000
chr15	88465419	88469419	ENSG00000259494	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	237002418	237006418	ENSG00000244020	1543	1825	2082	2275	2275	2275	2275	2200	2425	2457	3057	3807	3550	3325	1975	900	2907	2757	1693	4000
chr19	3698479	3702479	ENSG00000186111	1154	450	0	1004	1079	104	179	479	554	0	854	300	825	975	450	0	0	254	0	0
chr6	111604278	111608278	ENSG00000056972	253	0	747	0	1528	750	28	375	853	478	253	0	0	0	0	0	0	0	0	0
chr6	20210399	20214399	ENSG00000172197	0	1726	4000	3175	975	2401	0	0	0	2250	0	4000	3700	4000	0	0	0	3601	0	3376
chr9	137084927	137088927	ENSG00000177239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0
chr1	47406477	47410477	ENSG00000225762	3025	2875	3700	3775	3625	3925	4000	3100	4000	4000	2275	4000	4000	4000	3550	4000	4000	3475	4000	3850
chr14	77496850	77500850	ENSG00000100593	3175	2675	3475	1825	4000	3350	4000	3875	4000	3650	3800	3725	2825	3725	4000	4000	3650	3400	4000	3875
chr6	33287302	33291302	ENSG00000204220	0	900	0	0	0	0	0	0	0	1125	0	0	0	0	0	0	0	0	0	0
chr17	7918952	7922952	ENSG00000281523	0	375	0	300	748	0	0	0	0	0	0	0	0	0	598	0	0	0	552	0
chr1	155188050	155192050	ENSG00000279487	0	0	0	0	175	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	203794309	203798309	ENSG00000257315	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr9	19784928	19788928	ENSG00000155886	1003	1378	2875	1603	1153	1528	1828	1003	1678	1303	2428	3925	4000	3175	4000	3853	2653	3550	3475	3178
chr6	144148526	144152526	ENSG00000135604	0	0	1024	375	600	0	375	375	1200	1350	0	0	0	1275	375	0	0	1150	1026	750
chr22	33920841	33924841	ENSG00000133424	3000	2625	3991	3916	2700	3241	3391	3250	3316	3450	3916	4000	3841	4000	4000	4000	4000	4000	4000	4000
chr3	97970457	97974457	ENSG00000170854	532	607	682	0	532	532	0	532	600	907	307	1125	675	0	457	525	682	757	1500	300
chr15	89522034	89526034	ENSG00000259218	3025	2875	4000	3400	2950	2800	3100	3025	2950	0	3775	4000	2575	4000	4000	3850	4000	4000	4000	4000
chr15	100347655	100351655	ENSG00000189419	2250	2350	3700	3095	2345	2725	2780	2400	3175	0	3380	4000	4000	4000	4000	4000	3775	4000	3680	4000
chr15	48875886	48879886	ENSG00000255302	0	600	864	1539	0	675	1614	0	1839	0	1764	2350	1764	1314	489	1614	1839	1464	3700	1389
chr12	27694519	27698519	ENSG00000174236	2069	0	3550	2744	3044	0	3644	3025	3494	600	3569	3569	3175	4000	3625	4000	3625	3625	4000	3269
chr12	52404355	52408355	ENSG00000161850	3325	0	4000	3325	4000	0	4000	4000	4000	4000	4000	4000	3025	4000	4000	4000	4000	3700	4000	4000
chr17	38003561	38007561	ENSG00000278599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	19513736	19517736	ENSG00000186010	0	0	525	0	561	0	0	0	0	750	825	0	825	1050	0	0	0	664	1125	0
chr3	133893836	133897836	ENSG00000154917	4000	2500	4000	2950	4000	3925	4000	3850	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr12	112011185	112015185	ENSG00000198270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	70026413	70030413	ENSG00000205649	0	0	300	0	0	0	0	0	0	138	738	963	663	300	0	400	525	525	0	0
chr3	100607589	100611589	ENSG00000144820	1125	2025	2850	2625	2400	2400	2700	1800	2700	3139	2764	3664	3739	3139	3064	3814	4000	3889	3064	3589
chr11	12987548	12991548	ENSG00000251381	3652	3625	3052	2827	3625	3400	3952	3652	3475	1177	2400	3550	2650	2350	3000	3775	3652	3625	3175	3550
chr3	48239100	48243100	ENSG00000164048	600	325	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0
chr18	49490565	49494565	ENSG00000177576	415	340	0	865	565	300	1615	1315	300	0	0	0	300	300	415	450	0	0	715	115
chr19	49440360	49444360	ENSG00000104888	2340	1815	2340	2265	2415	2265	2340	2490	2415	1815	2340	2640	2415	2940	3090	3015	2790	2865	2790	2865
chr10	97582323	97586323	ENSG00000241935	3448	1198	2623	1348	3700	3823	1648	2050	3775	2425	2425	1602	1600	4000	4000	2802	3252	2950	2950	1827
chr6	52907685	52911685	ENSG00000174156	0	690	1750	1590	0	375	0	0	1140	2265	1965	2940	2575	3010	2100	2550	2025	2710	3535	2325
chr9	137245770	137249770	ENSG00000188163	3445	1725	3375	1425	2770	1125	4000	2325	2995	1420	1530	1305	0	2275	2845	1350	2095	405	1125	2475
chr12	120976543	120980543	ENSG00000135100	3250	0	2800	1757	2875	0	4000	3175	3475	3625	2575	3475	2543	3518	3068	2800	3475	3250	3293	3143
chr3	124951819	124955819	ENSG00000173702	1181	1781	2681	1481	1781	1125	1931	1256	2381	4000	2231	3625	3700	4000	3625	3775	3625	3644	4000	3025
chr1	229506341	229510341	ENSG00000069248	0	0	66	600	0	675	0	0	0	1275	675	0	934	0	0	0	0	1200	1191	0
chr12	117450170	117454170	ENSG00000089250	0	0	1600	2400	525	0	525	2155	880	55	280	1030	655	2875	645	0	3250	0	0	525
chr15	82260810	82264810	ENSG00000188659	0	375	0	0	825	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0
chr16	22435165	22439165	ENSG00000140743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	159796255	159800255	ENSG00000241399	1425	0	3155	2555	1125	900	2175	1500	2555	3245	3020	4000	3920	4000	2400	3925	3175	4000	3995	3625
chrX	119563408	119567408	ENSG00000018610	608	1225	0	1058	1000	458	533	1000	908	0	533	0	375	158	0	383	0	0	0	0
chr19	10501741	10505741	ENSG00000079999	0	975	0	0	0	791	0	0	450	0	0	0	0	0	300	0	0	0	0	0
chr1	45010147	45014147	ENSG00000126088	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0
chr17	40701750	40705750	ENSG00000167916	2875	2725	2725	2125	2875	2650	3700	3100	2875	2100	2575	4000	4000	2950	3625	3400	3775	4000	4000	3850
chr15	79921702	79925702	ENSG00000180953	1375	323	0	0	325	0	0	248	0	0	0	0	0	450	0	0	0	2	375	0
chr11	6440617	6444617	ENSG00000110169	1275	2258	1500	2050	1800	1067	3775	975	3250	375	0	842	825	1875	3092	458	2025	1508	1725	525
chr1	207102262	207106262	ENSG00000123838	962	812	3137	2462	887	1200	2012	887	1712	3550	1712	3775	3100	3188	4000	4000	3038	4000	3850	4000
chr9	105445796	105449796	ENSG00000106701	0	1279	0	675	79	0	0	0	300	529	0	375	450	0	750	525	0	0	1579	0
chr17	35371701	35375701	ENSG00000172716	0	600	0	0	0	1275	0	0	2250	525	2574	450	1674	2025	1875	675	0	4000	4000	0
chr11	111453630	111457630	ENSG00000110777	3850	1845	4000	1620	3625	4000	4000	3775	4000	3775	3550	4000	3475	4000	4000	4000	4000	3870	4000	4000
chr13	18205469	18209469	ENSG00000279081	1606	1800	4000	1606	1381	1456	0	2500	781	3550	3706	3525	300	1125	0	0	1125	0	0	1500
chr9	102993311	102997311	ENSG00000155833	0	0	36	0	0	0	0	0	0	0	450	861	1536	186	0	0	111	1836	186	0
chr20	2798637	2802637	ENSG00000088882	4000	1950	4000	3625	4000	4000	4000	4000	4000	4000	3850	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr8	142915843	142919843	ENSG00000179142	3100	3025	3750	2018	3250	3032	3850	3550	2882	3182	3775	3175	3250	3482	3332	2882	3025	2500	3593	3368
