A.H3K27me3.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135679_EGAR00001139765_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135684_EGAR00001139766_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107579_EGAX00001215956_EGAR00001228607_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215954_EGAR00001228605_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171948_EGAR00001185104_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326545_EGAR00001355700_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272701_EGAR00001300104_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265739_EGAX00001272601_EGAR00001300132_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272617_EGAR00001300044_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272702_EGAR00001300105_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272666_merged3runs_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272690_EGAR00001300083_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272658_EGAR00001300005_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272665_EGAR00001300012_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272654_EGAR00001300001_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304999_EGAR00001334472_GCBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304996_EGAR00001334421_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001305064_EGAR00001334391_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305086_EGAR00001334365_csMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305083_EGAR00001334362_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326521_EGAR00001355883_NBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295802_EGAX00001326518_EGAR00001355880_PBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326493_EGAR00001355780_usMBC_H3K27me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68889.CEMT_129.H3K27me3.hg38.bwa-sb.IX5126.CAVYBANXX_4_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70851.CEMT_134.H3K27me3.hg38.IX5208.CAVPBANXX_1_TGACCA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70858.CEMT_135.H3K27me3.hg38.A70858_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70865.CEMT_136.H3K27me3.hg38.IX5211.CAVPBANXX_4_ACTCTC.FindER2.bed.remDups.bed.intersect.value	GCBC.A70872.CEMT_137.H3K27me3.hg38.IX5212.CAVPBANXX_5_ATACGG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70879.CEMT_138.H3K27me3.hg38.IX5214.CAVPBANXX_7_CACGAT.FindER2.bed.remDups.bed.intersect.value
chr1_25581900_25582350	450	0	0	0	450	0	450	0	0	0	0	0	0	300	0	0	0	300	300	450	450	0	0	0	150	0	0	75	0	0	0	450	150	0	450	0	450	450	0	0	0	450	150	0	375	450	0	0	225
chr1_25791150_25791450	300	300	0	0	300	75	300	300	300	0	0	0	0	75	300	0	0	300	150	300	300	0	300	300	225	0	300	0	0	0	225	300	300	0	300	0	300	300	0	0	0	300	300	75	75	300	300	300	300
chr1_25792000_25792350	350	125	0	0	350	0	350	0	0	0	0	0	0	350	0	0	75	350	0	350	350	0	0	150	0	0	275	0	0	0	350	350	350	350	125	0	350	350	0	0	350	350	350	350	0	350	225	0	0
chr1_26906000_26906700	700	0	300	300	675	0	700	600	525	600	525	0	0	0	700	375	250	150	0	700	700	475	100	700	0	0	0	700	0	0	0	0	0	0	0	475	400	75	0	0	700	600	0	0	0	0	0	0	0
chr1_27578250_27578550	300	300	0	0	300	0	300	0	300	0	0	225	0	0	0	0	75	0	0	0	300	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0
chr1_27718950_27719550	525	225	375	0	525	525	600	600	600	0	600	300	0	450	600	375	450	75	0	600	600	0	600	600	0	0	600	75	0	0	600	600	600	525	600	600	600	600	225	375	600	600	0	600	600	600	600	600	600
chr1_28153750_28154400	650	650	0	275	650	650	650	575	650	375	500	0	0	0	0	425	75	0	275	650	650	0	650	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	525	0	300	0	0	0	0	0	0	0	0
chr1_28154750_28156200	1450	600	0	0	1450	450	1300	0	1450	1075	750	0	525	0	525	0	775	0	0	0	600	0	0	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_28178550_28178950	400	0	0	0	400	0	0	0	0	400	400	0	0	325	0	0	375	0	400	400	400	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_28179300_28180150	850	775	0	600	850	0	850	375	600	0	0	0	0	0	0	0	0	700	225	825	300	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_28181250_28181800	550	550	0	400	550	0	550	550	550	0	0	0	0	0	0	0	0	0	0	0	550	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
chr1_29287200_29287600	400	25	0	175	400	325	400	400	400	375	400	0	0	300	0	0	250	0	75	375	375	225	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_31786250_31786550	300	300	0	0	300	0	0	0	300	100	300	0	0	0	0	0	0	0	0	300	0	0	125	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_32342850_32343300	450	450	0	0	450	0	450	0	450	450	0	0	0	150	0	0	0	0	0	450	450	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0
chr1_32344800_32345100	300	0	0	300	300	0	300	0	300	300	0	0	0	300	0	0	0	75	0	300	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_32346550_32347150	600	400	275	0	600	50	600	0	600	275	575	0	0	600	550	600	600	0	0	600	575	0	600	0	0	550	275	600	550	0	600	600	600	575	600	0	600	600	0	125	0	575	275	600	425	575	0	500	500
chr1_33124050_33124350	300	300	300	300	300	75	300	75	225	0	0	0	0	0	300	0	0	300	225	300	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_33303900_33304450	550	550	0	0	550	475	550	0	550	550	550	0	0	550	225	0	0	375	0	300	550	25	0	0	0	0	400	0	75	0	225	0	0	0	375	525	525	0	450	0	225	550	300	0	0	150	0	0	0
chr1_33462900_33463200	300	0	0	0	0	0	0	0	300	0	300	0	0	300	0	0	0	0	0	300	0	0	0	300	0	0	0	0	0	0	0	75	300	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0
chr1_36487400_36487800	400	400	0	0	400	375	0	250	400	150	75	0	150	0	0	0	0	0	0	400	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_37239800_37240250	125	25	0	0	450	125	450	125	425	0	450	0	0	450	450	450	450	450	275	450	450	450	0	0	450	250	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	350	450	325	450	175	450	100
chr1_37243650_37243950	300	0	0	0	300	0	300	225	300	300	300	75	0	300	300	300	225	300	300	300	300	300	0	0	300	0	300	300	300	300	300	300	300	0	300	300	300	300	225	0	300	300	300	0	0	300	150	75	225
chr1_38476750_38477400	650	425	75	0	425	0	650	0	0	0	650	0	0	650	650	650	575	650	0	650	375	650	650	0	350	0	650	650	650	650	200	650	500	0	575	650	425	0	650	0	650	650	0	525	350	650	350	650	0
chr1_40606750_40607050	300	300	0	300	300	0	300	0	300	0	300	175	0	0	175	0	0	0	25	175	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	300	300	0	0	0	0	0
chr1_40662800_40663200	150	325	0	0	400	0	400	0	250	0	400	0	175	0	0	100	0	0	0	400	175	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0
chr1_40663400_40665200	1800	0	0	0	1225	0	675	0	1700	100	1525	0	0	450	600	450	0	975	0	1800	875	0	500	375	125	300	525	625	0	0	0	300	1175	375	425	0	300	0	0	0	0	650	250	0	0	0	0	0	0
chr1_40665900_40666200	300	0	0	75	0	0	300	0	300	0	300	0	0	0	0	0	0	0	0	300	300	0	300	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0
chr1_40781600_40781900	300	300	0	0	300	300	300	125	275	0	300	0	0	300	300	300	300	300	300	300	300	0	0	125	300	0	300	300	200	0	300	300	300	0	300	200	50	300	50	300	125	300	300	300	300	300	275	300	200
chr1_43202750_43203050	300	300	50	0	300	175	300	300	300	0	0	0	0	0	0	0	0	300	0	275	0	0	0	300	0	0	0	0	50	0	0	300	0	0	0	250	0	0	275	0	0	175	0	300	0	300	0	0	300
chr1_44833200_44833700	500	0	0	0	500	500	500	0	125	300	375	0	0	0	0	0	0	0	0	300	500	0	0	0	0	375	0	150	0	0	275	0	0	500	0	75	125	0	0	0	0	0	375	0	0	0	0	0	0
chr1_45425400_45425800	400	0	0	400	400	0	400	0	400	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	225	0	0	0
chr1_45476600_45476950	350	250	0	0	350	325	350	0	325	100	100	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_46203700_46204000	250	0	0	0	300	0	300	0	0	50	300	0	0	200	300	125	0	0	300	125	275	0	0	300	300	125	300	300	300	300	300	300	300	0	300	200	300	300	0	200	275	300	300	300	300	300	300	300	300
chr1_46207050_46207500	450	450	0	450	450	0	450	375	450	0	375	0	0	450	0	0	0	0	0	450	225	0	0	0	0	0	375	0	0	0	0	300	300	0	450	0	450	0	0	0	0	375	225	450	225	0	0	0	0
chr1_47321000_47321300	300	50	0	200	0	0	300	300	300	0	0	0	0	0	0	0	0	300	0	300	300	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	250	100	0	0
chr1_51594150_51594650	500	0	0	500	500	0	500	425	500	50	200	0	125	125	200	125	50	0	275	500	425	0	350	0	0	0	0	500	0	0	200	0	0	0	0	125	0	0	0	500	0	0	0	0	0	0	0	0	0
chr1_54227550_54228100	550	475	25	0	550	475	550	0	550	100	75	0	0	300	0	0	0	250	0	550	400	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	550	0	0	0	0	0	0
chr1_54239550_54239850	0	0	0	0	300	0	0	75	300	0	300	0	0	300	0	0	0	0	0	300	300	300	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_54255750_54256150	400	0	0	250	400	400	300	250	400	0	0	0	0	0	0	0	0	0	0	400	375	300	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0
chr1_55250000_55250350	350	350	0	0	325	0	0	0	350	350	175	0	0	325	175	0	250	0	0	350	325	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0
chr1_55271450_55271850	400	400	25	0	400	0	325	400	400	325	250	25	175	25	0	0	0	25	0	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
